Präzision01136
Date:,2025/04/22
Time:,17:20:56
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,815.405579,744.445251,115.096672,782.607910,964.261353,257.079926,805.486755,678.127869,43.978165,778.169495,665.753601,43.993748,791.205566,1069.030640,431.981445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,814.900085,744.721252,115.802071,782.293823,965.290710,256.888794,805.022156,678.220276,45.730949,777.693420,665.868652,44.910614,791.323730,1069.807251,432.011841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,814.237061,745.146545,117.372826,782.287231,966.471252,256.805176,804.178650,678.059631,46.609364,776.977173,666.024475,46.289867,791.229187,1070.680542,431.990540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,813.546265,745.398743,118.774208,782.221802,967.973450,256.539124,803.696106,678.335815,48.267582,776.147095,666.029053,48.323200,791.290283,1071.615845,431.808105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,812.864868,745.549683,120.166374,782.005554,969.382141,256.083099,803.343811,678.405212,50.491795,775.489380,666.041016,50.246159,791.322571,1072.667236,431.535767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,812.265442,746.312012,121.572342,781.407349,970.793274,256.069244,802.820618,678.375000,52.369328,775.230164,666.066223,51.891308,791.327698,1073.911499,431.201538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,811.659180,747.252380,123.190742,780.773621,972.282043,256.182861,802.459106,678.475586,54.094830,775.073792,666.122009,53.880325,791.159973,1075.081665,430.817078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,810.932495,747.844238,124.841766,780.314941,973.797729,256.141754,801.988037,678.556763,56.350300,774.740723,666.381653,55.881626,790.682800,1076.167725,430.869507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,810.533264,748.265747,126.440277,780.046692,975.653564,255.849533,801.592712,678.780762,58.413898,774.289429,666.494751,58.482037,790.424194,1077.400757,431.103973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,810.030457,748.820984,128.568558,779.791565,977.196350,255.587051,801.156006,678.837524,61.068844,773.818237,666.568604,60.713955,790.359314,1078.704468,431.158661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,809.171326,749.615295,130.502762,779.546143,979.101868,255.617050,801.014526,678.892883,63.517136,773.114136,666.912781,63.172218,790.369934,1080.095581,431.189636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,808.612488,750.268250,132.767014,779.129700,980.765991,255.693542,800.436707,679.220459,66.471779,772.638672,667.214539,65.887482,790.651794,1081.604736,431.141998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
