Frame;1_X;1_Y;1_Z;2_X;2_Y;2_Z;3_X;3_Y;3_Z;4_X;4_Y;4_Z
81;707.012695;741.868347;194.517532;944.12738;865.140564;464.229095;678.902649;647.330811;164.882599;599.564331;680.262634;174.199356
82;702.250854;741.742004;194.621307;942.026672;864.013245;463.62851;673.49231;647.859192;164.620758;594.070862;681.279053;174.144882
83;697.427307;741.66394;194.212112;939.916321;863.177917;464.003052;668.213196;648.026489;164.170395;589.013123;682.172546;174.385681
84;692.686218;741.810425;193.803497;937.727112;862.065002;463.633118;662.795898;647.878845;163.765533;583.6922;682.869385;174.223907
85;687.953552;741.668945;193.660263;936.101318;860.900757;463.201477;657.385193;647.800049;163.668808;578.538147;683.702454;173.51709
86;683.054443;741.531555;193.460892;933.703918;860.083435;462.721771;651.740295;648.009094;163.285828;573.412781;684.605042;173.136932
87;678.424438;741.797424;192.554993;931.093872;859.247681;462.382721;646.085205;648.561157;162.509491;568.201172;685.537354;172.671539
88;673.887085;741.816345;192.21756;929.138245;858.140015;461.949982;640.778442;649.26355;162.021698;563.023865;686.353027;172.106293
89;668.677307;741.831604;192.07489;926.711243;856.902771;461.773102;635.699707;649.47406;161.268951;557.870911;687.291687;171.288559
90;664.213806;741.970276;191.127579;924.795166;855.702698;461.657593;630.593689;649.676208;160.787643;552.971924;688.143494;170.7939
91;659.669556;741.670471;190.625748;922.221985;854.370972;461.002441;625.471069;649.988831;160.31279;548.32666;689.016602;170.172897
92;655.363159;741.4776;189.921249;919.900208;853.311951;460.943207;620.058838;650.40033;159.182983;543.504211;689.954834;169.164642
93;651.026855;742.075867;188.911484;917.889771;852.105408;460.285492;615.118652;651.866394;157.661987;538.633118;690.906433;168.602219
94;646.703674;742.206665;188.416855;915.171448;850.777588;460.387604;609.878601;652.732117;157.185593;533.764343;691.756836;168.467529
95;642.773865;742.038086;187.597;912.379639;849.844543;459.976532;604.617432;652.941589;156.400421;529.035217;692.542114;168.311935
96;638.260071;742.198792;186.894485;910.374756;848.073914;459.709839;599.639343;654.453064;154.814819;524.545471;693.53302;167.282425
97;633.771484;742.52002;186.596054;908.511353;846.757996;459.17865;595.023926;653.862671;154.237793;520.054993;694.361816;166.588058
98;629.672546;742.636353;185.654541;906.038147;845.828369;458.692749;590.342529;653.188477;154.20816;515.218872;695.362549;165.838013
99;625.557434;742.665283;185.112381;903.473267;844.400452;457.97934;585.346863;652.195435;153.692825;511.174347;696.365356;164.351151
100;621.324829;743.030212;184.192245;902.066101;843.0448;457.273468;580.652405;651.567383;153.2173;506.897766;697.196472;163.82634
101;617.725952;743.13208;183.213776;898.825806;841.92865;457.103546;576.381348;651.959717;152.652542;502.74884;698.136963;163.442719
102;614.002625;743.024109;182.531403;896.242615;840.632141;457.146759;571.669983;652.669434;151.80603;498.628967;698.983459;161.994629
103;610.31366;743.412048;181.526978;894.267151;839.233398;456.425018;567.213257;653.043579;150.88002;494.774109;699.861938;160.390472
