path;score;n;leading;trailing;inner_missing;gaps;missing_rows;best_run;valid_fraction;Group
Exports/Daten_Raw_Clean\PTP\Probant4_PTP202_PTP202.csv;0.0;346;0;0;0;0;0;346;1.0;ptp2
Exports/Daten_Raw_Clean\PTP\Probant4_PTP203_PTP203.csv;0.0;347;0;0;0;0;0;347;1.0;ptp2
Exports/Daten_Raw_Clean\PTP\Probant4_PTP204_PTP204.csv;0.0;303;0;0;0;0;0;303;1.0;ptp2
Exports/Daten_Raw_Clean\PTP\Probant4_PTP205_PTP205.csv;0.0;283;0;0;0;0;0;283;1.0;ptp2
Exports/Daten_Raw_Clean\PTP\Probant5_PTP201_PTP201.csv;0.0;303;0;0;0;0;0;303;1.0;ptp2
Exports/Daten_Raw_Clean\PTP\Probant5_PTP202_PTP202.csv;0.0;341;0;0;0;0;0;341;1.0;ptp2
Exports/Daten_Raw_Clean\PTP\Probant5_PTP203_PTP203.csv;0.0;313;0;0;0;0;0;313;1.0;ptp2
Exports/Daten_Raw_Clean\PTP\Probant5_PTP204_PTP204.csv;0.0;295;0;0;0;0;0;295;1.0;ptp2
Exports/Daten_Raw_Clean\PTP\Probant5_PTP205_PTP205.csv;0.0;280;0;0;0;0;0;280;1.0;ptp2
Exports/Daten_Raw_Clean\PTP2\Probant10_PTP206_PTP206.csv;0.0;298;0;0;0;0;0;298;1.0;ptp2
Exports/Daten_Raw_Clean\PTP2\Probant10_PTP207_PTP207.csv;0.0;249;0;0;0;0;0;249;1.0;ptp2
Exports/Daten_Raw_Clean\PTP2\Probant10_PTP208_PTP208.csv;0.0;231;0;0;0;0;0;231;1.0;ptp2
Exports/Daten_Raw_Clean\PTP2\Probant10_PTP209_PTP209.csv;0.0;241;0;0;0;0;0;241;1.0;ptp2
Exports/Daten_Raw_Clean\PTP2\Probant10_PTP210_PTP210.csv;0.0;257;0;0;0;0;0;257;1.0;ptp2
Exports/Daten_Raw_Clean\PTP2\Probant11_PTP206_PTP206.csv;0.0;343;0;0;0;0;0;343;1.0;ptp2
Exports/Daten_Raw_Clean\PTP2\Probant11_PTP207_PTP207.csv;0.0;329;0;0;0;0;0;329;1.0;ptp2
Exports/Daten_Raw_Clean\PTP2\Probant11_PTP208_PTP208.csv;0.0;303;0;0;0;0;0;303;1.0;ptp2
Exports/Daten_Raw_Clean\PTP2\Probant11_PTP209_PTP209.csv;0.0;283;0;0;0;0;0;283;1.0;ptp2
Exports/Daten_Raw_Clean\PTP2\Probant11_PTP210_PTP210.csv;0.0;287;0;0;0;0;0;287;1.0;ptp2
Exports/Daten_Raw_Clean\PTP2\Probant12_PTP206_PTP206.csv;0.0;362;0;0;0;0;0;362;1.0;ptp2
Exports/Daten_Raw_Clean\PTP2\Probant12_PTP207_PTP207.csv;0.0;360;0;0;0;0;0;360;1.0;ptp2
Exports/Daten_Raw_Clean\PTP2\Probant12_PTP208_PTP208.csv;0.0;318;0;0;0;0;0;318;1.0;ptp2
Exports/Daten_Raw_Clean\PTP2\Probant12_PTP209_PTP209.csv;0.0;303;0;0;0;0;0;303;1.0;ptp2
Exports/Daten_Raw_Clean\PTP2\Probant12_PTP210_PTP210.csv;0.0;346;0;0;0;0;0;346;1.0;ptp2
Exports/Daten_Raw_Clean\PTP2\Probant13_PTP211_PTP211.csv;0.0;257;0;0;0;0;0;257;1.0;ptp2
Exports/Daten_Raw_Clean\PTP2\Probant13_PTP212_PTP212.csv;0.0;311;0;0;0;0;0;311;1.0;ptp2
Exports/Daten_Raw_Clean\PTP2\Probant13_PTP213_PTP213.csv;0.0;283;0;0;0;0;0;283;1.0;ptp2
Exports/Daten_Raw_Clean\PTP2\Probant13_PTP214_PTP214.csv;0.0;326;0;0;0;0;0;326;1.0;ptp2
Exports/Daten_Raw_Clean\PTP2\Probant13_PTP215_PTP215.csv;0.0;323;0;0;0;0;0;323;1.0;ptp2
Exports/Daten_Raw_Clean\PTP2\Probant14_PTP216_PTP216.csv;0.0;316;0;0;0;0;0;316;1.0;ptp2
Exports/Daten_Raw_Clean\PTP2\Probant14_PTP217_PTP217.csv;0.0;281;0;0;0;0;0;281;1.0;ptp2
Exports/Daten_Raw_Clean\PTP2\Probant14_PTP218_PTP218.csv;0.0;298;0;0;0;0;0;298;1.0;ptp2
Exports/Daten_Raw_Clean\PTP2\Probant14_PTP219_PTP219.csv;0.0;293;0;0;0;0;0;293;1.0;ptp2
Exports/Daten_Raw_Clean\PTP2\Probant14_PTP220_PTP220.csv;0.0;291;0;0;0;0;0;291;1.0;ptp2
Exports/Daten_Raw_Clean\PTP2\Probant15_PTP221_PTP221.csv;0.0;275;0;0;0;0;0;275;1.0;ptp2
Exports/Daten_Raw_Clean\PTP2\Probant15_PTP222_PTP222.csv;0.0;290;0;0;0;0;0;290;1.0;ptp2
Exports/Daten_Raw_Clean\PTP2\Probant15_PTP223_PTP223.csv;0.0;294;0;0;0;0;0;294;1.0;ptp2
Exports/Daten_Raw_Clean\PTP2\Probant15_PTP224_PTP224.csv;0.0;292;0;0;0;0;0;292;1.0;ptp2
Exports/Daten_Raw_Clean\PTP2\Probant16_PTP226_PTP226.csv;0.0;299;0;0;0;0;0;299;1.0;ptp2
Exports/Daten_Raw_Clean\PTP2\Probant16_PTP227_PTP227.csv;0.0;367;0;0;0;0;0;367;1.0;ptp2
Exports/Daten_Raw_Clean\PTP2\Probant16_PTP228_PTP228.csv;0.0;344;0;0;0;0;0;344;1.0;ptp2
Exports/Daten_Raw_Clean\PTP2\Probant16_PTP229_PTP229.csv;0.0;275;0;0;0;0;0;275;1.0;ptp2
Exports/Daten_Raw_Clean\PTP2\Probant16_PTP230_PTP230.csv;0.0;235;0;0;0;0;0;235;1.0;ptp2
