Weight21
Date:,2025/04/01
Time:,14:17:39
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33,,,*34,,,*35,,,*36,,,*37,,,*38
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
16,443.429169,702.389771,272.719116,159.831665,700.612854,318.831177,110.344704,806.808228,520.488403,,,,,,,,,,539.609680,697.150757,204.219559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,440.451569,701.103210,272.944275,157.417450,701.723328,318.683655,109.539192,808.229309,520.711365,,,,,,,,,,536.208374,694.423828,204.499924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,437.692902,699.361511,273.184174,154.663437,702.849426,318.844971,108.965622,809.715881,521.042358,,,,,,,,,,532.121277,692.632446,203.502090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,434.439880,697.923828,273.398682,151.638290,703.882996,319.447662,107.942314,811.035339,521.613647,,,,,,,,,,528.446472,690.342957,203.633667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,431.584534,696.137146,273.418457,148.834152,705.152588,319.435699,106.579895,812.577759,522.160767,,,,,,,,,,524.738525,687.804382,203.173447,,,,511.960114,719.693542,212.963303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,428.181946,694.425476,273.650574,145.686935,706.358276,319.864410,105.708054,813.968079,522.414490,,,,,,,,,,,,,,,,509.889648,716.587402,213.085007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,424.863953,692.752319,273.800568,142.550583,707.552856,320.155884,104.752029,815.372620,522.635986,,,,,,,,,,,,,,,,506.769928,713.789551,213.138428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,421.115143,690.714539,273.795227,139.365738,708.888123,320.288330,103.389099,816.962402,523.214478,,,,,,,,,,,,,,,,502.821655,710.854614,213.455032,513.344543,678.236572,203.784912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,417.489868,688.980652,273.538635,135.905914,710.182983,320.716644,102.166931,818.383240,523.680542,,,,,,,,,,,,,,,,,,,512.088135,674.708435,204.907440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,413.679169,686.892517,273.925842,132.529449,711.600586,321.040802,101.193184,820.315247,523.638977,,,,,,,,,,,,,,,,,,,507.339508,671.424561,204.979233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
