Weight37
Date:,2025/04/22
Time:,16:54:39
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
41,865.480103,737.671753,137.146606,761.282471,677.266357,99.283913,1048.718628,893.369324,472.171906,844.406006,644.961243,94.724724,,,,,,,,,,,,
42,865.362427,737.694031,137.490234,761.265259,677.252319,99.397499,1048.463501,893.325012,472.281158,844.403503,644.943420,94.855453,,,,,,,,,,,,
43,865.283264,737.635620,137.800827,761.210144,677.241089,99.460136,1047.990479,893.200745,472.475037,844.347961,644.863037,95.066078,,,,,,,,,,,,
44,865.039978,737.627747,138.084671,761.187012,677.231018,99.517021,1046.992310,893.342834,472.974854,844.230713,644.811829,95.193085,,,,,,,,,,,,
45,864.862305,737.664856,138.269135,761.149963,677.216492,99.545387,1046.467041,893.203186,473.009369,844.127014,644.966125,95.333351,,,,,,,,,,,,
46,864.762085,737.743042,138.502808,760.988586,677.126038,99.568604,1046.030518,893.067810,472.923645,843.971375,645.295776,95.433586,,,,,,,,,,,,
47,864.529541,737.799316,138.610886,760.855103,677.161804,99.642197,1045.755615,893.077515,472.935364,843.766174,645.664734,95.552078,,,,,,,,,,,,
48,864.298035,737.878235,138.827454,760.659912,677.208008,99.581680,1045.906494,892.990234,472.849152,843.498352,646.065552,95.634155,,,,,,,,,,,,
49,863.957520,737.926514,139.037460,760.417725,677.208008,99.643448,1045.399048,893.060547,472.438141,843.233032,646.514038,95.973457,,,,,,,,,,,,
50,863.663635,738.011536,139.204239,760.319458,677.263184,99.527672,1044.589111,893.137573,472.369110,842.957764,646.800842,96.243187,,,,,,,,,,,,
51,863.425476,738.152527,139.447601,760.126526,677.394775,99.277855,1043.700562,893.090820,472.657196,842.686279,646.993958,96.492172,,,,,,,,,,,,
52,863.117188,738.212402,139.575073,760.188660,677.756958,98.772591,1042.936279,892.926758,472.956207,842.194153,647.145691,96.835747,,,,,,,,,,,,
53,862.571716,738.249390,139.963043,760.013428,677.911316,98.601646,1042.046143,892.876831,473.029388,841.916565,647.133301,97.556816,,,,,,,,,,,,
54,861.762390,738.397644,140.678665,759.427856,678.034058,98.674538,1041.220215,892.905823,473.001221,841.629395,646.696960,98.038994,,,,,,,,,,,,
55,860.994507,738.624756,141.201981,758.600891,678.167358,99.066551,1040.576660,892.925964,473.116943,841.249878,646.323914,98.634277,,,,,,,,,,,,
56,860.358765,738.790222,141.441437,757.783325,678.189331,99.608208,1040.265259,892.858032,473.215179,840.930298,646.069214,99.263512,,,,,,,,,,,,
57,859.622925,738.914490,141.805862,757.227234,678.238159,99.669685,1040.032349,892.856506,473.156494,840.428711,645.798828,100.059303,,,,,,,,,,,,
58,858.700867,739.094971,142.115555,756.959229,678.380920,99.687531,1039.726563,892.798706,473.210449,839.676025,645.464600,100.738281,,,,,,,,,,,,
59,858.065979,739.168579,142.438522,756.475464,678.139038,100.445427,1038.990723,892.660095,473.217712,838.789795,645.689331,101.385185,,,,,,,,,,,,
60,857.678406,739.255127,142.728714,755.709106,678.035950,101.035858,1038.022461,892.361145,473.336029,837.990417,646.390564,101.893913,,,,,,,,,,,,
61,857.241638,739.396362,143.010696,754.990906,678.188477,101.428314,1037.152710,892.320862,473.366486,837.273193,647.105042,102.542763,,,,,,,,,,,,
62,856.323547,739.377686,143.415939,754.359741,678.694092,101.605324,1036.253052,892.391296,473.204773,836.439331,647.372009,102.989471,,,,,,,,,,,,
63,855.445862,739.644104,144.074265,753.628357,678.838013,102.018021,1035.562378,892.369324,473.215942,835.460083,647.230408,103.698395,,,,,,,,,,,,
64,854.155701,739.893433,145.091568,752.554443,678.775391,102.604370,1035.110229,892.358154,473.251160,834.355957,647.730713,103.527306,,,,,,,,,,,,
65,853.103210,739.904541,145.766556,751.375977,678.691711,103.768768,1034.939453,892.127136,473.365417,833.562622,647.727600,104.394104,,,,,,,,,,,,
66,852.382935,740.069092,145.979172,749.949402,678.755249,104.607452,1034.486206,891.889282,473.604767,832.521179,647.509094,105.530647,,,,,,,,,,,,
67,851.481750,740.321106,146.314438,748.849854,679.171509,105.103264,1033.260498,891.795288,473.747620,831.401978,646.952820,106.623482,,,,,,,,,,,,
68,850.023560,740.400696,147.048767,747.904968,679.420166,105.580627,1032.381714,891.698669,473.651520,830.046814,646.389404,107.878197,,,,,,,,,,,,
69,848.671204,740.468262,147.824783,746.633545,679.336487,106.694176,1031.345215,891.588562,473.506805,828.386597,646.310242,108.775871,,,,,,,,,,,,
70,847.363098,740.587524,148.433838,744.728943,679.173523,108.179390,1030.544678,891.580994,473.485718,827.222961,646.621216,109.355385,,,,,,,,,,,,
71,846.200439,740.647461,149.130508,743.445007,679.460083,108.927048,1029.095337,891.752625,473.663879,825.839722,646.774658,109.886024,,,,,,,,,,,,
72,844.993958,740.470032,149.943481,742.636108,679.600830,109.350662,1028.408447,891.528870,473.644928,824.111511,646.855652,111.208488,,,,,,,,,,,,
73,843.232117,740.498657,150.814117,740.514038,679.446289,110.799995,1027.908325,891.149536,473.789063,822.448181,646.882385,111.944267,,,,,,,,,,,,
74,841.700989,740.740601,151.217209,738.619080,679.813660,111.447594,1027.334473,890.814270,473.752563,820.849854,647.091431,112.578209,,,,,,,,,,,,
75,839.817993,740.844421,152.194687,737.009460,680.295776,112.030724,1026.428711,890.622498,473.726471,818.725098,647.552917,113.595558,,,,,,,,,,,,
76,838.048645,740.938782,153.328247,734.993408,680.192383,113.927147,1025.524170,890.748291,473.786438,816.915283,647.763855,114.936409,,,,,,,,,,,,
77,836.540527,741.074402,153.965714,733.124573,680.391907,114.919792,1024.473999,890.503784,473.741974,815.030640,647.587463,115.970055,,,,,,,,,,,,
78,834.704529,741.192932,154.565002,731.177063,680.599731,115.782463,1023.542786,890.155701,473.484894,812.673096,647.167175,116.711876,,,,,,,,,,,,
79,832.836792,741.202026,155.217224,728.988220,680.808167,116.432228,1022.864685,889.600464,473.477234,810.941345,646.885376,117.471237,,,,,,,,,,,,
80,830.773438,741.579346,155.868958,727.076233,681.032471,117.361778,1022.076782,889.440002,473.449127,808.447266,647.075500,118.647057,,,,,,,,,,,,
81,828.545288,741.506409,157.000580,724.825806,681.178528,118.483360,1021.020447,889.324646,473.350800,806.234070,647.341858,119.794807,,,,,,,,,,,,
82,826.437195,741.554871,157.673035,722.356140,681.595398,119.260345,1019.469849,889.073059,473.512634,803.681702,647.623108,120.624603,,,,,,,,,,,,
83,824.290588,741.627197,158.194916,720.088928,681.590881,120.614220,1017.785278,888.854004,473.582031,801.307007,647.737305,121.473381,,,,,,,,,,,,
84,822.078308,741.695007,158.833313,717.943848,681.886292,121.150589,1016.837402,888.624390,473.374573,798.786316,647.960510,122.849518,,,,,,,,,,,,
85,819.996704,741.823975,159.511703,715.180603,681.938232,122.709564,1015.995850,888.209167,473.471802,796.379822,647.605469,123.746628,,,,,,,,,,,,
86,817.060547,741.782227,160.340393,712.646484,682.193237,123.438782,1014.704956,887.643799,473.517395,793.650452,647.486023,124.614494,,,,,,,,,,,,
87,814.934021,741.839172,161.028168,709.958008,682.256470,124.877075,1013.300720,887.326050,473.242767,791.066833,647.444519,125.467178,,,,,,,,,,,,
