Weight61
Date:,2025/04/24
Time:,13:14:54
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,878.018982,718.993347,142.337540,757.507507,680.950928,124.090919,1104.898315,832.170776,414.939850,1079.279663,871.415833,207.509979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,877.512329,719.281006,144.290619,756.377625,681.460815,126.893387,1103.934082,832.345947,415.193207,1078.304810,873.150940,208.418472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,876.860352,719.625610,145.702469,756.064941,681.786377,128.876282,1102.974731,832.438049,415.593018,1077.985352,874.098206,208.831223,828.551453,628.568237,124.006027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,876.487549,720.132935,147.089218,755.561218,682.298157,130.372269,1102.398193,832.569519,415.513611,1077.971924,874.730225,209.146255,828.022400,628.868896,126.313057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,875.986389,720.617249,148.587524,755.071167,683.192383,132.526093,1101.926514,832.438171,415.606476,1077.655029,875.333374,209.545212,827.212585,629.511902,127.543564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,875.265747,721.241760,151.144226,754.097778,683.857178,135.395004,1101.887573,832.416443,415.392181,1076.999268,875.722046,210.074295,825.973999,630.713501,130.118973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,874.601257,721.838196,153.247375,753.202820,684.656555,137.968857,1100.931396,832.677734,415.582611,1076.566406,876.045837,210.462280,824.847717,631.418945,132.427292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,873.350708,722.285461,155.262283,752.029236,685.038513,139.844406,1099.832153,833.022888,415.564514,1076.473633,875.451233,210.619385,823.693542,631.438538,134.894470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,871.832397,722.624512,157.267120,750.670105,685.556396,142.729980,1098.824829,833.228943,415.469635,1075.694824,876.914978,210.985687,822.814575,631.779907,137.692413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,871.076538,723.237305,159.109695,749.595459,686.406311,145.206741,1098.123535,833.199585,415.643402,1075.030640,878.007629,211.404419,821.631531,632.302795,139.970917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
