Weight34
Date:,2025/04/22
Time:,16:07:47
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33,,,*34,,,*35,,,*36,,,*37,,,*38,,,*39,,,*40,,,*41,,,*42,,,*43
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
15,899.897827,727.569092,138.366653,853.525574,638.646912,113.302467,,,,1078.214966,844.757446,525.473022,1059.056763,807.744690,324.391754,768.067749,715.388916,112.066719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,899.757263,727.517578,138.052719,853.175232,638.885864,112.855370,,,,1077.999634,844.738037,525.484131,1058.680542,807.612427,324.452606,767.784546,715.210876,112.542076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,899.717163,727.294983,137.892502,852.964783,638.643738,112.841408,,,,1077.815918,844.695740,525.461548,1058.434570,807.490234,324.468231,767.298645,714.903503,113.083672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,899.351563,726.776062,138.438614,852.779968,638.276367,112.958168,,,,1077.977539,844.525879,525.305847,1058.277344,807.391785,324.452515,766.841492,714.783264,113.442711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,899.070679,726.399048,138.734467,852.624329,637.749573,113.164520,,,,1077.903931,844.411316,525.072021,1057.897095,807.412048,324.199493,766.551208,714.503052,113.702675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,899.105286,726.340149,138.402496,852.616028,637.138000,113.249657,,,,1077.665161,844.348877,524.922791,1057.719482,807.247375,324.115845,766.365784,714.255005,113.898811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,899.202576,726.211914,138.001892,852.425049,636.682068,113.647591,,,,1077.422363,844.389465,524.887939,1057.580933,807.023865,324.021881,766.174011,713.918213,114.046967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,899.137329,725.999329,137.906433,852.088501,636.357300,113.914734,,,,1077.255737,844.278259,524.827393,1057.384888,806.823120,323.896118,765.879517,713.675720,114.262474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,899.010986,725.720886,137.938431,851.911621,636.214111,114.057060,,,,1077.003540,844.231201,524.673950,1057.205444,806.621948,323.784210,765.580017,713.410156,114.376900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,898.932129,725.393677,138.074448,851.657715,636.144348,114.336739,,,,1076.344849,844.341125,524.685791,1057.057739,806.429321,323.629364,765.318542,713.073792,114.585861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,898.773376,725.234253,138.063278,851.437012,635.967773,114.559731,,,,1076.413818,844.187744,524.547607,1056.889893,806.240356,323.510620,765.163269,712.863953,114.750732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,898.354370,724.801270,138.619583,850.934753,635.978760,114.717087,,,,1076.482056,844.067993,524.229919,1056.731567,806.043945,323.480347,765.113037,712.546509,114.768158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,898.172852,724.556335,138.557861,850.479858,636.020203,114.829628,,,,1076.544556,844.100952,523.904968,1056.645874,805.828857,323.509521,765.119324,712.245972,114.736107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,898.027466,724.334839,138.447845,850.448730,635.846375,114.476082,,,,1076.560669,844.088989,523.630005,1056.485229,805.529602,323.370300,765.235901,712.008423,114.818893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,897.822510,724.043579,138.371994,850.030457,635.756287,114.631424,,,,1076.393433,844.015503,523.548401,1056.280640,805.280518,323.277039,765.197876,711.777222,115.013519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,897.575012,723.763428,138.415756,849.792114,635.564697,114.760674,,,,1076.209351,843.938965,523.548218,1056.121216,805.056580,323.299042,765.200439,711.423950,115.271088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,897.373657,723.362793,138.408997,849.680603,635.306946,114.719437,,,,1076.019043,843.834045,523.476746,1055.945313,804.856628,323.317474,765.081177,711.139160,115.548416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,897.126221,723.015564,138.377930,849.469849,635.050903,114.726524,,,,1076.276978,843.731873,523.417847,1055.660889,804.658630,323.413940,764.909912,710.781128,115.802147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
