Weight61
Date:,2025/04/24
Time:,14:49:02
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
23,1051.459351,712.878052,276.179718,894.069458,657.995239,113.571060,1061.626953,699.564331,457.247223,803.418518,612.874268,94.078171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1051.208496,712.702393,276.571075,893.968933,657.919983,113.932899,1061.362061,699.638367,457.313446,803.292053,612.918579,94.320618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1051.114014,713.005066,276.897095,893.758728,657.995728,114.133064,1060.930542,699.777405,457.308411,803.141296,612.934509,94.589966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1051.101074,713.235657,276.958679,893.431763,658.200806,114.603447,1060.399170,699.796387,457.263519,802.988037,612.985168,94.755089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1051.192383,713.313904,276.981537,892.968628,658.460999,115.321053,1059.984009,699.850830,457.398041,802.847412,613.108093,94.999367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1051.208374,712.680542,277.014221,892.604614,658.663513,115.912399,1059.571655,699.999207,457.516113,802.570007,613.254517,95.398438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1051.016113,713.743103,277.597260,892.357056,658.859863,116.383194,1059.087769,700.143433,457.283905,802.045593,613.509705,96.580650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1050.897461,714.292419,278.015594,891.906860,658.993225,116.943733,1058.756958,700.120728,457.219360,801.430847,613.598022,97.563744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1050.899292,714.522888,278.253235,891.571472,659.296448,117.429573,1058.288940,700.209961,457.091248,800.921021,613.699158,98.374176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1050.929199,714.708740,278.497314,890.895569,659.653198,118.023201,1057.652954,700.430969,457.476685,800.429993,613.824890,99.192116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1050.833130,714.866699,278.771576,890.374146,659.883850,118.668877,1056.909180,700.617249,457.567017,800.070740,613.908203,99.670204,,,,,,,773.003723,696.973083,108.954308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1050.646484,715.121399,278.974213,890.082764,660.082214,119.247665,1056.382446,700.810181,457.756622,799.709229,614.025330,100.204575,,,,,,,772.088257,697.313293,110.344177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1050.305542,715.514587,279.088287,889.906677,660.033691,119.769325,1055.741089,700.989868,457.985107,799.255249,614.274292,101.298325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1049.941162,715.965698,279.267242,889.343567,660.116577,121.013420,1055.229492,701.102356,458.137054,798.521423,614.500732,102.746353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1048.993530,716.424561,280.108582,888.495361,660.317505,122.126144,1054.794312,701.222473,458.096069,797.719116,614.684875,104.010880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1048.478394,716.573608,280.601318,887.283813,660.728699,123.261169,,,,796.650818,614.751465,105.309357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1048.285645,716.346680,280.817505,885.967773,661.030579,124.294044,,,,795.843994,614.780273,106.479721,,,,,,,,,,1053.657837,701.317871,457.803284,768.631226,697.895447,115.772552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1048.006592,716.693054,281.290405,885.163635,661.034119,125.275665,,,,794.884155,614.868652,107.872757,,,,,,,,,,1052.391113,701.654541,458.034729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1047.291870,717.051575,281.702576,884.349182,661.205383,126.121201,,,,793.652405,615.102539,109.486359,,,,,,,,,,1051.295044,701.778748,457.985138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,1046.527466,716.988525,282.238861,883.677979,661.040466,127.524872,,,,792.249146,615.186829,111.060349,,,,,,,,,,1050.558228,701.941895,458.019348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
