Weight47
Date:,2025/04/22
Time:,17:36:27
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33,,,*34,,,*35,,,*36,,,*37,,,*38,,,*39
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
11,870.672241,713.065613,97.022072,834.999878,619.079529,74.036751,989.990417,849.524170,228.061584,758.986206,674.225464,80.847229,1065.263550,860.844727,351.805847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,870.673279,712.972351,97.090836,834.889282,619.110718,74.018196,990.069153,849.496155,227.978333,759.030090,674.252014,80.824081,1065.231567,860.936829,351.866455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,870.902893,713.025330,97.003113,834.842529,619.108032,73.876534,990.031006,849.519226,228.033615,759.048706,674.274475,80.858383,1065.342651,860.950073,351.948669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,870.806641,712.944519,97.062805,834.833801,619.109619,73.841370,990.007141,849.509460,228.010513,758.970886,674.316345,80.693092,1065.287231,861.051758,351.973206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,870.956116,713.008606,97.036186,834.807129,619.112671,73.770386,990.008606,849.547058,227.919250,758.961792,674.330505,80.655914,1065.351807,861.144775,352.073303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,870.814331,712.945190,97.065689,834.813538,619.138123,73.762383,990.090942,849.447205,227.964462,759.090149,674.301880,80.775452,1065.321289,861.169006,352.100128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,870.780884,712.939392,97.089157,834.818604,619.145752,73.771881,990.102539,849.389160,228.046463,759.050232,674.295166,80.791962,1065.358276,861.176880,352.071350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,870.792236,712.951111,97.094681,834.774841,619.235596,73.722443,990.102600,849.422119,228.051025,759.090698,674.257263,80.930550,1065.380249,861.265076,352.063660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,870.848450,712.942261,97.055412,834.842712,619.285400,73.714272,990.047058,849.418152,228.076141,759.079773,674.256592,80.909554,1065.489502,861.356567,352.079071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,870.837708,712.983948,96.974487,834.881104,619.209839,73.728806,990.061707,849.404053,228.104813,759.074219,674.282959,80.939278,1065.539551,861.367493,352.060028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,870.899475,713.083374,96.900948,835.017578,619.159546,73.762169,990.058289,849.410828,228.138397,759.105042,674.324524,80.897003,1065.579346,861.439209,352.068359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,870.817261,713.105286,96.874802,835.080017,619.274719,73.687431,990.067078,849.403931,228.111496,759.130066,674.376099,80.876808,1065.662109,861.460999,352.100189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,870.797180,713.221558,96.867767,835.080078,619.358826,73.651024,989.968750,849.407959,228.145874,759.103943,674.391602,80.919075,1065.688843,861.456238,352.095673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,870.869995,713.239441,96.811363,835.090515,619.402405,73.662392,990.016602,849.421265,228.189758,758.947754,674.426514,80.748672,1065.651367,861.567993,352.018890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,870.888611,713.338501,96.735680,835.156860,619.407959,73.604546,989.980347,849.391907,228.099808,759.083862,674.427307,80.887672,1065.545044,861.614380,351.943451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,870.831543,713.393127,96.626602,835.188232,619.403748,73.570564,990.013367,849.393433,228.078354,759.138000,674.386292,80.983162,1065.618408,861.589966,351.942810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,870.821228,713.480347,96.627029,835.271729,619.511475,73.645157,989.949829,849.399353,228.029877,759.144226,674.490051,80.903336,1065.568848,861.598083,351.930969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,870.727966,713.582703,96.599159,835.249451,619.501099,73.644814,989.893860,849.412354,228.042633,759.175781,674.516602,80.831642,1065.573486,861.697754,351.928619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,870.737488,713.630188,96.573158,835.361511,619.477783,73.652328,989.892273,849.419312,228.014648,759.180786,674.515137,80.830704,1065.604126,861.715332,351.858734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,870.678406,713.627441,96.504868,835.456543,619.539795,73.664223,989.917603,849.397339,227.972855,759.137451,674.467651,80.755569,1065.694946,861.716003,351.858521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,870.724060,713.648438,96.475441,835.528259,619.500916,73.601974,990.018066,849.485962,227.985947,759.096252,674.523315,80.900490,1065.744263,861.727661,351.742096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,870.721191,713.730347,96.431900,835.532288,619.529785,73.599266,989.930847,849.503235,227.874619,759.123596,674.516602,80.908600,1065.608643,861.735474,351.664154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,870.645874,713.749451,96.377213,835.572083,619.523926,73.621628,989.853394,849.607300,227.845337,759.105835,674.570190,80.798157,1065.624512,861.744812,351.677673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,870.673035,713.739563,96.407372,835.594360,619.557434,73.570114,989.869385,849.523682,227.845215,759.134583,674.624695,80.849075,1066.449341,861.972839,351.089233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,870.671875,713.786743,96.266800,835.683044,619.464905,73.634926,989.821228,849.585693,227.780106,759.126587,674.629822,80.887260,1066.185913,861.815857,351.030579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,870.680725,713.786255,96.214516,835.753418,619.512817,73.640289,989.901550,849.597351,227.724930,759.115601,674.624390,80.897766,1065.914185,861.882568,351.257782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,870.673218,713.800110,96.237083,835.763794,619.493469,73.629349,989.874390,849.591675,227.662186,759.114746,674.622620,80.895576,1065.734253,861.997375,351.048553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,870.677673,713.850769,96.146156,835.802612,619.569519,73.595108,989.832397,849.675659,227.587906,759.091431,674.616882,80.948494,1066.265503,862.113098,350.797546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,870.692017,713.916687,96.064674,835.841187,619.594055,73.475784,989.805847,849.707825,227.575653,759.062500,674.533997,81.003838,1066.061035,862.036255,350.667023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,870.679626,713.981873,95.895744,835.852722,619.635681,73.228195,989.820496,849.683105,227.455017,759.048767,674.607727,81.037918,1065.835205,862.015686,350.742767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,870.753235,714.094849,95.477470,835.881958,619.752441,73.113373,989.917114,849.779358,227.413239,759.078308,674.604431,80.912041,1065.673340,862.012512,350.873505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,870.896118,714.031372,95.583412,835.888733,619.813721,72.999306,989.960693,849.939880,227.006989,759.119873,674.611450,81.041344,1065.618408,862.024719,350.844025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,870.862183,714.087830,95.236618,835.906799,619.853760,72.870064,990.033813,850.089783,226.854874,759.148010,674.691467,81.162460,1065.645874,862.049744,350.740326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,870.989319,714.158203,94.892036,835.928345,619.845703,72.641708,990.072937,850.104797,226.778885,759.182434,674.719971,81.156593,1065.602661,862.064392,350.605133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,871.009827,714.214722,94.754295,835.923767,619.943848,72.442497,990.069641,850.156372,226.701080,759.198486,674.717896,81.127075,1066.071289,861.918640,350.195435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,871.201904,714.231873,94.567986,836.072693,619.964478,72.256416,990.048401,850.225464,226.603729,759.189331,674.726563,81.161674,1066.322144,861.917114,349.910339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,871.434692,714.325867,94.454201,836.138245,620.057678,72.102287,990.129517,850.326233,226.436356,759.168579,674.818420,81.296745,1066.325684,861.910828,349.825043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,871.452820,714.351379,94.340866,836.221680,620.166504,72.012398,990.159790,850.469421,226.309341,759.113220,674.846680,81.259697,1066.258911,861.980347,349.822693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,871.538208,714.415405,94.232948,836.207458,620.281067,71.897667,990.153503,850.557251,225.839478,759.109619,674.931274,81.367310,1066.164673,862.022034,349.742859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,871.624146,714.450867,94.096222,836.171997,620.327942,71.825615,990.221069,850.640747,225.676971,759.080383,674.960693,81.427818,1066.164429,862.002747,349.680969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,871.528625,714.552917,94.236305,836.208313,620.283752,71.769981,990.274597,850.723755,225.512115,759.010986,674.980347,81.436432,1066.023926,862.037415,349.370819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,871.621338,714.584473,94.096245,836.231506,620.246033,71.704941,990.249817,850.831909,225.437546,759.017151,674.976440,81.410194,1065.958374,862.050049,349.189362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,871.757568,714.689453,94.042923,836.259155,620.293579,71.660896,990.279724,850.960388,225.362198,759.096252,675.027222,81.526054,1065.760864,862.053650,348.987579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,871.808777,714.805542,94.024086,836.255676,620.236084,71.662895,990.343811,851.087463,225.193115,758.998901,675.061646,81.597267,1065.689697,862.188599,348.773865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,871.794495,714.798950,93.995026,836.293213,620.243408,71.666557,990.336243,851.202271,225.097504,758.850342,675.077087,81.623657,1065.678955,862.229248,348.686554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
