Weight07
Date:,2025/04/15
Time:,13:43:27
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,950.407898,890.046326,419.274750,839.882874,642.541138,92.430336,860.748352,737.077026,107.737648,962.136108,950.289063,260.003693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,950.387268,890.129395,419.317474,839.882874,642.541138,92.430336,860.750854,737.092834,107.671257,962.268555,950.327393,259.945618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,950.379456,890.151978,419.307526,839.848816,642.534363,92.419914,860.706116,737.100830,107.610710,962.165161,950.302917,259.877167,762.624512,667.514465,97.867386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,950.435364,890.033447,419.282013,839.870728,642.539001,92.427208,860.713989,737.099548,107.597580,962.162231,950.353821,259.976837,762.570923,667.501709,97.902954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,950.421387,890.116455,419.280273,839.873779,642.531616,92.387375,860.723145,737.097351,107.598854,962.240906,950.339722,259.975922,762.596802,667.504761,97.895370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,950.408936,890.060974,419.275177,839.836975,642.532104,92.359268,860.702698,737.099426,107.611389,962.082336,950.308289,259.952576,762.594910,667.497253,97.846367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,950.066040,890.147705,419.225281,839.867798,642.556152,92.406036,860.715332,737.093994,107.597862,962.141479,950.419617,259.970367,762.597839,667.497803,97.829498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,950.313416,890.058533,419.300323,839.885376,642.556030,92.428940,860.640259,737.086243,107.644737,962.070740,950.361206,259.985687,762.601318,667.506897,97.764473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,950.381714,890.024048,419.298218,839.893005,642.532288,92.389404,860.617065,737.090576,107.675743,962.052551,950.309082,260.010284,762.592407,667.500977,97.716446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,950.376038,889.978699,419.250061,839.885986,642.539917,92.415749,860.663086,737.106689,107.650208,962.090454,950.328003,260.070831,762.626953,667.498596,97.759605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
