Weight61
Date:,2025/04/24
Time:,15:39:28
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
30,841.662659,724.118530,142.304153,731.948608,666.270142,127.320564,1064.273193,854.762146,446.498169,,,,809.700256,630.027527,118.975861,,,,,,,,,,1023.201477,888.266113,263.542694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,839.591187,724.520142,143.867111,729.470093,666.873840,128.553238,1062.383301,855.109375,446.350311,,,,807.422363,629.760193,120.748161,,,,,,,,,,1021.582703,888.767334,264.128479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,836.863831,724.951965,145.954620,726.668518,667.122437,130.778915,1061.306885,855.138184,446.509644,,,,804.901855,629.764343,122.408127,,,,,,,,,,1020.145508,888.896912,264.364410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,833.963440,724.948364,147.597626,723.936890,667.678040,132.425980,1060.153809,855.159668,446.596497,,,,802.133179,629.611511,124.430458,,,,,,,,,,1018.100220,889.256470,264.549469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,830.917786,725.620544,148.489838,721.388123,667.854431,134.163727,1058.659790,855.389648,446.576233,,,,799.526123,629.802246,126.425819,,,,,,,,,,1016.469299,889.695496,264.681549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,828.534241,725.553040,149.627441,718.914978,668.158142,135.500473,1056.901855,855.485840,446.648621,,,,796.218750,629.810181,127.793175,,,,,,,,,,1014.177124,890.100342,265.199371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,825.764160,726.040527,151.157394,715.586060,668.314087,137.791473,1055.635376,855.340576,446.472015,,,,793.396973,629.833740,129.304993,,,,,,,,,,1011.551025,890.394287,265.608429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,822.590027,726.355347,152.562469,712.272949,668.533752,140.003586,1054.306519,855.587219,446.557251,,,,790.142395,630.269531,130.788620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,819.104309,726.504456,153.770523,709.233459,668.957947,141.275177,1052.235229,855.790222,446.676636,,,,786.581421,630.612122,132.203125,,,,,,,,,,,,,1007.520203,890.527954,266.436676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,815.807739,727.112000,155.524200,705.620239,669.278198,142.817123,1050.559937,855.670898,446.427185,,,,783.180115,631.177673,133.516251,,,,,,,,,,,,,1005.775269,890.641479,265.794617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
