Weight12
Date:,2025/04/16
Time:,10:45:22
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,874.503662,730.892456,119.901291,837.526611,633.319397,109.550705,760.009033,687.261475,118.373749,1038.098389,863.264160,220.166351,1103.004272,854.075684,352.769623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,874.477295,730.781738,119.820885,837.345459,633.411865,109.595741,760.054565,687.273560,118.339363,1037.954834,863.669434,220.082321,1102.840820,854.071350,352.728943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,874.535950,730.759583,119.852966,837.235535,633.411682,109.730652,760.055115,687.362671,118.336761,1037.794067,863.986206,220.111176,1102.765381,853.492432,352.164886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,874.611755,730.756836,119.989326,837.096741,633.357971,109.847809,759.937988,687.298584,118.357567,1037.624634,864.233765,220.134735,1102.695190,853.345947,351.921600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,874.673462,730.739319,120.191132,837.087036,633.464050,109.850204,760.199585,687.288696,118.332352,1037.446777,864.523438,220.159027,1102.248291,852.989502,351.813995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,874.697388,730.746277,120.273369,836.866394,633.432434,110.055107,760.287415,687.302002,118.273201,1037.145386,864.793762,220.242355,1101.543335,852.724915,351.666016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,874.633850,730.778931,120.599625,836.764587,633.514282,110.538956,760.033752,687.254517,118.475540,1036.833252,865.017395,220.358032,1100.696533,852.558655,351.714569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,874.640930,730.813721,120.958412,836.519287,633.396667,110.926414,759.893433,687.241089,118.621078,1036.565674,865.237305,220.488113,1100.096680,852.449768,351.729675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,874.542725,730.858704,121.278717,836.326233,633.363464,111.249741,760.047302,687.268494,118.549477,1036.248535,865.435608,220.620819,1099.506714,852.261902,351.723724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,874.392761,730.837341,121.566795,836.122314,633.318481,111.573044,760.054810,687.269043,118.600624,1035.997559,865.644470,220.729385,1099.168335,851.796875,352.000977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,873.753723,730.901123,122.609238,835.965210,633.377014,111.960609,759.826050,687.295410,118.571526,1035.960693,865.796997,220.787628,1098.724243,851.662537,351.981171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,873.274597,731.011658,123.393585,835.705017,633.440918,112.327988,759.505615,687.316528,118.669487,1035.661865,866.028564,220.642517,1098.056641,852.125244,351.738739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,873.285095,730.774902,123.930885,835.184814,633.349182,112.992966,759.063416,687.469971,118.278503,1035.683105,866.123901,220.483871,1097.353516,852.274841,351.677185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,873.400879,731.022522,124.827126,834.744995,633.174927,113.540947,758.737183,687.530884,118.307220,1035.801392,866.323425,220.374817,1096.478882,852.232605,351.669861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,872.842651,731.033386,125.688477,834.309753,633.195129,114.149513,758.407104,687.464172,119.354774,1035.458496,866.727295,220.339355,1095.190552,852.207092,351.610931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,872.435791,731.008850,126.110138,833.942627,633.223877,114.791199,757.938232,687.424561,120.014725,1035.130005,866.900696,220.357986,1094.406494,851.767639,351.789795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,871.834412,731.130127,126.433594,833.479797,633.262451,115.581299,757.456604,687.483093,120.474220,1034.892700,867.101868,220.322952,1093.680786,851.720215,351.817474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,871.250000,731.134888,126.873901,832.744507,633.400574,116.893135,757.024719,687.593384,120.920555,1034.555786,867.376709,220.344482,1092.942017,851.894958,351.739655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,870.794495,731.154785,127.558952,831.781128,633.431213,118.360497,756.691650,687.788269,121.530762,1033.897095,867.753601,220.507263,1092.408813,851.945251,351.655090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,870.309082,730.947998,128.632629,831.094543,633.337280,119.403732,756.138000,687.957458,122.321320,1032.963989,868.247803,220.864960,1091.590088,852.041565,351.282715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,869.626221,730.962219,129.796249,830.219482,633.425964,120.939453,755.108337,688.308594,123.483177,1032.086182,868.586426,221.194748,1090.295410,852.066895,351.200104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,869.068420,731.372742,131.032196,829.472778,633.776245,122.979225,753.868652,688.513672,124.823364,1031.619751,868.837280,221.315933,1089.026001,852.049194,351.084625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,867.865662,731.946777,132.065109,828.589172,634.059570,124.303291,753.182800,688.665100,126.815666,1031.651001,868.955994,221.077805,1088.257935,852.136047,350.691071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,866.728577,731.834351,132.792252,827.417297,634.257507,125.799477,752.342346,688.668640,127.971611,1031.699219,868.962158,220.734695,1087.234375,852.237549,350.992249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,865.187195,731.829346,133.736588,825.965698,634.446533,128.382980,751.064880,688.937988,129.489456,1031.682129,869.053040,220.705032,1085.579590,852.242798,351.523804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,864.552734,731.587280,134.720535,824.660767,634.298828,130.077164,749.406921,689.115662,131.189789,1030.067139,869.642822,220.839020,1084.096558,852.348694,351.001068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,862.794983,732.211182,137.083603,823.382568,634.490112,132.200638,747.970032,688.955688,133.195633,1027.746826,870.168152,221.335648,1083.157349,852.142395,350.753204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,860.648804,732.365540,138.985184,821.959839,634.734680,134.500198,746.353638,689.130981,135.304138,1026.299561,870.224548,221.914734,1081.995483,852.249207,350.628082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
