Weight59
Date:,2025/04/24
Time:,13:52:59
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33,,,*34,,,*35,,,*36,,,*37,,,*38,,,*39,,,*40,,,*41,,,*42,,,*43,,,*44,,,*45,,,*46,,,*47
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
61,741.018066,724.791931,161.430603,626.544617,674.153931,177.539642,,,,,,,,,,,,,,,,,,,,,,,,,,,,979.779175,829.055237,312.172668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,735.640320,725.303040,161.797348,621.943909,674.263184,177.452805,,,,,,,,,,,,,,,,,,,,,,,,,,,,977.085938,829.165161,312.392853,,,,,,,,,,,,,,,,,,,,,,,,,,,,904.037781,858.019043,163.082962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,731.055664,725.741760,161.736801,617.208862,674.283081,177.397858,,,,,,,,,,,,,,,,,,,,,,,,,,,,974.660034,829.012268,312.712769,,,,,,,,,,,,,,,,,,,,,,,,,,,,899.934265,857.904541,163.186707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,726.429626,725.856934,161.809784,612.331970,674.542358,177.338196,,,,,,,,,,,,,,,,,,,,,,,,,,,,972.159424,828.942505,313.221466,,,,,,,,,,,,,,,,,,,,,,,,,,,,895.775085,857.638733,164.392624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,721.531006,725.984619,162.001724,607.789917,674.672791,177.356308,,,,,,,,,,,,,,,,,,,,,,,,,,,,969.375610,828.804504,313.249878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,716.618408,726.350769,161.446991,602.785645,674.785706,177.234756,,,,,,,,,,,,,,,,,,,,,,,,,,,,966.886108,828.572815,313.952393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,887.294128,857.077332,165.832932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,712.279968,726.180420,161.135529,598.121643,674.902527,176.178345,,,,,,,,,,,,,,,,,,,,,,,,,,,,964.470398,828.192078,313.842377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,883.602417,856.519287,166.193283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,708.160522,725.991577,161.144089,593.482056,675.096069,175.906143,,,,,,,,,,,,,,,,,,,,,,,,,,,,961.540833,827.992188,314.593689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,702.880310,726.215820,160.953140,588.601318,675.582275,175.884003,,,,,,,,,,,,,,,,,,,,,,,,,,,,959.326782,827.541565,314.770996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,874.930237,855.263733,167.587997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,697.798950,726.327026,160.460037,583.868347,675.883423,175.153091,,,,,,,,,,,,,,,,,,,,,,,,,,,,956.431396,827.131042,315.164429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,870.779541,854.882019,168.092834,658.386658,633.414490,172.188675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,692.924561,726.160278,160.249924,579.333496,676.259094,174.323883,,,,,,,,,,,,,,,,,,,,,,,,,,,,954.256653,826.742065,315.724884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,866.807983,854.098083,168.552536,653.877380,633.876831,172.264709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,688.562378,725.794556,159.697311,574.446838,676.627502,173.729233,,,,,,,,,,,,,,,,,,,,,,,,,,,,951.189819,826.472168,316.180359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,862.812134,853.724121,169.095825,649.006165,633.863708,171.432007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,684.397766,725.919861,158.654068,569.713135,677.010620,172.562469,,,,,,,,,,,,,,,,,,,,,,,,,,,,948.581909,825.991516,316.733826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,858.160095,853.200745,170.532898,643.973572,633.890686,170.806381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,679.937805,725.826599,158.667694,565.133423,677.252197,171.530609,,,,,,,,,,,,,,,,,,,,,,,,,,,,945.849243,825.694275,317.309631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,638.990356,633.433716,170.123337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,675.658020,725.831116,158.232529,560.486389,677.622070,170.623428,,,,,,,,,,,,,,,,,,,,,,,,,,,,942.848145,825.175293,317.580292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,634.508850,632.567444,169.511368,849.180969,851.953064,172.387466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,671.242798,726.237732,157.434830,556.053894,677.963196,170.214508,,,,,,,,,,,,,,,,,,,,,,,,,,,,940.426331,824.765564,318.085114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,630.074219,632.322876,168.418442,846.528320,850.878540,171.964630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,667.388489,726.253174,156.759415,551.423340,678.292603,169.411087,,,,,,,,,,,,,,,,,,,,,,,,,,,,937.452759,823.943542,318.397766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,625.443726,632.674133,166.554489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,663.062317,726.226074,156.452606,547.014832,678.536743,168.138245,,,,,,,,,,,,,,,,,,,,,,,,,,,,934.747253,823.339661,318.911682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,620.862732,633.278870,165.030533,,,,838.393005,849.371460,173.925888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,658.668518,726.084900,155.722931,542.846375,678.828979,167.314880,,,,,,,,,,,,,,,,,,,,,,,,,,,,931.998901,822.824341,319.205505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,615.761292,633.937866,163.689178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,654.601257,725.928223,155.078079,538.517517,679.018738,165.796631,,,,,,,,,,,,,,,,,,,,,,,,,,,,928.748169,822.356445,319.245422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,830.779236,847.979248,175.107056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,650.500732,726.113464,154.074966,534.238098,679.303894,165.020859,,,,,,,,,,,,,,,,,,,,,,,,,,,,926.746460,821.526123,319.536346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,828.642212,846.817078,174.740082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,646.540833,725.970398,153.132401,529.966187,679.607971,163.667862,,,,,,,,,,,,,,,,,,,,,,,,,,,,923.340393,820.887390,320.117584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,824.181824,846.542297,175.494751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,642.583679,725.889526,152.690582,525.852966,679.940979,162.534882,,,,,,,,,,,,,,,,,,,,,,,,,,,,920.738892,819.984741,320.543243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820.382141,845.600403,176.659790,598.117432,635.211670,157.856735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,638.637512,725.768311,151.752045,521.750061,680.358704,161.139999,,,,,,,,,,,,,,,,,,,,,,,,,,,,918.662231,819.184326,320.430389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,817.071167,844.930420,177.088516,594.858765,635.122131,157.000290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,635.156982,725.667725,150.795776,517.944824,680.574951,160.024841,,,,,,,,,,,,,,,,,,,,,,,,,,,,915.050049,818.685974,321.177185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,813.796448,843.994324,177.530411,591.011169,634.812195,155.687210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,631.137939,725.739258,149.823090,514.273132,680.954590,158.766632,,,,,,,,,,,,,,,,,,,,,,,,,,,,913.061768,817.854004,321.460846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,810.480957,843.245483,177.787201,586.652466,634.460205,154.995178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,627.945923,725.672058,148.884491,510.681671,681.139221,157.147339,,,,,,,,,,,,,,,,,,,,,,,,,,,,910.236694,817.200745,321.559052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,807.190186,842.369324,177.934830,582.837585,634.622925,153.606918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,624.335022,725.653687,148.226944,507.095490,681.598450,155.858459,,,,,,,,,,,,,,,,,,,,,,,,,,,,907.474304,816.543213,322.174072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,803.514221,841.888123,178.887283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,620.673401,725.488159,147.781540,503.358002,681.788696,154.510101,,,,,,,,,,,,,,,,,,,,,,,,,,,,905.529297,815.555542,322.337921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800.643311,840.804260,179.159607,,,,574.530884,636.123779,149.474121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,617.402710,725.627502,146.675293,499.845642,682.055237,153.353027,,,,,,,,,,,,,,,,,,,,,,,,,,,,902.740662,814.927917,322.602966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,797.772888,839.964966,179.181183,,,,571.931396,635.466125,148.914627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,614.090759,725.484009,145.588318,496.541290,682.299194,152.110870,,,,,,,,,,,,,,,,,,,,,,,,,,,,900.431885,814.232056,322.536621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568.298340,634.355835,148.034897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,610.725159,725.258057,145.123001,493.059814,682.493958,150.275711,,,,,,,,,,,,,,,,,,,,,,,,,,,,898.146362,813.207764,322.636536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,564.862488,633.286987,146.661636,791.615417,838.580444,180.429382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,607.548096,725.332581,143.618912,489.829742,682.711243,148.977081,,,,,,,,,,,,,,,,,,,,,,,,,,,,895.604919,812.812622,323.093689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,561.586243,633.533203,145.474594,789.056152,837.525452,180.107437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,604.885925,725.071350,142.745880,486.838898,682.761108,147.305405,,,,,,,,,,,,,,,,,,,,,,,,,,,,893.098999,812.098267,323.401154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,558.231262,635.304932,143.020798,786.326172,836.499207,180.599762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,601.328796,725.257935,141.717163,483.686584,683.123169,146.085571,,,,,,,,,,,,,,,,,,,,,,,,,,,,891.254517,811.491272,323.263062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,783.062195,836.142700,180.996124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,599.274170,725.170105,140.894913,480.583588,683.285278,144.671417,,,,,,,,,,,,,,,,,,,,,,,,,,,,888.996704,810.865662,323.395538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,551.358276,638.583374,138.740921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,596.021301,725.299683,140.341064,477.722351,683.588135,143.424286,,,,,,,,,,,,,,,,,,,,,,,,,,,,886.527100,810.529907,323.451263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,549.210266,635.595886,139.200104,778.321777,834.669800,181.124664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,592.690430,725.380859,139.481979,475.032349,683.696411,141.860535,,,,,,,,,,,,,,,,,,,,,,,,,,,,884.534485,809.415344,323.634064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,775.369141,834.103271,181.514587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,590.233826,725.401428,138.271439,472.181091,684.005676,140.154709,,,,,,,,,,,,,,,,,,,,,,,,,,,,882.427917,808.970459,323.508453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543.259583,635.674377,136.299576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,587.567688,725.528320,137.496765,469.442749,684.402771,139.141663,,,,,,,,,,,,,,,,,,,,,,,,,,,,880.279968,808.445068,323.364319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540.539307,636.262451,134.976318,770.660645,832.644104,181.806000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,585.825378,725.147644,136.736938,466.641479,684.763062,137.398117,,,,,,,,,,,,,,,,,,,,,,,,,,,,878.696289,808.055725,322.911621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,537.756104,636.759705,133.731628,768.408691,831.930298,181.688522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,582.546021,725.350403,135.585602,464.415924,685.114685,136.271820,,,,,,,,,,,,,,,,,,,,,,,,,,,,876.733887,807.367798,322.886383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,535.218140,636.958496,132.426636,766.602844,831.246704,181.475845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,580.907837,725.434326,134.422165,461.744507,685.615601,134.465942,,,,,,,,,,,,,,,,,,,,,,,,,,,,874.668091,806.986206,322.820862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,532.347717,637.320374,130.824646,764.802734,830.513123,181.171280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,578.366028,725.370850,133.862061,459.850159,685.832458,133.429810,,,,,,,,,,,,,,,,,,,,,,,,,,,,872.475342,806.337219,323.063416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,529.929749,637.422485,129.630081,762.323547,830.296631,180.991776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,576.370667,725.626953,133.134262,457.278015,686.177551,132.756699,,,,,,,,,,,,,,,,,,,,,,,,,,,,870.863403,805.443115,322.463165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,527.264038,638.013611,128.033478,760.265015,829.768921,181.210434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,574.623718,725.489563,132.218277,455.079834,686.552490,131.362518,,,,,,,,,,,,,,,,,,,,,,,,,,,,869.386597,805.073792,322.727081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525.487122,638.366638,127.307800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,572.354736,725.752014,131.200272,453.253845,686.904236,130.083557,,,,,,,,,,,,,,,,,,,,,,,,,,,,867.190063,804.434204,322.300140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,523.166260,638.388245,126.432465,,,,757.262512,828.606201,180.122894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,570.511353,725.916687,131.019669,451.047485,687.182922,129.335632,,,,,,,,,,,,,,,,,,,,,,,,,,,,865.701538,803.848694,321.910858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,521.232788,638.420105,125.561653,,,,755.063049,828.064514,180.519485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,568.291992,725.832153,130.330215,448.970673,687.704285,128.232315,,,,,,,,,,,,,,,,,,,,,,,,,,,,864.474304,803.060242,321.952637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,519.106506,638.432129,124.297646,,,,753.420349,827.611633,180.316681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,566.719849,725.876099,129.072159,447.438080,688.034546,127.090668,,,,,,,,,,,,,,,,,,,,,,,,,,,,862.596313,802.667969,321.940552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,516.793762,638.534790,123.527168,,,,752.630127,826.967834,179.678619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,565.294739,726.018311,128.241180,445.421204,688.564697,125.852867,,,,,,,,,,,,,,,,,,,,,,,,,,,,860.955078,802.492371,321.601746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,514.963501,638.725342,122.399361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,563.208191,726.114929,127.491173,443.587372,688.868835,124.722366,,,,,,,,,,,,,,,,,,,,,,,,,,,,859.460754,801.989136,321.556549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,513.611633,639.228088,121.232567,,,,,,,749.029297,826.409851,179.097260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,561.958984,726.457642,127.141411,442.230560,689.378845,124.122391,,,,,,,,,,,,,,,,,,,,,,,,,,,,857.705200,801.691589,321.462830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,511.826965,639.569214,120.500587,,,,,,,747.755737,826.260925,179.231384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,560.228455,726.653503,125.976364,440.153412,689.791565,123.194572,,,,,,,,,,,,,,,,,,,,,,,,,,,,856.684021,801.110229,320.972107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509.635284,639.745483,119.535988,,,,,,,746.439270,825.648315,179.263718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,558.445251,726.923035,125.725632,438.799683,690.358643,122.113464,,,,,,,,,,,,,,,,,,,,,,,,,,,,855.787842,800.674683,320.686493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,508.081573,640.092712,118.759636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,556.937622,726.985352,125.328987,437.305328,690.826782,121.093735,,,,,,,,,,,,,,,,,,,,,,,,,,,,853.996460,800.640442,320.633484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,507.013947,640.794067,118.086060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,555.511353,727.327026,124.904343,436.306671,691.137024,120.102402,,,,,,,,,,,,,,,,,,,,,,,,,,,,852.735413,800.555542,320.309875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,742.744873,824.703796,178.523895,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,554.110779,727.533813,124.037720,434.557007,691.677002,119.131966,,,,,,,,,,,,,,,,,,,,,,,,,,,,851.623474,800.403931,320.158600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,741.038330,824.713135,177.981232,503.439850,640.652710,117.350502,,,,,,,,,,,,,,,,,,,,,,,,
119,552.870239,727.968140,123.332222,433.271088,691.997070,118.352371,,,,,,,,,,,,,,,,,,,,,,,,,,,,850.890930,799.793091,320.259613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,739.637207,824.714966,177.800812,502.098602,641.352356,116.509315,,,,,,,,,,,,,,,,,,,,,,,,
120,552.074829,727.919678,122.904678,431.683960,692.367004,117.712784,,,,,,,,,,,,,,,,,,,,,,,,,,,,849.747253,799.436096,319.810516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,739.247009,824.180359,177.526794,500.842194,642.192444,115.671486,,,,,,,,,,,,,,,,,,,,,,,,
121,550.860840,728.212891,121.730438,430.547852,692.788757,117.128159,,,,,,,,,,,,,,,,,,,,,,,,,,,,848.193665,799.410461,319.394104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499.580872,642.679688,114.454163,,,,,,,,,,,,,,,,,,,,,,,,
122,549.638733,728.658997,121.101540,429.346893,693.103394,116.035240,,,,,,,,,,,,,,,,,,,,,,,,,,,,847.303833,799.330627,319.244568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,498.778656,643.531677,113.128487,,,,,,,,,,,,,,,,,,,,,,,,
123,548.699829,728.878296,120.832077,428.176331,693.575195,115.263657,,,,,,,,,,,,,,,,,,,,,,,,,,,,846.347412,799.396118,319.815735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,496.791138,643.838928,112.119583,735.724487,823.637085,177.182953,,,,,,,,,,,,,,,,,,,,,
124,547.656433,729.170410,119.956078,427.158539,693.994629,114.356247,,,,,,,,,,,,,,,,,,,,,,,,,,,,845.328308,799.095764,319.515778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,495.016144,642.749573,111.736557,734.827332,823.671204,177.075302,,,,,,,,,,,,,,,,,,,,,
125,546.557373,729.217407,119.263351,425.879333,694.640442,113.559853,,,,,,,,,,,,,,,,,,,,,,,,,,,,844.340637,798.742859,318.858307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,494.428131,643.322998,111.154305,734.065063,823.677429,176.938568,,,,,,,,,,,,,,,,,,,,,
126,545.550171,729.429688,118.581413,425.212189,695.201111,112.801071,,,,,,,,,,,,,,,,,,,,,,,,,,,,843.633911,798.623718,318.348022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,493.799408,643.942383,110.777626,733.315491,823.686707,176.629074,,,,,,,,,,,,,,,,,,,,,
127,544.234375,729.736145,118.325188,424.388000,695.796570,112.098076,,,,,,,,,,,,,,,,,,,,,,,,,,,,842.832153,798.589905,318.361633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,492.550873,644.569519,110.298698,,,,,,,,,,,,,,,,,,,,,,,,
