Weight61
Date:,2025/04/30
Time:,17:44:35
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,861.545410,711.877502,121.449104,1071.368042,800.977295,433.344147,825.548584,615.643066,106.695709,756.607300,653.011963,107.212303,1049.870361,827.109314,252.611038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,861.787292,711.683533,121.651146,1071.185181,801.238464,433.365906,824.727112,615.371948,106.866829,756.502075,653.120117,107.302895,1049.900757,827.327026,252.633575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,861.600586,711.682251,121.860443,1071.197021,801.434875,433.415436,824.622009,615.623596,107.252884,756.357849,653.236206,107.316589,1049.870117,827.665039,252.726700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,861.277466,711.638550,122.215111,1071.262817,801.641968,433.433624,824.312195,615.732849,107.544769,756.149902,653.460144,107.423393,1049.732056,828.004150,252.893631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,860.967041,711.616577,122.653786,1071.147217,801.815674,433.446594,823.619690,615.590088,107.983330,755.756836,653.729980,107.429810,1049.801758,828.431580,252.981140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,860.517395,711.465820,123.564865,1070.903564,802.097778,433.642120,823.067261,615.667847,108.620186,755.169800,654.127258,107.507362,1049.658813,828.933411,253.231598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,860.585999,711.224304,123.798485,1070.603638,802.356750,433.833435,822.259705,615.668762,109.083061,754.339722,654.591919,107.948647,1049.415894,829.360657,253.501678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,859.496094,711.509521,125.246506,1070.192749,802.717285,434.048218,821.520081,615.751404,109.651588,753.576111,654.924316,108.059448,1049.119751,829.741760,253.806732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,858.498901,711.838196,126.571190,1069.822510,802.938843,434.165253,820.781189,616.035645,110.287560,752.835815,655.431641,108.405144,1048.885986,829.992920,254.045013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,857.943787,712.045898,127.159790,1069.400024,803.114746,434.320190,819.851440,616.490479,111.587624,752.197388,655.921753,108.699203,1048.615356,830.213806,254.315887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,857.626709,712.273987,127.187538,1069.033691,803.289795,434.505066,818.956665,616.706177,112.835541,751.638733,656.341370,109.309967,1048.444214,830.464722,254.499084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,857.592102,712.693420,127.598442,1068.490967,803.432922,434.619171,818.491150,616.969238,113.621613,750.791931,656.575623,110.386948,1048.247314,830.770264,254.569321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,857.170471,713.004517,128.192749,1068.088867,803.499023,434.463806,817.527527,617.452698,115.045357,749.781494,657.000977,111.422714,1048.073120,831.102356,254.745026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,856.346985,713.404236,129.039902,1067.635620,803.565735,434.098511,816.504395,618.036072,117.048561,749.080994,657.654663,112.029655,1047.855957,831.464478,254.959763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,855.292969,713.904907,130.216721,1067.026978,803.594299,434.092316,815.395264,618.646362,118.591515,748.575378,658.399170,113.326401,1047.587402,831.857788,255.028473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,854.281006,714.253540,131.410339,1066.190308,803.817749,433.903107,814.473389,619.096802,119.539253,747.478699,659.024414,114.979774,1047.390991,832.281677,255.071625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,853.146301,714.955750,132.946609,1065.395386,804.113159,433.710358,813.381409,620.097656,122.046822,746.067017,659.686951,116.562523,1047.185547,832.699829,255.178925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,851.878479,715.588806,134.179413,1064.638794,804.336487,433.659851,811.915283,620.625305,124.169014,744.806152,660.107544,118.756783,1046.696777,833.106201,255.496841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
