Weight19
Date:,2025/04/16
Time:,14:18:25
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33,,,*34,,,*35,,,*36,,,*37,,,*38,,,*39,,,*40,,,*41,,,*42
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,887.739746,711.486450,118.531708,833.832581,630.718323,84.529366,762.728455,687.329102,95.527390,1107.771851,850.489014,282.105469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,887.730164,711.489441,118.586777,833.859741,630.693176,84.566154,762.852295,687.204102,95.019341,1107.728638,850.474792,282.115021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,887.700928,711.493225,118.569107,833.862488,630.685120,84.573914,762.877014,687.196411,94.900078,1107.748535,850.421021,282.213318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,887.708862,711.488464,118.542702,833.793518,630.706299,84.547165,762.847595,687.216980,94.985931,1107.730103,850.463562,282.142670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,887.676941,711.557007,118.562126,833.841370,630.703003,84.559097,762.818054,687.207092,95.084198,1107.671997,850.487671,282.050751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,887.676514,711.502808,118.590721,833.778503,630.716980,84.579994,763.015503,687.159851,95.163795,1107.741333,850.425842,282.191101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,887.653503,711.560059,118.568123,833.731018,630.646484,84.596695,762.806030,687.192322,95.083130,1107.763428,850.410889,282.239716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,887.647522,711.606995,118.601097,833.668518,630.609741,84.597992,762.839600,687.258240,95.153000,1107.760376,850.414368,282.234314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,887.611816,711.568542,118.585388,833.786194,630.702576,84.629944,762.871277,687.259460,95.134148,1107.695190,850.417297,282.164063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,887.633057,711.551514,118.605164,833.799866,630.700623,84.584938,762.794861,687.193665,95.010445,1107.622681,850.465210,282.062592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,887.638062,711.588440,118.584999,833.789307,630.686951,84.572388,763.029602,687.180603,95.184685,1107.600464,850.336914,282.032654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,887.589661,711.562317,118.574768,833.823303,630.711426,84.537285,762.999939,687.248352,95.073036,1107.606445,850.291687,282.066559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,887.641724,711.567444,118.614388,833.795288,630.723877,84.529335,762.805115,687.210632,95.005775,1107.638672,850.487732,282.175232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,887.653503,711.573975,118.570930,833.783447,630.696411,84.567558,762.744751,687.190063,95.037888,1107.623291,850.489258,282.123749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,887.687134,711.524658,118.522446,833.781250,630.675232,84.587517,762.794556,687.198120,95.027924,1107.598755,850.431458,282.063568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,887.733704,711.522827,118.528320,833.846375,630.680725,84.578735,762.808838,687.198853,95.013641,1107.620972,850.393494,282.156128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,887.753540,711.589050,118.447083,833.802551,630.682800,84.576065,762.811279,687.193054,95.050453,1107.599487,850.416809,282.088593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,887.726501,711.541138,118.439369,833.844543,630.689941,84.570877,762.830627,687.089661,95.038391,1107.614624,850.419189,282.167816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,887.704895,711.558167,118.477280,833.863708,630.694275,84.565048,762.806213,687.173401,95.019394,1108.320801,850.447388,281.462738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,887.763000,711.488220,118.466797,833.863342,630.695068,84.563858,762.853882,687.201782,94.982880,1107.927246,850.530334,281.908905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,887.723450,711.579468,118.524033,833.895386,630.668701,84.566620,762.843567,687.210449,94.980942,1107.619629,850.696899,282.130188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,887.691772,711.580750,118.544762,833.898987,630.725952,84.587791,763.123291,687.156189,95.060760,1108.255981,850.570313,281.501770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,887.684509,711.573975,118.511711,833.895447,630.754639,84.585617,762.889343,687.095459,95.016212,1107.885986,850.622559,281.857788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,887.729004,711.587646,118.486961,833.815002,630.719421,84.609283,762.765381,687.186584,94.992134,1108.344971,850.538025,281.545563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,887.685852,711.595886,118.548470,833.869080,630.729126,84.601791,762.798279,687.212158,95.008835,1108.235229,850.855896,281.737152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,887.687500,711.616272,118.524277,833.922913,630.728760,84.614571,762.806274,687.202209,95.015778,1107.786621,850.754456,282.118042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,887.750305,711.632019,118.534706,833.825867,630.704590,84.618874,762.803162,687.196777,95.017731,1108.306396,850.538452,281.595001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,887.728455,711.648315,118.534607,833.831299,630.697388,84.620239,762.769348,687.192932,95.036301,1107.930664,850.636780,281.958771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,887.695618,711.624573,118.524864,833.804993,630.695251,84.624466,762.786804,687.194763,95.031776,1107.679321,850.777283,282.198639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,887.637512,711.627991,118.487282,833.799011,630.668030,84.668686,762.790039,687.204956,95.057617,1108.315063,850.636292,281.594147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,887.615479,711.608582,118.534836,833.803650,630.711426,84.668892,762.744385,687.187683,95.061707,1108.605835,850.601074,281.205597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,887.638794,711.614075,118.540169,833.777710,630.736816,84.633369,762.747681,687.188293,95.055702,1107.939209,850.758118,281.936523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,887.634338,711.705139,118.488434,833.726563,630.694092,84.599884,762.774719,687.323059,95.430634,1107.645996,850.898071,282.310028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,887.610596,711.651917,118.483711,833.760559,630.720642,84.625847,762.699219,687.207397,95.191597,1107.626953,850.936157,282.208710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,887.577515,711.692749,118.500641,833.787048,630.795044,84.722267,762.744690,687.180603,95.041183,1108.348022,850.707397,281.547699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,887.597961,711.657654,118.497665,833.760315,630.750366,84.655716,762.799927,687.202698,95.031845,1108.628052,850.633484,281.310791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,887.583618,711.645020,118.499893,833.774597,630.729309,84.734154,762.779846,687.196594,95.100311,1107.947754,850.917114,282.034729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,887.591003,711.702148,118.446198,833.783997,630.702087,84.734169,762.765198,687.320862,95.454109,1107.723999,851.033752,282.391724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,887.584839,711.727844,118.459450,833.779114,630.712524,84.761208,762.780823,687.216980,95.193985,1107.762451,851.025635,282.383728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,887.604614,711.713013,118.463127,833.775208,630.719299,84.768181,762.831543,687.193481,95.124725,1107.821899,851.033508,282.323212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,887.596008,711.618408,118.470413,833.761230,630.714783,84.712646,762.794983,687.200989,95.053009,1107.825317,851.126648,282.222076,1135.040039,845.078613,425.095428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,887.583923,711.624695,118.474953,833.804138,630.724060,84.684410,762.856262,687.203003,95.089417,1107.862183,851.133484,282.289124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,887.601624,711.708069,118.489914,833.763306,630.753113,84.708755,763.133972,687.188293,95.515366,1107.860229,851.220886,282.337677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,887.635376,711.735474,118.484566,833.725708,630.693542,84.769051,762.947144,687.199890,95.391151,1107.842163,851.263184,282.383820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
