Weight62
Date:,2025/04/24
Time:,16:11:51
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,875.770569,702.375061,112.828972,819.132813,617.649841,108.071091,758.912537,673.627380,113.401230,1003.947815,867.977173,239.907822,1032.768433,871.982239,413.600647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,875.452026,702.480469,113.357056,818.735901,617.701294,108.639175,758.025452,673.632019,114.311958,1003.537231,868.331787,240.084869,1031.640137,872.054260,413.650146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,875.099182,702.473999,113.925690,818.359497,617.813049,109.213364,757.325684,673.736084,115.110725,1003.311707,868.703735,240.202194,1029.790039,872.434509,413.940613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,874.365356,702.716614,115.265106,817.917908,618.049744,110.186890,756.652832,673.862244,115.621101,1002.879761,869.175171,240.389679,1028.378906,872.757751,414.011322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,873.518860,702.982788,116.866188,817.213013,618.270691,111.695114,756.219177,674.044312,116.144676,1002.326721,869.653503,240.519211,1027.657471,872.970032,413.948364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,872.544434,703.094482,118.264351,816.446472,618.274353,112.840538,755.825989,674.245483,116.836693,1001.475464,870.209656,240.957748,1027.033936,873.169434,413.859100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,872.115173,703.247864,118.854881,815.606323,618.412964,113.911308,755.134033,674.322205,118.065224,1001.175842,870.591431,241.138351,1025.872314,873.318176,413.433105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,871.510315,703.550903,119.053497,814.693115,618.690125,115.199745,753.831482,674.457092,120.323715,1000.973938,870.818420,240.980194,1024.666504,873.688538,413.127899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,870.515076,704.037354,119.950455,813.575989,619.010498,117.280029,752.393616,674.654114,122.830330,1000.803040,871.091980,240.884979,1023.352783,873.950195,412.837402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,869.221069,704.338989,121.605042,812.520691,619.134399,118.742439,751.184814,674.833923,124.250992,1000.265625,871.445557,240.929062,1022.725952,873.981934,412.907623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,867.468994,704.686462,123.084053,810.876404,619.368347,120.521919,750.266541,675.183960,126.198189,999.375000,871.717224,241.393234,1022.663879,873.835327,412.290558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,865.972290,704.788574,124.416405,809.252930,619.621521,122.817276,748.689209,675.280151,128.921341,997.560059,872.101135,242.013977,1021.009399,874.192078,412.262054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,863.820007,704.930054,125.798302,807.488892,619.681335,124.527321,746.802307,675.244995,131.590790,995.922791,872.548645,242.354874,1019.278442,874.385071,412.415955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,861.876465,704.982056,126.865349,805.281006,619.890564,126.515549,744.963867,675.289673,134.593323,995.199585,872.687561,242.612610,1018.209778,874.521240,412.365479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,859.853455,705.559326,128.671539,803.155762,620.137878,128.816177,742.601379,675.610229,136.754074,994.090149,872.827576,242.958298,1017.467590,874.534058,412.366180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
