Weight61
Date:,2025/04/23
Time:,12:59:44
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33,,,*34,,,*35,,,*36,,,*37,,,*38,,,*39,,,*40,,,*41,,,*42,,,*43,,,*44
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
14,879.409607,696.674744,95.248055,825.591187,619.925720,109.750954,765.295044,679.460693,109.068748,1089.283813,793.524658,207.460556,1108.093506,779.277771,299.793335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,879.427368,696.661072,95.209068,825.561462,619.968140,109.793686,765.286743,679.464233,109.034920,1089.346558,793.446655,207.388184,1108.109253,779.218079,299.777100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,879.439575,696.655701,95.189476,825.548584,619.998169,109.747513,765.280823,679.464722,109.022499,1089.349487,793.351929,207.481491,1108.109863,779.168457,299.777039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,879.493042,696.647522,95.192764,825.537109,620.053040,109.750153,765.269653,679.450806,109.085220,1089.383667,793.295105,207.403000,1108.134644,779.097046,299.825378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,879.517700,696.565613,95.182289,825.622986,620.028931,109.721123,765.296387,679.458984,109.086563,1089.390747,793.240295,207.367188,1108.206421,779.083984,299.778595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,879.545471,696.544495,95.155533,825.611328,619.978821,109.723320,765.318054,679.551270,109.072311,1089.388672,793.236267,207.367920,1108.189819,779.039551,299.707062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,879.539795,696.560181,95.155418,825.564270,619.992432,109.781265,765.328613,679.475037,109.039192,1089.386963,793.240112,207.372604,1108.176514,779.034485,299.694946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,879.638123,696.551758,95.209839,825.571838,619.960388,109.762398,765.335693,679.447876,109.026077,1089.594604,793.230530,207.317093,1108.175659,779.037109,299.700195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,879.597900,696.529785,95.221619,825.561646,619.966675,109.737595,765.365540,679.535156,109.031685,1089.646118,793.225708,207.302689,1108.179077,778.993652,299.698059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,879.593201,696.523438,95.202087,825.635925,619.956726,109.737930,765.332397,679.478333,109.048843,1089.633179,793.226440,207.306000,1108.245605,778.981506,299.638428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,879.551636,696.523865,95.221016,825.590454,619.970520,109.736275,765.348328,679.446167,109.042282,1089.623657,793.227478,207.308624,1108.257813,778.924194,299.621857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,879.573975,696.545410,95.229156,825.576233,619.967957,109.735519,765.331238,679.545166,109.056511,1089.678955,793.220520,207.368988,1108.282471,778.963562,299.681702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,879.679565,696.461365,95.238289,825.581299,619.955811,109.740082,765.312561,679.587036,108.991905,1089.726196,793.307495,207.386871,1108.258911,778.926758,299.640137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,879.644287,696.479736,95.319290,825.555298,619.991333,109.782906,765.365173,679.557617,109.019218,1089.727417,793.371277,207.391388,1108.186279,778.995667,299.686157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,879.613647,696.424316,95.304703,825.546692,620.010132,109.740707,765.362122,679.557190,109.069466,1089.747314,793.486755,207.401993,1108.171875,778.995911,299.700378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,879.680176,696.386780,95.311691,825.544495,620.037537,109.701233,765.327698,679.556030,109.057968,1089.809692,793.600464,207.474686,1108.175537,779.034668,299.703674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,879.638245,696.395203,95.368912,825.435059,620.101379,109.687729,765.352539,679.549988,109.044655,1089.784302,793.726624,207.561829,1108.177612,779.040283,299.703094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,879.620056,696.390503,95.401604,825.435669,620.092529,109.730148,765.375549,679.554199,109.087318,1089.879517,793.905273,207.650497,1108.205322,779.027466,299.754578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,879.677673,696.236633,95.583084,825.435608,620.104614,109.689240,765.313354,679.677856,109.038292,1089.927368,794.084045,207.681046,1108.126343,779.128967,299.778137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,879.691650,696.239868,95.515633,825.428040,620.173096,109.692482,765.372375,679.669739,109.113052,1089.923584,794.270508,207.780762,1108.037231,779.151123,299.834381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,879.773132,696.245850,95.490677,825.367371,620.194275,109.752319,765.389160,679.660400,109.189880,1090.019409,794.528076,207.909515,1108.022949,779.220154,299.852936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,879.791565,696.124084,95.511841,825.348083,620.138489,109.741486,765.411865,679.760132,109.153549,1090.005493,794.692993,208.004150,1107.965942,779.291931,299.915161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,879.821594,696.067139,95.608902,825.274292,620.120789,109.724777,765.488342,679.774780,109.166695,1090.009888,794.864319,208.145187,1107.923218,779.325012,300.035309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,879.877258,696.045288,95.680901,825.214966,620.203918,109.744461,765.257080,679.874268,109.469803,1090.065308,794.989624,208.242264,1107.919678,779.352051,300.059937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,879.921265,695.865234,96.016930,825.168823,620.338196,109.708153,765.050537,680.008362,109.719139,1090.045654,795.206848,208.328476,1107.779175,779.433594,300.055817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,879.950256,695.687012,96.227112,825.206604,620.376831,109.654274,765.041565,680.026733,109.848801,1090.022339,795.361633,208.305725,1107.678467,779.478149,300.112396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,879.998779,695.549927,96.347160,825.133118,620.371948,109.638382,765.127808,680.114929,109.804893,1090.066650,795.560486,208.362381,1107.492065,779.530823,300.184235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,880.194763,695.404297,96.456032,825.032471,620.430725,109.619591,765.248169,680.212463,109.795372,1089.998657,795.705688,208.426498,1107.326782,779.620239,300.180969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,880.298401,695.306824,96.728188,824.936035,620.553528,109.671837,765.246033,680.225220,109.756569,1090.091553,795.761475,208.549927,1107.221191,779.693115,300.225464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,880.386047,695.169373,96.950691,824.750244,620.666687,109.658218,765.290222,680.318176,109.751671,1090.076904,795.924072,208.518097,1107.008789,779.767517,300.297455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,880.533386,695.002686,96.951805,824.850098,620.680115,110.033791,765.342773,680.424927,109.802101,1090.118774,796.141479,208.563431,1106.740967,779.873108,300.295135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,880.617432,694.862854,96.971680,824.810974,620.565918,110.352242,765.443970,680.533813,109.857101,1090.070190,796.397217,208.536530,1106.610352,779.985291,300.349945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
