Weight63
Date:,2025/04/23
Time:,12:59:51
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
21,763.605347,681.756836,111.874146,876.276794,700.835693,95.974915,825.368103,621.653625,110.211838,1079.216431,808.616455,211.235901,1094.433960,793.122009,303.887451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,763.549744,681.782166,111.882782,876.286987,700.835999,95.969963,825.413574,621.622925,110.278595,1079.208740,808.729065,211.260193,1094.453613,793.079773,303.900391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,763.522400,681.789185,111.901131,876.363098,700.872192,95.978088,825.389038,621.591919,110.265282,1079.315674,808.695740,211.253448,1094.423950,792.993103,303.865631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,763.593933,681.736267,111.763992,876.310120,700.859985,95.942314,825.414429,621.563538,110.308372,1079.341797,808.626404,211.243958,1094.500000,792.903198,303.814911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,763.656555,681.756958,111.862488,876.266418,700.850769,95.939011,825.392090,621.563782,110.300652,1079.356689,808.592285,211.259583,1094.578247,792.887634,303.867340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,763.551758,681.786133,111.895737,876.147278,700.978577,96.130287,825.364380,621.603577,110.302406,1079.454590,808.526917,211.240555,1094.596680,792.782898,303.899719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,763.523315,681.778076,111.871452,876.165894,700.894287,96.159897,825.359070,621.623230,110.228806,1079.359619,808.505859,211.228638,1094.634399,792.661499,303.938721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,763.564148,681.782715,111.861427,876.207092,700.996216,96.136490,825.410034,621.622864,110.267441,1079.449951,808.410034,211.248596,1094.601807,792.656494,303.894897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,763.636292,681.737488,111.733604,876.233826,700.878601,96.087914,825.432129,621.582703,110.312149,1079.478516,808.402527,211.226532,1094.588745,792.563110,303.869690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,763.582825,681.680969,111.793243,876.254944,700.814148,96.057968,825.389587,621.564270,110.277733,1079.501343,808.375061,211.264038,1094.593628,792.502686,303.863159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,763.561218,681.671326,111.872490,876.283936,700.742859,96.010986,825.366821,621.590271,110.244698,1079.502563,808.317810,211.270782,1094.658203,792.439880,303.801910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,763.590393,681.636292,111.769920,876.248901,700.742188,95.946701,825.363892,621.632629,110.222725,1079.620605,808.247864,211.260941,1094.675781,792.387268,303.784363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,763.633301,681.625305,111.692299,876.330261,700.805359,95.783508,825.508972,621.078735,109.767365,1079.646362,808.155396,211.251419,1094.646973,792.376709,303.786835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,763.576904,681.672302,111.797836,876.319214,700.750183,95.916946,825.387329,621.229187,110.177879,1079.624268,808.153137,211.227219,1094.664551,792.285461,303.778290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,763.594849,681.678711,111.849174,876.111023,700.817749,96.214218,825.494690,620.854858,109.927650,1079.693115,808.096619,211.180771,1094.644897,792.178162,303.767059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,763.579468,681.640381,111.736511,876.112366,700.703125,96.141167,825.343079,621.101074,110.249985,1079.714722,808.085876,211.171494,1094.641846,792.120789,303.759064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,763.624756,681.667053,111.794205,876.249268,700.622864,96.036835,825.301270,621.411011,110.307587,1079.709839,808.037537,211.169968,1094.644653,792.018555,303.747528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
