Weight63
Date:,2025/04/28
Time:,14:04:02
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
37,882.622742,669.921448,165.801041,1093.123291,771.593567,430.952942,1056.898438,843.659058,254.116714,,,,,,,759.048340,633.218384,141.640625,815.989075,609.340698,110.383186
38,882.607056,670.016663,165.804184,1093.118408,771.594604,430.948761,1056.854370,843.753967,254.167465,,,,,,,759.057739,633.383789,141.812683,815.973694,609.426392,110.575432
39,882.687195,670.058716,165.831726,1092.837891,771.688599,430.987762,1056.828613,843.780579,254.193481,,,,,,,759.093628,633.387695,141.957611,815.952515,609.430054,110.631004
40,882.706665,670.040894,165.831711,1092.701538,771.823364,431.027618,1056.748657,843.979858,254.292526,,,,,,,759.101868,633.460693,141.939850,815.984558,609.409912,110.696037
41,882.579834,670.036255,166.077591,1092.681885,771.851440,430.993256,1056.603882,844.108398,254.331833,,,,,,,759.094666,633.401001,141.982925,816.017029,609.488831,110.648781
42,882.600769,670.100098,165.924088,1092.539185,771.849060,430.994843,1056.569336,844.146973,254.341019,,,,,,,758.992004,633.497498,142.138290,815.995544,609.550598,110.613457
43,882.573242,670.134644,166.058334,1092.462891,771.941772,431.016388,1056.492310,844.230103,254.403656,,,,,,,758.927307,633.421082,142.248459,816.053406,609.473022,110.439476
44,882.525940,670.089966,166.138458,1092.330200,772.033447,430.849823,1056.421143,844.282104,254.474579,,,,,,,759.022339,633.329590,142.031113,816.015747,609.556030,110.639122
45,882.557129,670.101807,166.152405,1091.988403,772.100403,430.982056,1056.271729,844.477783,254.493851,,,,,,,759.009705,633.383789,142.104721,816.038208,609.395142,110.500420
46,882.539917,670.155090,166.086533,1091.785156,772.218506,431.114777,1056.126709,844.466675,254.502350,,,,,,,759.108276,633.354065,141.983276,815.997131,609.452454,110.685783
47,882.426086,670.239441,166.171814,1091.870605,772.191467,431.201233,1056.041992,844.527771,254.526398,,,,,,,759.162109,633.352722,141.921356,815.964417,609.548889,110.772896
48,882.381287,670.245178,166.253586,1091.823242,772.261292,431.289795,1055.888062,844.642700,254.549515,,,,,,,759.164917,633.352417,141.854187,816.105713,609.458862,110.589622
49,882.400757,670.319397,166.248459,1091.605957,772.299011,431.336090,1055.802246,844.671509,254.558258,,,,,,,759.176880,633.350159,141.858185,816.039185,609.416931,110.766884
50,882.416260,670.340820,166.227448,1091.291626,772.282776,431.247955,1055.656738,844.184875,254.710907,,,,,,,759.125061,633.377991,141.964569,816.071350,609.554749,110.838097
51,882.366455,670.429321,166.230392,1091.041870,772.285217,431.178925,1055.595093,844.131775,254.735977,,,,,,,759.122986,633.360413,141.976028,816.115967,609.598267,110.855515
52,882.374573,670.523926,166.148178,1091.029175,772.262024,431.175446,1055.549438,844.351440,254.704666,,,,,,,759.149658,633.340027,141.904617,816.079651,609.585083,110.873955
53,882.299500,670.577637,166.207321,1090.797729,772.272156,431.176788,1055.509521,844.437439,254.670151,,,,,,,759.173157,633.344482,141.868225,816.108948,609.584351,110.898476
54,882.231873,670.578857,166.256393,1090.404785,772.306091,431.247284,1055.440063,844.643127,254.620590,,,,,,,759.129883,633.359070,141.890121,816.155396,609.634399,110.912521
55,882.135437,670.726440,166.466217,1090.072021,772.300537,431.074310,1055.283691,844.737671,254.624237,,,,,,,759.021851,633.390991,142.158463,816.212585,609.737854,110.956467
56,882.059204,670.764404,166.567459,1089.610352,772.392639,430.972168,1055.078369,844.896790,254.601974,,,,,,,758.989319,633.459717,141.973236,816.221069,609.765625,110.957260
57,882.019897,670.839722,166.688583,1088.797974,772.521362,430.957367,1055.102295,844.786621,254.394333,,,,,,,759.127930,633.434570,141.572723,816.341858,609.777344,111.027649
58,881.896240,670.866455,166.804626,1088.049561,772.655457,430.757263,1055.148071,844.801819,254.014496,,,,,,,759.161865,633.510864,141.690125,816.445190,609.783936,111.071899
59,881.865234,670.867371,166.907669,1087.594482,772.735168,430.722870,1054.939453,845.315552,254.329956,,,,,,,759.104004,633.496765,141.783997,816.695313,609.843079,110.674545
60,881.770996,671.026245,167.392105,1087.499512,772.798889,430.844360,1054.429443,845.899353,254.790802,,,,,,,758.852051,633.437805,141.977798,816.688477,609.912292,110.853065
61,881.498352,671.104675,167.771881,1087.326050,772.834839,430.879822,1053.805176,846.243408,254.901184,,,,,,,758.936523,633.318237,141.663055,816.659851,609.962585,111.279289
62,881.242798,671.265686,168.077698,1086.979980,772.963013,430.848755,1053.525757,846.522278,254.941788,,,,,,,759.134949,633.242188,141.626236,816.657837,609.926392,111.504402
63,881.036804,671.545471,168.346069,1086.466187,773.108398,430.679779,1052.746094,847.196411,255.622086,,,,,,,759.110046,633.053711,141.616180,816.636230,609.934570,111.444344
64,880.620300,671.397339,169.502838,1086.209595,773.191406,430.706299,1052.115845,847.679993,256.085876,,,,,,,759.111877,632.801514,141.615524,816.882324,610.202026,111.560211
65,880.024414,671.582275,170.518356,1086.110718,773.102295,430.703491,1051.726929,848.023010,256.257843,,,,,,,759.040039,632.671387,141.769821,816.906799,610.287781,111.798660
66,879.513733,671.965271,171.350815,1085.477173,773.362976,430.678772,1051.281616,847.806030,256.440735,,,,,,,758.727966,632.561829,141.941116,817.166443,610.368042,112.372536
67,879.018616,672.321960,172.052856,1084.209106,773.750549,430.465637,1050.989136,847.979187,256.488098,,,,,,,758.159058,632.250305,142.659012,816.678650,610.460388,112.417152
68,878.549011,672.764221,172.424133,1083.276855,773.881470,430.384216,1050.631226,848.356812,256.505005,,,,,,,757.564697,632.523560,142.353790,816.134766,610.651123,112.760468
69,877.977539,673.277466,172.750092,1082.373291,773.918579,430.316193,1049.862183,849.120789,256.961090,,,,,,,757.100098,632.812195,142.043594,815.521179,610.929443,113.364517
70,876.721497,673.690918,173.784225,1081.962891,773.950867,430.214813,1049.017212,849.859436,257.455200,,,,,,,756.528503,633.185364,142.241623,814.704712,611.319214,114.742371
71,875.520447,674.091187,174.809006,1081.627563,774.091187,430.148926,1048.510498,850.348572,257.663818,,,,,,,755.443115,633.794861,142.821106,813.900269,611.559814,115.784210
72,874.216248,674.643311,175.833298,1081.231079,774.065552,430.048035,1048.184204,850.646790,257.743378,,,,,,,754.108032,634.555847,143.726364,812.865173,612.037170,116.315262
73,872.869995,675.261719,176.781265,1080.189453,774.354919,430.007111,1047.671387,850.812744,257.682922,,,,,,,752.398804,635.294067,145.346359,811.289978,612.506714,117.506927
74,871.633118,675.934021,177.586166,1079.063965,774.536255,429.949677,1046.893799,850.701843,257.764435,,,,,,,751.016052,636.144165,146.023682,809.671631,612.785767,119.606743
75,869.971497,676.530151,178.679810,1077.933228,774.583191,429.859222,1045.096313,851.438049,258.316437,,,,,,,749.371033,636.871765,146.531204,808.054993,612.859131,121.027336
76,867.728088,677.109497,180.414948,1076.940918,774.643921,429.833435,1043.765625,851.867004,258.602203,,,,,,,747.448303,637.712891,147.720001,806.046875,613.129761,122.552521
