;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;;*23;;;*24;;;*25;;;*26;;;*27;;;*28;;;*29;;;*30;;;*31;;;*32;;;*33;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
10;892.362854;681.800598;107.323158;1049.535645;772.702393;199.687408;1082.647949;745.425232;363.916412;817.962830;613.061707;104.616669;769.785278;688.711975;119.212265;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;892.386719;681.791077;107.243286;1049.562744;772.655151;199.576523;1082.742798;745.468933;363.988312;818.006104;613.195618;104.465782;769.836121;688.706299;119.148422;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;892.305481;681.857666;107.133347;1049.475464;772.701294;199.603668;1082.686035;745.541382;363.928009;818.037109;613.185669;104.391365;769.864258;688.681641;119.183228;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;892.374512;681.833801;107.011200;1049.468262;772.703552;199.630035;1082.667236;745.527222;363.918182;818.055176;613.082764;104.379395;769.863342;688.696594;119.125351;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;892.435669;681.827881;106.886917;1049.396118;772.747498;199.623856;1082.691895;745.527954;363.921783;818.031494;613.015442;104.464439;769.882019;688.693298;119.068871;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;892.411499;681.879700;106.839676;1049.453247;772.707825;199.684052;1082.702515;745.582947;363.930206;818.023926;612.963013;104.523643;769.934753;688.671448;119.004265;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;892.579529;681.824158;106.746727;1049.515381;772.763916;199.663452;1082.647583;745.639099;363.881561;818.057556;612.893921;104.557106;769.933350;688.701477;119.075851;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;892.419739;681.897644;106.898209;1049.467285;772.793152;199.561783;1082.599365;745.640442;363.869446;818.036377;612.903198;104.565056;769.900696;688.713501;119.127655;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;892.442444;681.825134;106.936714;1049.433228;772.890015;199.602203;1082.510742;745.654846;363.914185;818.027832;612.937561;104.538231;769.868713;688.785828;119.105667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;892.341125;681.914063;107.090591;1049.482178;772.864868;199.627518;1082.522217;745.703735;363.918549;818.030762;612.969727;104.462753;769.872253;688.800110;119.089287;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;892.302551;681.852417;106.962158;1049.466431;773.005615;199.596970;1082.562134;745.740662;363.931122;818.013184;613.037720;104.417236;769.885803;688.791870;119.073685;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;892.343506;681.873230;107.007904;1049.530762;772.952148;199.515747;1082.474243;745.764526;363.867401;817.991455;613.118896;104.435410;769.880920;688.798157;119.100967;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;892.312561;681.886597;107.058510;1049.552124;773.012695;199.538834;1082.482300;745.850952;363.872650;818.040283;613.116577;104.430077;769.869019;688.801331;119.118790;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;892.238647;681.788940;106.906693;1049.488892;773.052307;199.585861;1082.241943;745.967773;363.839386;818.008362;613.149780;104.366814;769.844910;688.792175;119.033569;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;892.461914;681.827637;106.761909;1049.365723;773.188660;199.593704;1082.384277;745.975769;363.935913;818.000916;613.186157;104.324638;769.830200;688.797058;119.013016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;892.361084;681.798340;106.991554;1049.175781;773.391846;199.699036;1082.403687;745.986389;363.951385;817.901855;613.210876;104.265411;769.872131;688.711426;119.086052;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;892.221741;681.843018;107.115898;1048.946533;773.572632;199.803482;1082.423706;746.073181;363.964752;817.911377;613.188416;104.301491;769.907471;688.690735;119.097488;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;892.179565;681.871155;107.012718;1048.717041;773.673218;199.878738;1082.312500;746.147461;363.984192;817.890869;613.170532;104.291916;769.884216;688.696777;119.096519;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;892.257141;681.772949;106.791771;1048.458008;773.949585;200.176926;1082.249878;746.199951;363.954163;817.979980;613.054993;104.363647;769.903687;688.699524;119.089958;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
