Weight60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;13:14:49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
20;919.305359;761.160583;99.728539;1111.673828;886.105469;229.188400;1137.542603;826.880371;435.893066;786.872070;738.022705;75.212700;;;;876.359192;670.269531;71.517906;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;918.518799;759.991821;101.450554;1111.581055;885.986816;228.974136;1137.135010;826.851501;435.906281;786.808594;736.295288;78.210732;;;;877.579163;669.060913;74.498726;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;918.058350;758.504150;102.897141;1111.474854;885.834778;228.739075;1136.911133;826.855469;435.934326;786.002014;734.597656;81.884804;;;;877.787903;667.260498;76.614815;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;918.127136;757.341797;104.425484;1111.436890;885.566650;228.433350;1137.070435;826.975281;435.415741;784.818481;732.849670;85.695564;;;;877.993713;665.029602;79.264900;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;917.781982;755.860474;106.251991;1111.250977;885.332275;228.163651;1137.067627;827.022705;435.071899;784.535461;730.976807;88.754738;;;;878.485840;661.573059;83.412056;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;917.102478;754.088196;108.077965;1110.852295;885.095703;227.781799;1136.944336;826.915649;434.880981;784.370422;729.232178;91.472733;;;;878.220215;658.807800;86.843956;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;916.300049;752.831055;109.595940;1110.384766;884.687256;227.261612;1136.240967;827.481445;435.206451;783.595581;726.984375;94.539764;;;;877.571960;657.784302;89.116508;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;915.868347;751.237061;111.608582;1109.925415;884.175659;226.978485;1135.475586;827.758789;435.184937;783.456360;725.240112;97.318565;;;;877.148987;656.140015;92.033981;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;914.921387;749.685120;113.560600;1109.424805;883.481567;226.791428;1135.241577;827.564270;434.783783;782.801392;723.437988;99.980568;;;;876.390076;654.675781;94.605949;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;913.697754;748.201477;115.451004;1108.842041;882.707275;226.508636;1135.039551;827.358215;434.102173;781.619385;721.766235;103.211014;;;;875.664307;653.388611;96.889091;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
