Weight11;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/16;;;;;;;;;;;;;;;;;;;;;;;
Time:;14:07:52;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
1;760.409302;674.379883;115.873276;869.220032;736.015869;109.484467;1088.926025;848.600708;429.084198;834.437500;639.550110;110.062279;1018.440918;875.112793;181.155869;;;;;;;;;
2;760.470520;674.386108;115.958290;869.282715;735.798279;109.530472;1088.748413;848.560547;429.054810;834.562561;639.744263;109.648911;1018.399902;875.268616;180.967117;;;;;;;;;
3;760.479858;674.363098;116.114616;869.363770;735.718262;109.588493;1088.686035;848.544189;428.995941;834.289185;639.856201;110.065956;1018.474792;875.315979;180.850479;;;;;;;;;
4;760.530945;674.350769;116.206116;869.427795;735.656189;109.656418;1088.552124;848.505676;429.002411;834.116150;639.698608;110.550728;1018.491394;875.331848;180.770340;;;;;;;;;
5;760.562683;674.428711;116.272789;869.445923;735.542664;109.953499;1088.426147;848.505188;428.897705;834.057861;639.408203;110.969772;1018.548645;875.328552;180.689209;;;;;;;;;
6;760.630737;674.454224;116.359558;869.379456;735.382263;110.460403;1088.208740;848.521851;428.772888;833.967773;639.179993;111.172310;1018.668884;875.345825;180.557327;;;;;;;;;
7;760.618713;674.506042;116.459671;869.346252;735.269836;110.681999;1087.902954;848.560181;428.649170;833.915405;639.101135;111.438240;1018.744873;875.357483;180.417953;;;;;;;;;
8;760.626038;674.498657;116.617058;869.411133;735.220947;110.820564;1087.281128;848.596375;428.683319;833.861877;639.134827;111.678055;1018.787964;875.394226;180.296082;;;;;;;;;
9;760.629333;674.493652;116.759865;869.414551;735.282715;110.811447;1086.657227;848.586609;428.683502;833.781860;639.171509;111.835968;1018.828979;875.507080;180.055603;;;;;;;;;
10;760.666077;674.431030;117.351257;869.612610;735.113953;110.902321;1085.838257;848.549866;428.662415;833.724426;639.295898;111.998566;1018.921326;875.567017;179.843735;;;;;;;;;
11;760.596863;674.401611;117.582138;869.561462;735.125732;110.944298;1084.889404;848.640625;428.525513;833.629272;639.605347;112.180229;1018.903870;875.587646;179.617752;;;;;;;;;
12;760.593140;674.376465;117.624229;869.576721;735.159485;111.091812;1083.975220;848.689636;428.295288;833.710693;639.796692;112.511093;1018.824463;875.707031;179.524384;;;;;;;;;
13;760.555115;674.491638;117.642624;869.775452;735.148560;111.039810;1083.417725;848.623474;428.266968;833.666382;639.761108;112.885460;1018.717834;875.735474;179.409409;;;;;;;;;
14;760.502014;674.521362;117.691399;869.845520;735.072876;111.177780;1082.899658;848.612427;428.316467;833.633850;639.685608;113.303116;1018.688660;875.762268;179.194458;;;;;;;;;
15;760.443115;674.605347;117.790489;869.788086;735.155945;111.276970;1083.117310;848.340881;428.138824;833.578308;639.627380;113.717216;1018.587585;875.725525;178.623886;;;;;;;;;
16;760.315674;674.720581;117.932793;869.701416;735.183533;111.464828;1082.595215;848.241516;427.686432;833.554260;639.686768;114.125603;1018.590027;875.791260;178.156311;;;;;;;;;
17;760.077759;674.851318;117.911499;869.749084;735.380066;111.626488;1081.538086;848.254761;427.458038;833.450806;639.725769;114.580124;1018.603088;875.884949;178.479507;;;;;;;;;
18;759.879333;675.240845;117.541641;869.373779;735.549377;111.797279;1080.415527;848.374878;427.199066;833.219055;639.877930;114.937325;1018.289795;876.024780;178.554459;;;;;;;;;
