Weight64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;13:15:03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;;*23;;;*24;;;*25;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
18;881.024719;720.482910;120.256477;834.721924;631.695862;98.062317;1078.532959;873.671265;198.969894;;;;759.955261;677.852539;102.909782;1108.880005;841.276611;411.563110;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;880.561707;720.431213;120.446228;834.217773;630.315918;98.390366;1078.519165;873.316162;198.753204;;;;759.703125;677.829895;102.855728;1108.497559;841.156982;411.642487;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;880.325623;720.391846;120.613937;834.002747;628.922974;99.514427;1078.450317;872.981201;198.752640;;;;759.513489;677.777161;102.746887;1108.083862;841.002808;411.595581;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;880.045898;720.283142;120.661827;833.890930;627.731812;100.491058;1078.243774;872.737183;198.751770;;;;759.670898;677.581421;102.543129;1107.835693;840.731873;411.787354;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;879.844055;720.418213;121.127800;833.747620;626.950439;100.972786;1078.064331;872.600769;198.802475;;;;759.239380;677.515686;102.248154;1107.723389;840.649963;411.760956;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;879.532104;720.504456;121.522186;833.494141;626.784424;101.134720;1077.950195;872.574646;198.898453;;;;759.042358;677.339294;102.307793;1107.581177;840.669861;411.720001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;879.344238;720.432434;121.877625;833.344116;626.988525;101.093117;1077.734375;872.477966;198.935867;;;;758.836487;677.294983;102.459091;1107.668945;840.656860;411.528168;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;879.143494;720.249390;122.135735;833.188843;627.319580;100.974770;1077.463257;872.479980;199.026398;;;;758.764526;677.183350;102.561745;1107.608398;840.651123;411.434692;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;878.970032;720.074219;122.686203;833.040894;627.499939;100.846375;1077.172852;872.478149;199.085266;;;;758.596558;677.092102;102.847511;1107.570923;840.612427;411.349579;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;878.906006;720.041504;123.018875;832.920959;627.618408;100.824120;1077.060303;872.577209;199.223755;;;;758.508057;677.076294;102.996155;1107.682007;840.579163;411.140991;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;878.875183;720.033936;123.200043;832.875000;627.539001;100.900360;1076.857178;872.810486;199.407928;;;;758.511230;677.069946;103.122612;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
