Weight62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;15:39:30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
20;814.218933;726.719849;151.896271;704.143677;669.463013;136.921494;1042.688843;862.323364;443.398163;1001.099243;894.838623;261.743103;782.609985;631.329041;126.301720;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;811.379883;726.801758;152.661469;700.718201;669.581238;138.604584;1041.307129;862.259277;443.015869;998.507263;895.090576;262.058960;779.135986;631.432983;127.819939;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;807.858521;726.668579;154.158203;697.104736;669.856018;140.303345;1039.739014;862.193420;442.763275;996.068481;894.740662;262.917511;775.799866;631.675720;129.132568;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;804.549316;727.231079;155.175537;693.593323;670.430664;141.580215;1038.277344;862.185669;443.105988;993.554382;894.823486;263.119781;772.001770;632.088074;130.020981;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;801.543518;727.135559;156.855835;690.041016;670.866638;143.524796;1036.814575;862.085266;443.130859;991.294617;894.592468;263.178253;768.145935;632.330200;131.187271;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;797.392151;727.330566;158.160339;686.197632;671.297119;145.238770;1035.270386;862.011536;442.783386;988.695007;894.827881;263.087677;764.386230;632.572571;132.427383;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;793.627197;727.920044;159.497772;682.420105;671.811890;146.405884;1033.406982;862.024292;442.649750;;;;760.636047;632.981262;134.461609;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;790.346008;727.899170;159.804474;678.636047;672.579468;147.251160;1031.641235;861.962585;442.905518;;;;756.349976;634.001099;135.259476;983.177856;894.888245;263.692841;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;786.682617;728.323364;161.025589;674.423401;673.147217;149.362854;1030.062988;861.961792;442.520447;;;;752.367676;634.300415;136.242813;980.486694;894.398621;263.441376;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;782.506836;728.979431;162.657593;670.358826;674.040955;150.917313;1028.473022;861.857666;442.154358;;;;748.062012;634.591431;137.896454;978.081665;894.350098;263.485809;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
