;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;;*23;;;*24;;;*25;;;*26;;;*27;;;*28;;;*29;;;*30;;;*31;;;*32;;;*33;;;*34;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
12;858.532715;737.868042;117.643929;758.632751;670.697632;94.147881;1032.586914;921.084961;447.999664;846.985107;643.127625;81.986534;970.799133;918.612183;254.453934;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;858.448486;737.869995;117.721275;758.424438;670.588623;94.424858;1032.198486;920.991150;448.053406;847.192688;642.819519;81.683868;970.652405;918.626709;254.532639;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;858.403992;737.971863;117.784065;758.320007;670.632874;94.429688;1032.075806;920.585449;448.253632;847.426208;642.711121;81.482513;970.873230;918.464722;254.347092;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;858.342957;738.018860;117.798653;758.380371;670.564270;94.436172;1031.982788;920.310913;448.221283;847.499512;642.804077;81.424469;970.398804;918.561646;254.800232;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;858.286255;738.010559;117.903481;758.766724;670.636719;93.834732;;;;847.440186;642.863647;81.424507;969.924194;918.681702;255.199905;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;858.213989;738.074341;118.044891;758.694763;670.641785;94.046898;;;;847.282410;643.014771;81.387421;969.536316;918.807739;255.285522;1031.651978;919.990112;447.725159;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;858.155090;738.022644;118.139671;758.520691;670.569763;94.326630;;;;847.019165;643.152039;81.265266;969.382507;918.880249;255.399292;1030.880615;919.992493;447.848114;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;858.164368;738.103760;118.560242;758.748352;670.525452;93.886009;;;;846.813354;643.310547;81.248421;969.093262;919.016479;255.294724;1030.331299;919.894531;448.148590;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;858.034729;738.080750;119.136360;758.685242;670.502808;94.106964;;;;846.614624;643.455933;81.327141;968.882019;919.224487;255.269516;1029.864258;919.748047;448.144379;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;857.902161;738.035950;119.693619;758.438904;670.452515;94.434250;;;;846.407288;643.503784;81.889008;968.763062;919.470093;255.281952;1029.488892;919.612915;448.014374;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;857.722778;737.942261;120.391418;758.401184;670.400513;94.580467;;;;845.923401;643.515137;82.120659;968.623230;919.704041;255.303833;1029.082886;919.532776;448.032867;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;857.459167;737.888306;120.922028;758.517456;670.400146;94.777275;;;;;;;968.398254;919.945557;255.329163;1028.605713;919.306946;448.123230;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;857.108032;738.082703;121.453278;758.523865;670.406921;95.003487;;;;;;;968.202087;920.163818;255.393158;1028.029907;919.127747;448.185760;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;857.010925;738.123901;122.057297;759.006592;670.339844;94.580025;;;;;;;968.026917;920.519470;255.478668;1027.331665;918.877808;448.278107;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;857.012573;738.139832;122.561943;758.807861;670.341064;95.077026;;;;;;;967.773193;920.758972;255.580536;1026.631592;918.720520;448.175659;845.393066;641.981140;86.617371;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;856.972290;738.223206;123.284538;758.450256;670.300598;95.774170;;;;;;;967.206055;921.182739;256.040680;1026.114624;918.625732;447.954102;845.261475;641.403198;87.283066;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;856.741333;738.189148;124.030724;758.230286;670.261292;96.368629;;;;;;;966.714417;921.466003;256.378174;1025.748291;918.480408;447.653168;844.798096;641.319153;87.943619;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;856.194885;738.159729;124.908730;758.084412;670.236877;96.671867;;;;;;;966.844604;921.669434;256.101349;1025.510864;918.322083;447.209961;844.232788;641.618530;88.569824;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;855.834351;738.152710;125.561386;757.880798;670.362183;96.837540;;;;;;;966.876709;921.891113;255.908966;1025.206299;918.217712;447.120697;843.751221;641.922729;89.208138;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;855.411377;738.212219;126.002464;757.716614;670.510498;97.051003;;;;;;;966.788513;922.210144;255.896866;1024.163330;918.363464;447.368958;843.418457;642.125732;89.849724;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;854.912048;738.455627;126.290985;757.556702;670.730530;97.148170;;;;;;;966.580811;922.480469;255.883652;1023.028870;918.323547;447.746033;843.022217;642.367737;91.002945;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;854.349792;738.585083;127.321182;757.352539;670.881226;97.336464;;;;;;;966.258240;922.716675;255.853317;1021.870483;918.363892;447.912872;842.456665;642.281250;91.970703;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;853.855347;738.838867;127.904816;757.064026;671.113159;97.600784;;;;;;;966.012146;922.852783;255.867996;1021.178467;918.440063;447.786926;841.771851;642.301758;92.932602;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;853.631714;739.050720;128.410492;756.464722;671.413147;98.255623;;;;;;;965.700989;923.219116;255.862961;1020.503906;918.404907;447.540253;840.946228;642.507751;94.159103;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;852.920227;739.494019;128.965439;755.604248;671.703430;99.022896;;;;;;;965.339966;923.538940;255.850784;1020.568542;918.093689;447.023865;840.400940;642.409119;95.315773;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;852.090393;739.858276;129.485382;754.849609;671.748047;99.928040;;;;;;;964.776917;924.138428;256.108521;;;;839.977417;642.389648;96.577393;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;851.418884;740.404358;129.772568;754.252441;671.802490;101.009315;;;;;;;964.168579;924.577026;256.312073;;;;839.450867;642.711243;98.150894;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;850.700256;740.861267;130.073746;753.390259;672.104492;102.023048;;;;;;;963.562866;925.111694;256.240082;;;;838.634216;643.156616;99.704453;1017.882813;917.961487;447.035461;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;849.808472;741.239624;130.777939;752.447937;672.796997;102.468697;;;;;;;963.349976;925.432617;256.136292;;;;837.316040;643.435364;100.598549;1016.872620;917.989319;447.044373;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;848.269592;741.707397;132.017807;751.337097;673.450256;103.376526;;;;;;;962.860840;925.698547;256.153809;;;;835.887268;645.170898;101.541397;1015.998230;917.818542;446.751892;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;846.934265;742.155701;133.074966;750.398071;673.913330;104.350372;;;;;;;962.083801;925.992737;256.412689;;;;834.772278;645.663879;103.492676;1015.179016;917.703003;446.438629;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;845.943054;742.495544;133.590897;749.610291;674.453064;105.160889;;;;;;;961.023499;926.258789;256.768402;;;;833.649353;645.668152;104.935379;1014.474976;917.518738;446.395782;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;845.317627;742.989868;134.269974;747.988770;674.547607;107.162598;;;;;;;960.092163;926.494873;256.985382;;;;832.312195;645.313416;106.966827;1014.097778;917.161682;446.139771;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;844.188354;743.248474;135.486710;746.181580;675.294250;108.788757;;;;;;;959.148926;926.992981;257.118835;;;;830.514221;644.573303;109.119720;1013.494873;916.876892;446.237610;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;842.545654;743.461914;136.765350;744.822632;675.641724;109.729691;;;;;;;958.709717;927.352173;257.378357;;;;829.097168;644.120972;111.128181;1012.300964;916.892456;446.571869;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;840.598816;743.627930;138.378021;743.132568;675.996399;110.940628;;;;;;;958.439392;927.694519;257.534485;;;;827.554382;644.495789;112.952278;1011.430176;916.908691;446.704803;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
