Weight63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;16:11:53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
26;862.478455;704.424438;126.570862;745.911682;676.395203;140.009857;804.401733;619.382935;125.421204;;;;1019.068176;883.718201;410.472260;;;;989.759583;876.925476;240.310379;;;;;;;;;;;;;;;;;;;;;
27;860.484131;704.539490;127.902443;743.618347;676.441956;143.561234;802.547913;619.596863;127.551842;;;;1018.300049;883.632690;410.471863;;;;988.354553;877.157532;240.909546;;;;;;;;;;;;;;;;;;;;;
28;857.687622;704.868835;129.522507;741.358521;676.424561;145.635178;800.141296;619.872192;130.303192;;;;1018.223816;883.430237;410.242584;;;;987.201416;877.397888;241.333038;;;;;;;;;;;;;;;;;;;;;
29;854.968750;705.138367;131.350388;738.656128;676.458435;148.628723;797.533447;619.909180;131.854645;;;;1017.691833;883.318115;410.361206;;;;985.264221;877.585876;242.122543;;;;;;;;;;;;;;;;;;;;;
30;851.888794;705.297241;133.090210;735.784546;676.321594;151.660889;794.398865;619.856140;134.149170;;;;1016.552673;883.576172;410.641693;;;;983.369385;877.678223;242.783890;;;;;;;;;;;;;;;;;;;;;
31;848.053650;705.547485;134.681961;732.728088;676.351746;153.912170;791.013977;620.007568;136.276550;;;;1015.489380;883.548950;410.942688;;;;982.204224;877.728821;242.853546;;;;;;;;;;;;;;;;;;;;;
32;845.022461;705.511047;136.941513;728.976624;676.530457;156.427994;787.751953;620.238525;138.503342;;;;1014.625549;883.441772;411.156158;;;;979.942200;877.918091;243.469528;;;;;;;;;;;;;;;;;;;;;
33;841.040955;706.185913;138.458206;725.468201;676.697083;158.743011;784.070618;620.216370;140.423782;;;;1013.722351;883.423767;410.973755;;;;977.464050;878.056519;243.886765;;;;;;;;;;;;;;;;;;;;;
34;837.049194;706.133850;139.604126;721.851990;676.907043;160.381424;779.920654;620.263916;142.378891;;;;1013.148987;883.063354;410.899231;;;;974.729370;878.065002;244.903809;;;;;;;;;;;;;;;;;;;;;
35;833.100098;705.975403;141.012680;717.681396;676.944275;163.114197;776.130798;620.646729;143.850784;;;;1011.973694;882.939819;410.878967;;;;972.450012;877.935913;244.863007;;;;;;;;;;;;;;;;;;;;;
36;828.774597;706.244629;142.564072;713.372192;677.066040;165.263596;771.808716;620.914673;145.945679;;;;1010.729858;882.759338;410.812927;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;824.186218;706.749695;143.836792;708.911438;677.266602;166.824677;767.150146;621.039429;147.822540;;;;1009.628601;882.659546;410.906342;;;;;;;966.627869;877.919800;245.786179;;;;;;;;;;;;;;;;;;
38;819.812195;706.890991;145.110306;704.152344;677.515503;168.381317;762.626404;621.129517;149.226913;;;;1008.795410;882.490173;410.483856;;;;;;;963.245056;877.631104;246.314178;;;;;;;;;;;;;;;;;;
39;814.970520;707.234131;146.061676;699.328613;677.774902;169.703995;757.654968;621.342590;150.810394;;;;1007.663269;882.221924;409.978088;;;;;;;960.362671;877.563843;246.325638;;;;;;;;;;;;;;;;;;
40;810.350586;707.360046;147.072159;694.483093;678.051758;170.975296;752.608398;621.525269;152.246658;;;;1005.173096;882.171204;410.266327;;;;;;;957.104431;877.573059;246.509369;;;;;;;;;;;;;;;;;;
41;805.435730;707.362244;148.275909;689.080566;678.438293;172.353470;747.524475;621.805969;153.725098;;;;1003.526733;882.019409;410.617737;;;;;;;953.079773;877.119385;246.836411;;;;;;;;;;;;;;;;;;
42;799.938782;707.353394;149.182343;683.758850;679.031311;173.554626;742.317261;622.057068;154.654755;;;;1001.875793;881.719177;410.365906;;;;;;;949.510010;876.749390;247.397354;;;;;;;;;;;;;;;;;;
