Weight15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;11:10:30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
23;869.787415;740.685303;111.620079;855.506714;641.504822;93.359146;753.646667;685.395630;99.003494;1047.248657;885.021729;360.313599;998.209290;910.247192;174.293671;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;869.922729;740.478577;111.576286;855.278259;641.409973;93.067749;753.771606;684.947144;98.931358;1047.148804;885.125061;360.254517;998.074890;910.143372;174.005447;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;870.008545;740.201111;111.557785;854.913269;641.214966;92.888481;754.058655;684.461731;98.693184;1047.057983;885.100830;360.182007;998.054504;909.871277;173.763626;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;870.132080;739.878967;111.399368;854.429077;640.941223;92.620651;754.477234;684.069824;98.568512;1047.048584;885.124390;360.131439;997.916321;909.638916;173.515549;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;870.289551;739.609802;111.298256;853.257751;641.390869;91.420464;754.943909;683.633667;98.268776;1047.044312;885.035706;360.115509;997.781982;909.355530;173.218384;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;870.424744;739.354614;111.294411;852.566406;641.413330;90.960854;755.306763;683.187927;98.250847;1047.046509;885.022766;360.123138;997.678894;909.220642;173.054993;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;870.316711;739.162903;111.347519;852.323914;642.308044;89.840485;755.832458;682.631409;98.074966;1046.898560;885.041931;359.990692;997.333862;909.020386;172.839554;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;870.030396;738.905457;111.500656;;;;757.244629;681.633728;97.755272;1046.727661;885.059265;359.854004;997.400085;908.719910;172.583145;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;869.898132;738.675903;111.732765;;;;758.842163;680.518066;97.437744;1046.673340;885.006409;359.704742;997.616638;908.065552;172.210251;848.573730;639.930725;89.940834;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;869.820313;738.309753;111.843994;;;;759.983582;679.666748;96.771721;1046.591919;884.931946;359.543457;997.524292;907.685791;172.038651;846.330505;640.213745;88.292999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
