;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;;*23;;;*24;;;*25;;;*26;;;*27;;;*28;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
16;863.268982;714.785889;101.662598;830.893921;621.062805;77.787872;985.043884;865.575928;209.934570;758.416138;662.863403;90.471191;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;863.308716;714.809387;101.607323;830.870178;621.067383;77.813438;984.936951;865.522400;210.010254;758.377014;662.833923;90.533958;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;863.272278;714.763550;101.645309;830.816284;621.058289;77.792419;984.750488;865.545776;210.003860;758.380798;662.819336;90.552696;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;863.275757;714.805786;101.675125;830.850281;621.033264;77.788475;984.666321;865.586304;209.987823;758.349365;662.830261;90.568001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;863.245361;714.846558;101.611198;830.787781;621.079529;77.825371;984.559509;865.592712;209.970703;758.335449;662.833191;90.577614;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;863.239868;714.851501;101.585686;830.775940;621.079468;77.768326;984.410095;865.618652;209.975769;758.324707;662.828674;90.585800;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;863.212341;714.810059;101.567970;830.769653;621.012085;77.803314;984.251038;865.714539;210.102264;758.333069;662.830688;90.581116;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;863.236145;714.834106;101.586876;830.770386;620.976868;77.794685;984.202820;865.736389;210.157104;758.340759;662.832764;90.573456;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;863.250793;714.846680;101.590874;830.782349;620.975281;77.789543;984.106750;865.714417;210.141190;758.387085;662.824158;90.543167;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;863.177795;714.838379;101.605736;830.786377;621.057739;77.760941;984.069397;865.714783;210.145874;758.409851;662.824829;90.521042;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;863.158020;714.834656;101.641228;830.778015;621.095825;77.776421;984.049133;865.717957;210.095001;758.346069;662.743408;90.563545;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;863.098694;714.801575;101.625793;830.775574;621.013062;77.776329;984.087646;865.785950;210.227112;758.322266;662.809692;90.592163;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;863.193115;714.841553;101.597466;830.771179;621.056030;77.795883;984.068787;865.810181;210.299988;758.316101;662.830688;90.537071;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;863.199646;714.837036;101.611855;830.783081;621.077820;77.760353;984.360291;865.609314;210.013809;758.345825;662.837097;90.553833;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;863.250793;714.840759;101.627983;830.809631;621.071411;77.813271;984.040894;865.773254;210.227676;758.392090;662.825623;90.540932;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;863.257996;714.843201;101.604683;830.780945;620.997681;77.789986;983.765503;865.834351;210.322540;758.365295;662.833679;90.551033;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;863.202942;714.831543;101.612007;830.802490;620.959229;77.820305;983.693726;865.821838;210.386856;758.330994;662.828674;90.518143;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;863.167236;714.832031;101.636345;830.787170;621.045105;77.773781;983.595520;865.797302;210.377518;758.385986;662.823975;90.530067;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;863.246094;714.844788;101.603569;830.778320;621.016113;77.765572;983.625549;865.818176;210.426010;758.372620;662.847351;90.513947;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;863.285095;714.839539;101.601807;830.772156;621.067078;77.789764;983.567200;865.828064;210.445313;758.354126;662.839966;90.551392;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;863.258301;714.841919;101.585770;830.783264;621.081299;77.759094;983.475525;865.937805;210.472855;758.354126;662.848328;90.532028;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;863.242004;714.845032;101.588310;830.818665;621.076660;77.706696;983.382202;865.934387;210.494415;758.349243;662.845398;90.461906;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;863.208801;714.843689;101.692123;830.800903;621.083008;77.731491;983.374695;865.937805;210.463913;758.444641;662.840820;90.474556;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;863.207642;714.850952;101.646553;830.787476;621.079590;77.750351;983.309509;865.950500;210.480499;758.682190;662.871643;90.297554;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;863.266968;714.845642;101.582642;830.785522;621.076416;77.753578;983.193298;865.942749;210.571365;758.553955;662.855713;90.367386;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;863.201416;714.845154;101.633774;830.788574;621.074890;77.783142;983.135986;865.968018;210.578674;758.427124;662.843750;90.461662;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;863.141235;714.825928;101.683983;830.817444;621.056091;77.796410;982.478027;865.685364;210.905106;758.324646;662.832764;90.495796;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;863.194763;714.843140;101.753197;830.828979;621.047913;77.756256;982.721130;865.870178;210.804031;758.354431;662.838196;90.482895;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;863.156250;714.855713;101.710129;830.831787;621.053406;77.740677;982.935547;866.061523;210.611832;758.377686;662.829346;90.494789;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;863.144165;714.827026;101.703339;830.795288;621.076599;77.744812;982.963135;866.263550;210.282776;758.568359;662.870667;90.188454;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;863.145813;714.816589;101.707245;830.775269;621.009216;77.771416;982.869690;866.306946;210.166122;758.484131;662.882690;90.144096;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;863.147278;714.745544;101.728775;830.770752;620.978455;77.788406;982.816467;866.270264;210.340820;758.372253;662.864685;90.251808;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;863.137329;714.813660;101.750557;830.740906;620.997009;77.752853;982.659241;866.242676;210.462112;758.317261;662.842285;90.500259;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
