Weight55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;10:07:40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
1;887.323425;712.497925;127.096436;762.082703;690.294373;93.859062;1151.162598;884.675659;464.638733;842.643921;633.088806;85.761856;1115.697876;891.545166;273.055298;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;887.243286;712.043091;127.506248;762.112488;690.001587;94.855522;1151.203857;884.622009;464.463104;840.961731;637.738159;83.443199;1115.746704;891.414612;273.036346;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;887.368347;711.661377;127.617813;762.182251;689.869263;95.398941;1151.105347;884.437988;464.361603;840.456543;639.558411;82.876205;1115.687256;891.211182;272.971863;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;887.609070;711.364136;127.581566;762.276428;689.723633;95.791374;1150.958130;884.308960;464.413147;840.690613;638.742126;83.337646;1115.570190;891.061035;273.012146;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;887.833008;711.127686;127.494476;762.438965;689.563354;96.116402;1150.822388;884.199524;464.390259;841.201172;637.164429;83.965965;1115.504150;890.971924;272.940216;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;887.968384;710.746643;127.401924;762.626282;689.377136;96.319496;1150.698853;883.989807;464.332367;841.416382;636.014771;84.373238;1115.524048;890.769531;272.971619;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;888.152893;710.396118;127.256065;762.803345;689.216370;96.408081;1150.575439;883.786072;464.216705;841.244141;635.466248;84.434456;1115.425415;890.627197;272.922699;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;888.319031;710.043335;127.075020;763.122925;689.070435;96.367714;1150.485107;883.608337;464.199402;841.041931;635.217834;84.327835;1115.219360;890.428467;272.718719;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;888.322144;709.479675;127.197319;763.114746;688.978699;96.350876;1150.188354;883.490784;464.303772;841.270874;634.827942;84.022079;1114.900024;890.302734;272.707672;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
