Weight62;;;;;;;;;;;;;;;;;;
Date:;2025/04/23;;;;;;;;;;;;;;;;;
Time:;16:10:02;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
1;883.966797;713.451538;121.742676;757.225281;684.118347;113.841461;1075.496826;807.053772;381.577271;1114.724976;849.110413;247.416245;838.802856;628.074341;91.421165;;;
2;883.405090;713.304688;122.390305;757.756104;683.335205;114.342178;1075.319580;807.014160;381.555176;1114.607666;849.079468;247.337631;838.068359;626.986572;91.667908;;;
3;883.142578;713.260986;122.816925;758.342773;682.333313;113.733948;1075.098633;807.000854;381.521606;1114.526733;849.011902;247.264282;836.971252;627.455872;90.807304;;;
4;883.172546;713.160706;122.927643;759.127014;681.387512;113.235512;1074.924683;807.003479;381.531219;1114.424805;848.907104;247.292313;836.175598;628.975830;89.750252;;;
5;883.051086;713.233643;123.045914;759.585938;680.553955;113.188080;1074.676636;807.012939;381.499176;1114.386475;848.789307;247.289719;835.594727;631.445984;88.474403;;;
6;882.765381;713.202026;123.329391;760.220459;679.505737;112.959267;1074.512573;806.960754;381.498932;1114.342651;848.659851;247.219009;835.171143;634.142151;86.987259;;;
7;882.509705;713.175964;123.563248;760.971375;678.723328;112.757256;1074.426025;806.944397;381.515411;1114.186768;848.497253;247.232742;834.999146;636.069885;86.281677;;;
8;882.336975;713.158386;123.805908;761.370728;678.034241;112.632599;1074.194458;806.900452;381.432587;1114.057129;848.327209;247.161942;834.969299;636.597656;86.178642;;;
9;882.139893;713.137573;124.131729;761.893982;677.659973;112.656876;1073.930176;806.884521;381.457886;1113.948120;848.131653;247.136887;834.749451;636.428223;86.150620;;;
10;882.051025;713.045776;124.394348;762.041382;677.556763;112.648933;1073.740601;806.802734;381.426361;1113.872925;847.909363;247.072723;834.405823;636.008118;86.507881;;;
11;881.762268;713.069702;124.597687;762.076965;677.342407;112.944710;1073.487549;806.743225;381.409637;1113.705811;847.728577;247.031601;834.022522;635.859009;86.683311;;;
12;881.736633;712.949524;124.668770;762.058594;677.103027;113.216454;1073.249268;806.629089;381.366425;1113.629272;847.541016;246.984024;833.792236;636.523682;86.262718;;;
13;881.583923;713.044739;125.204414;762.095825;676.836609;113.438881;1073.038452;806.568298;381.347748;1113.452881;847.425903;246.789597;833.540588;637.006592;86.213509;;;
14;881.231018;713.101074;125.539238;762.069580;676.557129;113.657257;1072.720703;806.496765;381.237885;1113.273315;847.289429;246.660126;833.275085;637.433167;86.140121;;;
15;880.923767;713.122070;125.843803;762.057800;676.328979;113.810219;1072.385254;806.404480;381.030823;1113.133423;847.145264;246.642456;833.034729;637.674561;86.219261;;;
16;880.193176;713.506104;126.178047;761.948608;676.100098;114.082802;1072.001221;806.224304;381.000092;1112.892578;847.040344;246.722519;832.472229;638.630188;85.856590;;;
17;879.896423;713.390991;126.672607;761.874695;675.837830;114.344025;1071.873291;806.084534;380.846008;1112.556641;846.902710;246.730743;832.476563;640.067078;85.504181;;;
18;878.992981;713.501587;127.550453;761.668762;675.632690;114.550568;1071.541504;805.919250;380.695740;1112.404175;846.715027;246.766647;831.716003;641.524841;85.298302;;;
19;878.395935;713.429749;128.124634;761.388672;675.610168;114.661339;1071.110474;805.820435;380.549408;1112.266479;846.652588;246.758636;831.612732;640.640930;86.413704;;;
20;878.526184;713.369873;128.001724;761.242615;675.559937;114.836899;1070.387939;805.881165;380.330017;1112.088379;846.622070;246.742111;831.878906;637.680603;88.391380;;;
21;878.532593;713.360107;127.802963;760.965576;675.611633;114.738731;1069.781982;805.918762;380.200134;1111.878784;846.609680;246.794449;831.776367;634.652832;90.274742;;;
22;878.688110;713.463928;127.611389;760.635010;675.812866;114.537788;1069.352417;805.856689;380.193237;1111.663696;846.562439;246.793198;831.737793;630.099487;93.326385;;;
23;878.224976;713.674927;127.843391;760.260193;676.132629;114.125420;1068.880615;805.912170;380.152802;1111.257446;846.516663;246.816528;831.236572;628.053589;94.773094;;;
24;877.152100;713.985168;128.459061;759.600586;676.341614;114.071075;1068.236816;805.937134;380.059784;1110.888062;846.535583;246.822098;830.649475;628.744446;94.572594;;;
25;876.190125;714.281616;129.034042;758.684326;676.656677;114.394279;1067.667480;805.974243;379.907318;1110.534302;846.523743;246.847565;830.185730;630.719116;93.981903;;;
26;875.588806;714.495483;129.492371;757.930237;676.713013;115.021790;1067.008179;806.005981;379.764771;1110.033936;846.503418;246.851440;829.124329;633.912537;92.814957;;;
27;874.877502;714.645081;129.845306;757.074524;677.081421;115.378822;1066.600342;805.837708;379.774353;1109.359009;846.442749;246.809662;827.781433;637.253479;91.744949;;;
28;874.318420;714.661804;129.772537;756.272278;677.382019;115.474342;1065.950562;805.887878;379.578491;1108.454590;846.582642;246.898834;827.327393;636.397888;93.228134;;;
29;873.398499;714.993347;129.908722;755.124023;677.893738;115.201591;1065.063110;805.942383;379.463287;1107.693970;846.672241;246.943100;826.611694;632.797729;97.001938;;;
30;871.786743;715.771606;131.023239;754.080811;678.598511;114.639442;1064.254395;806.037170;379.206726;1106.664673;847.020691;246.975266;825.614258;629.013367;100.392540;;;
31;870.419434;716.132263;131.852295;753.244141;679.002380;114.824646;1063.712036;805.980774;378.967163;1106.022705;847.287842;246.964645;824.235840;626.542969;102.485870;;;
32;869.189636;716.426880;132.381195;752.015747;679.413574;115.270515;1062.997559;805.944336;378.705841;1105.492188;847.490967;247.021301;822.921143;626.342712;103.483597;;;
33;868.021606;716.700806;132.840790;750.261902;680.169678;115.569420;1062.102661;806.017639;378.565338;1104.894043;847.637207;247.098221;821.364014;626.992737;104.476128;;;
34;866.984375;717.309814;133.158539;748.682251;680.646973;115.871628;1061.409790;805.886353;378.825684;1103.647949;847.764282;247.755310;820.014893;627.366272;106.230576;;;
35;865.499268;718.092102;133.826462;747.812439;681.623779;115.360519;1060.291504;805.739746;378.895203;1102.193115;847.959473;247.659851;818.345459;627.605957;107.768417;;;
36;864.212219;718.321533;134.378586;746.591980;682.380554;114.937614;1059.304810;805.871826;378.589508;1101.076416;848.277649;247.172577;816.966125;627.879272;109.307716;;;
37;861.964844;719.067322;135.219666;744.902039;682.624390;115.830437;1058.535278;805.911499;378.350952;1100.358887;848.472412;247.142700;815.240967;628.236633;110.834320;;;
38;860.385986;719.665710;135.927368;743.205261;682.886963;116.618073;1057.788452;805.855774;378.073822;1099.029175;848.922363;247.480392;813.778198;628.998779;112.570457;;;
39;859.488953;720.099792;136.758484;741.638489;683.681335;116.799660;1056.745361;805.904724;377.986145;1097.468506;849.411682;247.493134;812.288147;629.806091;113.590668;;;
40;857.688538;720.576294;137.468048;740.120361;684.121582;117.900078;1055.802979;805.788391;378.140076;1096.244629;849.765625;247.157959;810.242859;630.050049;115.196281;;;
41;855.180664;721.157532;138.177063;738.025879;684.594971;119.125443;1054.570313;805.868103;378.295166;1094.865845;850.308838;247.041245;808.423767;630.559082;116.603958;;;
42;853.690674;721.490784;139.078598;736.415039;685.230530;119.809799;1053.643799;805.861389;378.146149;1093.353394;850.783020;247.361359;806.535706;631.147339;117.816666;;;
43;851.748169;722.057312;139.960922;734.356445;685.559998;121.501556;1052.727539;805.861328;377.799225;1091.880981;851.196594;247.413986;804.535767;631.400635;119.117073;;;
44;850.094299;722.453369;140.929749;732.274414;685.855530;123.070648;1051.726440;805.850098;377.468536;1090.399658;851.353149;246.996536;802.735657;632.195557;119.994316;;;
45;847.501587;723.090210;141.835907;730.242065;686.248535;124.518478;1050.414673;805.864197;377.376343;1088.384766;851.854919;247.260559;800.619141;632.255249;121.450806;;;
46;845.309998;723.260620;143.275528;727.937683;686.259277;125.708694;1049.036133;805.949890;377.674011;1086.929565;852.217773;247.493698;798.174500;632.510498;122.673615;;;
47;843.114014;723.722473;144.378357;725.642090;686.736572;127.356956;1047.828003;805.995117;377.350189;1085.564209;852.187988;246.804123;795.996887;632.885437;123.617828;;;
48;840.477417;724.151611;146.345535;723.076294;686.765137;129.876999;1046.899902;805.857056;376.938843;1083.109131;852.664001;246.886230;793.683167;633.027344;125.082497;;;
49;837.816833;724.319885;147.635544;720.504211;686.995361;131.441452;1045.861816;805.676270;376.752960;1081.136475;853.009216;247.097458;791.385193;633.256226;126.291786;;;
50;835.180481;724.587036;148.255768;718.278992;687.022461;133.028473;1044.368652;805.730530;376.895233;1079.536743;852.916870;246.693893;788.485596;633.542847;127.504570;;;
