;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;;*23;;;*24;;;*25;;;*26;;;*27;;;*28;;;*29;;;*30;;;*31;;;*32;;;*33;;;*34;;;*35;;;*36;;;*37;;;*38;;;*39;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
18;676.177612;678.766602;164.898621;788.236633;735.834106;145.856262;;;;;;;955.792603;870.804260;143.216782;;;;;;;;;;1007.726013;839.578857;294.926910;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;672.303955;679.595337;166.400253;784.956665;735.932373;146.848618;;;;;;;952.682556;870.513733;143.959259;;;;;;;;;;1006.178711;839.310120;295.503723;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;667.890198;680.461914;168.426346;780.797363;736.123047;147.845978;;;;;;;949.237671;870.177490;144.607224;;;;;;;;;;1004.163330;838.978943;296.464813;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;663.717712;681.211853;170.142075;776.734497;736.673706;149.138290;;;;;;;946.125488;869.604492;145.001801;;;;;;;;;;1002.756104;838.758118;296.579926;;;;740.377014;640.534668;158.588348;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;659.435974;681.995544;171.593582;773.162476;737.045227;150.130859;;;;;;;942.391602;869.362122;145.788422;;;;;;;;;;1000.839539;838.481689;297.124939;;;;735.829468;642.024475;159.644180;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;655.136353;682.873901;172.744949;768.681091;737.370544;151.690109;;;;;;;939.182373;868.562317;146.516373;;;;;;;;;;998.541809;838.219727;297.648254;;;;731.151245;643.202942;160.616669;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;650.730469;683.746399;173.708344;763.676880;737.650696;153.050644;;;;;;;935.614868;868.281494;147.038269;;;;;;;;;;997.308411;837.946106;297.785889;;;;726.343811;643.851746;161.921310;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;646.362854;684.435120;175.000671;759.756592;737.930237;153.633362;;;;;;;931.992981;867.889343;147.722000;;;;;;;;;;995.597595;837.449524;298.722076;;;;721.298462;644.409790;162.915253;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;641.871033;685.198364;176.154816;756.232727;738.227417;154.836441;;;;;;;928.404968;867.487549;148.750916;;;;;;;;;;993.439880;837.327454;299.215149;;;;717.197388;644.855469;164.071518;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;637.278625;685.972717;177.111298;752.139587;738.758301;155.921921;;;;;;;924.367859;867.010254;149.504333;;;;;;;;;;991.348145;836.914795;299.539978;;;;712.549438;645.316040;165.445984;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;632.693359;686.768066;178.059311;747.052551;738.778076;156.331467;;;;;;;921.333496;866.096985;150.240448;;;;;;;;;;989.593140;836.625366;300.011444;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;628.146484;687.788452;178.811005;742.529480;738.956360;157.688385;;;;;;;917.506714;865.910156;150.583801;;;;;;;;;;987.711121;836.238831;300.823700;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;623.683594;688.836182;179.553253;738.278198;739.375977;158.377655;;;;;;;914.021179;865.333191;151.867905;;;;;;;;;;985.731873;835.780945;301.153473;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;619.116455;689.870850;179.927094;734.281677;739.172302;158.954269;;;;;;;910.032471;864.852417;152.745789;;;;;;;;;;983.981018;835.513550;301.400024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;614.375610;690.562012;180.742554;729.454956;739.604126;159.221252;;;;;;;906.059998;864.107605;154.104843;;;;;;;;;;981.577698;835.058777;302.172119;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;609.372986;691.500977;181.733688;725.295105;739.898071;159.382751;;;;;;;902.436890;863.364685;154.832275;;;;;;;;;;980.044067;834.628540;302.779510;;;;;;;683.358887;647.576782;170.961823;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;604.679688;692.410217;182.026352;721.298279;739.972717;159.824722;;;;;;;898.682983;862.995239;155.768250;;;;;;;;;;977.822937;834.257263;303.359344;;;;;;;678.642029;647.702698;171.359406;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;600.024353;693.559143;182.207062;716.848389;740.344482;160.662933;;;;;;;895.412415;862.224548;156.432846;;;;;;;;;;975.532898;833.913452;303.838135;;;;;;;673.887695;647.950684;171.668060;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;595.427795;694.442322;182.991074;712.139648;740.562378;161.661224;;;;;;;891.416077;861.804871;157.413208;;;;;;;;;;973.595825;833.342896;304.526001;;;;;;;668.999329;648.367188;172.249908;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;590.606812;695.389954;183.098145;707.558899;740.806885;162.191238;;;;;;;887.718018;861.010315;158.358109;;;;;;;;;;971.661987;833.009827;305.201599;;;;;;;664.098145;648.497620;172.833237;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;585.911011;696.315613;183.083511;703.569885;741.021729;162.466568;;;;;;;884.170532;860.239868;159.085571;;;;;;;;;;969.246704;832.411804;306.267120;;;;;;;659.052856;648.337646;173.407364;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;581.468445;697.296326;182.885818;699.506165;741.371643;162.408173;;;;;;;880.355286;859.605835;160.404556;;;;;;;;;;967.110291;831.757202;306.756073;;;;;;;654.401123;648.015015;173.720871;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;577.016418;698.339966;182.655197;695.763245;741.657166;162.191498;;;;;;;877.519409;858.212341;161.148193;;;;;;;;;;965.084656;831.318787;307.063843;;;;;;;649.377747;648.492615;173.600327;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;572.417664;699.424011;182.213928;691.101318;741.654419;161.979126;;;;;;;873.417664;857.883362;161.932693;;;;;;;;;;963.138306;830.694336;307.951111;;;;;;;644.380127;649.411987;173.545105;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;567.992065;700.283081;182.226822;686.563293;741.591492;162.234726;;;;;;;869.869629;857.260193;162.927383;;;;;;;;;;961.218323;830.345825;308.317688;;;;;;;639.425598;650.162170;173.847260;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;563.550232;701.192139;182.455292;682.865906;741.618530;162.204834;;;;;;;865.856140;856.527405;164.134033;;;;;;;;;;958.593750;829.718811;309.194489;;;;;;;634.582764;650.612427;173.935928;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;559.270447;702.263062;181.966324;678.679016;741.795044;162.156494;;;;;;;;;;;;;;;;;;;956.391785;829.157715;309.839569;;;;;;;630.114746;651.051880;174.165131;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;555.006592;703.391846;181.593933;675.168457;740.631775;162.712494;;;;;;;;;;;;;;;;;;;954.256531;828.576660;310.773773;;;;;;;625.427246;651.583557;173.690521;858.481689;854.269836;166.522507;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
