;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;;*23;;;*24;;;*25;;;*26;;;*27;;;*28;;;*29;;;*30;;;*31;;;*32;;;*33;;;*34;;;*35;;;*36;;;*37;;;*38;;;*39;;;*40;;;*41;;;*42;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
10;898.549194;739.002869;147.773895;;;;1075.355957;842.391052;526.188660;1062.279907;815.488220;327.117798;;;;858.268921;648.129272;126.365700;765.517273;724.160828;128.373016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;898.557373;738.831848;147.731522;;;;1075.290161;842.386780;526.081909;1062.150024;815.444824;327.042053;;;;858.240417;647.979553;126.198891;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;898.530762;738.723877;147.620117;;;;1075.362305;842.357605;525.967102;1062.033447;815.421204;326.952423;;;;858.513062;647.737366;125.664078;;;;765.936035;723.812744;127.698875;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;898.504456;738.665100;147.557800;;;;1075.362305;842.357239;525.930298;1061.881592;815.341736;326.935699;;;;858.547668;647.534058;125.350334;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;898.604553;738.514832;147.424637;;;;1075.290527;842.334595;525.872559;1061.726196;815.332642;326.799988;;;;858.546814;647.398682;125.265320;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;898.853577;738.348450;147.169357;;;;1075.295776;842.269043;525.814575;1061.558960;815.331726;326.687653;;;;858.616638;647.441589;125.151566;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;898.796082;738.192566;146.921906;;;;1075.318726;842.241150;525.804016;1061.452515;815.308105;326.623566;;;;858.617371;647.325867;125.031837;;;;;;;765.949890;722.856140;125.815582;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;898.780334;738.014343;146.821121;;;;1074.637085;842.199097;526.168762;1061.244263;815.210571;326.536865;;;;858.399902;647.107849;124.961510;;;;;;;765.907471;722.726135;125.616562;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;898.776550;737.936096;146.639404;;;;1074.885254;842.123108;525.841309;1061.024658;815.114380;326.487091;;;;858.458130;646.889832;124.527664;;;;;;;765.828247;722.654358;125.358047;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;898.700195;737.767883;146.393570;;;;1075.230591;842.054321;525.612427;1060.327637;815.074402;326.394257;;;;858.545105;646.783936;124.214294;;;;;;;765.854919;722.464905;125.099754;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
