PTP253;;;;;;;;;;;;
Date:;2025/04/23;;;;;;;;;;;
Time:;14:00:53;;;;;;;;;;;
Type:;test;;;;;;;;;;;
Description:;"";;;;;;;;;;;
Notes:;"";;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
1;864.249756;648.799622;106.632225;;;;;;;;;
2;864.250000;648.820740;106.544327;;;;;;;;;
3;864.226074;648.839600;106.537369;;;;;;;;;
4;864.277283;648.825256;106.602982;;;;;;;;;
5;864.330750;648.806641;106.690544;;;;;;;;;
6;864.299072;648.839355;106.580193;;;;;;;;;
7;864.336060;648.803955;106.606750;;;;;;;;;
8;864.357239;648.797058;106.705078;;;;;;;;;
9;864.383362;648.797363;106.718239;;;;;;;;;
10;864.373291;648.836609;106.633522;;;;;;;;;
11;864.345032;648.793701;106.696281;;;;;;;;;
12;864.382629;648.812622;106.690361;;;;;;;;;
13;864.401978;648.896606;106.764114;;;;;;;;;
14;864.390137;648.945557;106.764366;;;;;;;;;
15;864.412842;648.909485;106.792656;;;;;;;;;
16;864.460876;648.887939;106.869858;;;;;;;;;
17;864.462585;648.892334;106.915588;;;;;;;;;
18;864.417236;649.022095;107.070015;;;;;;;;;
19;864.404114;649.070740;107.089249;;;;;;;;;
20;864.389038;649.159363;107.159332;;;;;;;;;
21;864.386108;649.207092;107.225952;;;;;;;;;
22;864.348511;649.318726;107.291290;;;;;;;;;
23;864.317566;649.425537;107.431480;;;;;;;;;
24;864.283203;649.618469;107.532951;;;;;;;;;
25;864.284241;649.826538;107.618271;;;;;;;;;
26;864.242004;649.958374;107.820381;;;;;;;;;
27;864.086731;650.220825;108.163467;;;;;;;;;
28;864.036255;650.454224;108.286247;;;;;;;;;
29;863.902100;650.655640;108.467766;;;;;;;;;
30;863.700562;650.986206;108.870636;;;;;;;;;
31;863.511047;651.256226;109.237595;;;;;;;;;
32;863.417847;651.498840;109.559486;;;;;;;;;
33;863.263428;651.944214;110.086769;;;;;;;;;
34;863.249573;652.318359;110.496689;;;;;;;;;
35;863.208435;652.639221;110.991798;;;;;;;;;
36;862.898621;653.213623;111.463203;;;;;;;;;
37;862.491394;654.033325;111.911018;;;;;;;;;
38;862.086670;654.973083;112.702354;;;;;;;;;
39;861.815552;655.749451;113.306679;;;;;;;;;
40;861.463562;656.307312;113.898735;;;;;;;;;
41;860.812927;657.093018;114.337639;;;;;;;;;
42;859.556458;658.391663;115.117462;;;;;;;;;
43;858.348267;659.635864;116.068840;;;;;;;;;
44;857.213379;660.544250;116.620850;;;;;;;;;
45;856.042419;661.770874;117.585938;;;;;;;;;
46;854.653992;663.240173;118.080437;;;;;;;;;
47;852.585876;664.820251;119.370201;;;;;;;;;
48;850.600464;666.293091;120.088959;;;;;;;;;
49;848.684448;668.031250;120.975403;;;;;;;;;
50;846.515076;669.776001;121.739662;;;;;;;;;
51;843.805786;671.742432;123.342293;;;;;;;;;
52;840.965759;673.714417;124.347893;;;;;;;;;
53;838.082275;676.007385;126.029556;;;;;;;;;
54;834.780701;678.188660;127.613335;;;;;;;;;
55;831.848999;680.424988;129.522919;;;;;;;;;
56;828.577698;682.870361;131.405334;;;;;;;;;
57;825.285522;685.347473;133.029037;;;;;;;;;
58;821.990173;687.856873;134.974457;;;;;;;;;
