PTP246;;;;;;;;;
Date:;2025/04/23;;;;;;;;
Time:;10:00:50;;;;;;;;
Type:;test;;;;;;;;
Description:;"";;;;;;;;
Notes:;"";;;;;;;;
TRAJECTORIES;;;;;;;;;
200.000000;Hz;;;;;;;;
;*1;;;*2;;;*3;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z
131;558.139282;871.461304;154.309692;;;;;;
132;557.320313;871.298096;154.235382;;;;;;
133;556.179077;870.985413;154.054138;;;;;;
134;555.689392;871.038574;153.402542;;;;;;
135;555.292297;871.114014;152.644653;;;;;;
136;554.769104;871.044983;152.213104;;;;;;
137;554.090881;870.816650;151.918472;;;;;;
138;553.580261;870.862671;150.934387;;;;;;
139;553.287354;870.807861;150.179642;;;;;;
140;552.897522;870.819275;149.560425;;;;;;
141;552.593140;870.570862;148.943512;;;;;;
142;552.259521;870.364502;148.350510;;;;;;
143;551.848999;870.217285;147.986237;;;;;;
144;551.380127;870.055359;147.687988;;;;;;
145;550.962769;869.911865;147.331497;;;;;;
146;550.591309;869.701477;147.247818;;;;;;
147;550.369141;869.733154;146.746964;;;;;;
148;550.071289;869.641846;146.701248;;;;;;
149;549.571533;869.486511;146.526123;;;;;;
150;549.356995;869.416870;145.538040;;;;;;
151;549.077271;869.502747;145.078720;;;;;;
152;548.861511;869.402649;144.948517;;;;;;
153;548.725952;869.359619;144.915833;;;;;;
154;548.801697;869.386597;144.799042;;;;;;
155;548.548645;869.395813;144.684448;;;;;;
156;548.467041;869.392029;144.530045;;;;;;
157;548.466675;869.412476;144.385498;;;;;;
158;548.468567;869.492920;144.193100;;;;;;
159;548.414917;869.583069;143.967316;;;;;;
160;548.434998;869.792664;143.777832;;;;;;
161;548.541687;869.922791;143.609421;;;;;;
162;548.587524;870.158386;143.296844;;;;;;
163;548.784668;870.581665;142.656479;;;;;;
164;548.918579;870.981384;142.313461;;;;;;
165;548.490112;870.870422;143.144974;;;;;;
166;548.224060;870.950684;143.457565;;;;;;
167;548.264832;871.122375;143.324234;;;;;;
168;548.339355;871.286621;143.096939;;;;;;
169;548.373230;871.379028;142.951904;;;;;;
170;548.324524;871.491699;142.889557;;;;;;
171;548.382996;871.641785;142.771744;;;;;;
172;548.435364;871.764221;142.695129;;;;;;
173;548.480347;871.776184;142.650833;;;;;;
174;548.544312;871.817505;142.534119;;;;;;
175;548.489868;871.934082;142.468048;;;;;;
176;548.593567;871.994385;142.294647;;;;;;
177;548.658142;872.001404;142.220840;;;;;;
178;548.666992;872.013977;142.244415;;;;;;
179;548.821716;872.004028;142.231033;;;;;;
180;548.952759;872.081787;142.083069;;;;;;
181;548.914734;872.018555;142.250702;;;;;;
182;548.942200;872.030334;142.200684;;;;;;
183;549.022278;872.001404;142.283844;;;;;;
184;549.011902;871.986389;142.320648;;;;;;
185;549.043274;871.965088;142.385742;;;;;;
186;549.052429;871.943237;142.393372;;;;;;
187;549.194763;871.955200;142.343628;;;;;;
188;549.212219;871.921082;142.410645;;;;;;
189;549.202393;871.917603;142.155884;;;;;;
190;549.353577;871.923401;142.070801;;;;;;
191;549.462158;871.939209;141.940704;;;;;;
192;549.971741;872.168030;141.199875;;;;;;
193;550.336060;872.303284;140.777710;;;;;;
194;550.451172;872.318604;140.662888;;;;;;
195;550.499268;872.200745;140.791168;;;;;;
196;550.612061;872.164124;140.717468;;;;;;
197;550.805115;872.077026;140.639313;;;;;;
198;550.965332;872.080078;140.527664;;;;;;
199;551.113281;872.070129;140.308273;;;;;;
200;550.639404;871.592896;141.008057;;;;;;
201;551.131958;871.820923;140.865402;;;;;;
202;550.885071;871.584229;141.237015;;;;;;
203;550.797791;871.398132;141.397705;;;;2281.228760;-1025.744507;-162.732513
204;551.025757;871.310120;141.647064;;;;;;
205;551.481750;871.547363;141.041824;;;;;;
206;551.718933;871.723999;140.764130;;;;;;
207;551.781494;871.702393;140.819077;;;;;;
208;551.956299;871.707092;140.826111;;;;;;
209;552.101563;871.720825;140.808685;;;;;;
210;552.237976;871.717896;140.802948;;;;;;
211;552.346191;871.686890;140.933609;;;;;;
212;552.572144;871.689453;140.926575;;;;;;
213;552.673706;871.794922;140.988312;;;;;;
