PTP255;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/28;;;;;;;;;;;;;;;;;;;;
Time:;11:42:04;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
81;604.061646;806.093750;165.301147;;;;;;;;;;;;;;;;;;
82;601.108032;808.198975;163.010468;;;;;;;;;;;;;;;;;;
83;598.421936;810.429016;160.988190;;;;;;;;;;;;;;;;;;
84;595.675232;811.975403;159.344025;;;;;;;;;;;;;;;;;;
85;592.644592;813.987915;157.594284;;;;;;;;;;;;;;;;;;
86;589.668213;815.676697;156.087570;;;;;;;;;;;;;;;;;;
87;587.599548;817.798096;153.942245;;;;;;;;;;;;;;;;;;
88;584.642517;819.236633;152.602386;;;;;;;;;;;;;;;;;;
89;581.940247;820.450317;151.471756;;;;;;;;;;;;;;;;;;
90;579.922791;821.906250;149.225754;;;;;;;;;;;;;;;;;;
91;577.781799;823.466309;146.604218;;;;;;;;;;;;;;;;;;
92;575.653076;824.580322;145.199158;;;;;;;;;;;;;;;;;;
93;573.703491;825.881470;143.082870;;;;;;;;;;;;;;;;;;
94;571.927856;826.977173;140.864960;;;;;;;;;;;;;;;;;;
95;569.885803;828.098755;139.311798;;;;;;;;;;;;;;;;;;
96;568.136841;829.272278;137.360275;;;;;;;;;;;;;;;;;;
97;566.470032;830.325806;135.473755;;;;;;;;;;;;;;;;;;
98;565.132568;831.476013;133.125610;;;;;;;;;;;;;;;;;;
99;563.768250;832.495361;131.069595;;;;;;;;;;;;;;;;;;
100;561.886414;833.390015;129.793411;;;;;;;;;;;;;;;;;;
101;560.665283;834.210632;128.501221;;;;;;;;;;;;;;;;;;
102;559.461121;835.337646;126.060341;;;;;;;;;;;;;;;;;;
103;558.001404;836.163696;124.715736;;;;;;;;;;;;;;;;;;
104;556.734314;837.223083;122.946495;;;;;;;;;;;;;;;;;;
105;555.800171;837.882935;120.983566;;;;;;;;;;;;;;;;;;
106;555.170654;838.556396;118.743042;;;;;;;;;;;;;;;;;;
107;554.189941;839.488464;116.681595;;;;;;;;;;;;;;;;;;
108;552.978760;839.921082;115.069229;;;;;;;;;;;;;;;;;;
109;552.026123;840.415100;113.846756;;;;;;;;;;;;;;;;;;
110;551.507385;841.155457;111.663727;;;;;;;;;;;;;;;;;;
111;550.770691;841.399353;109.518379;;;;;;;;;;;;;;;;;;
112;550.403748;842.132385;107.323936;;;;;;;;;;;;;;;;;;
113;549.459717;842.464050;105.560364;;;;;;;;;;;;;;;;;;
114;548.939270;842.698853;104.246033;;;;;;;;;;;;;;;;;;
115;548.909302;843.239563;101.636559;;;;;;;;;;;;;;;;;;
116;548.447815;843.534973;100.011803;;;;;;;;;;;;;;;;;;
117;548.172974;844.221558;98.483078;;;;;;;;;;;;;;;;;;
118;548.063843;844.899963;97.977974;;;;;;;;;;;;;;;;;;
119;547.763062;845.311218;97.872986;;;;;;;;;;;;;;;;;;
120;547.233887;845.548279;97.807686;;;;;;;;;;;;;;;;;;
