PTP253;;;;;;;;;;;;
Date:;2025/04/28;;;;;;;;;;;
Time:;13:54:02;;;;;;;;;;;
Type:;test;;;;;;;;;;;
Description:;"";;;;;;;;;;;
Notes:;"";;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
119;;;;;;;;;;470.850067;869.679871;116.720413
120;;;;;;;;;;467.615021;871.824646;115.158409
121;;;;;;;;;;464.708344;873.817444;113.292648
122;;;;;;;;;;462.615814;875.836548;110.936829
123;;;;;;;;;;459.791962;877.671448;109.469170
124;;;;;;;;;;457.615692;879.344116;108.029510
125;;;;;;;;;;456.008057;881.070068;106.144417
126;;;;;;;;;;454.020264;882.363525;104.825539
127;;;;;;;;;;451.780823;884.017090;103.232048
128;;;;;;;;;;449.979431;885.158325;102.341972
129;;;;;;;;;;448.460602;886.108154;100.858467
130;;;;;;;;;;446.697113;887.000000;99.537659
131;;;;;;;;;;444.908813;888.022461;98.598686
132;;;;;;;;;;443.230347;888.804749;97.257790
133;;;;;;;;;;442.121429;889.212463;96.058151
134;;;;;;;;;;440.586426;889.694946;94.578049
135;;;;;;;;;;438.920593;889.963196;93.172699
136;;;;;;;;;;438.098114;890.021729;91.685417
137;;;;;;;;;;436.972778;890.204834;89.831268
138;;;;;;;;;;435.764648;890.053833;88.444443
139;;;;;;;;;;434.405090;889.756226;86.459686
140;;;;;;;;;;433.522461;889.330566;84.629768
141;;;;;;;;;;433.044586;888.941711;81.908333
142;;;;;;;;;;432.505341;888.493530;79.700012
143;;;;;;;;;;432.006409;888.047913;77.659264
144;;;;;;;;;;431.539886;887.470154;75.126808
145;;;;;;;;;;431.296844;886.787048;72.698807
146;;;;;;;;;;431.272522;886.246094;70.786644
147;;;;;;;;;;431.207520;885.952209;69.827278
148;;;;;;;;;;431.018738;885.957275;69.847137
149;;;;;;;;;;430.737671;886.218811;70.342377
150;;;;;;;;;;430.612549;886.529419;70.961334
151;;;;;;;;;;430.629669;886.886353;71.022179
152;;;;;;;;;;430.753540;887.128357;70.970673
153;;;;;;;;;;430.772217;887.336609;70.908852
154;;;;;;;;;;430.787415;887.441589;70.923164
155;;;;;;;;;;430.878418;887.532227;70.961418
156;;;;;;;;;;430.896393;887.539917;70.958206
157;;;;;;;;;;431.025330;887.540222;71.042290
158;;;;;;;;;;430.967468;887.388184;71.137711
159;;;;;;;;;;431.002472;887.346863;71.255043
160;;;;;;;;;;431.077209;887.337158;71.405663
161;;;;;;;;;;431.062531;887.324097;71.479576
162;;;;;;;;;;431.094757;887.322632;71.569199
163;;;;;;;;;;431.172089;887.290527;71.687881
164;;;;;;;;;;431.230286;887.253845;71.888901
165;;;;;;;;;;431.199463;887.147583;71.977982
166;;;;;;;;;;431.201477;887.110779;72.010620
167;;;;;;;;;;431.251709;887.109375;72.059242
168;;;;;;;;;;431.200378;887.085388;72.149529
169;;;;;;;;;;431.271698;887.085510;72.192398
170;;;;;;;;;;431.283051;887.079285;72.246552
171;;;;;;;;;;431.280426;886.971985;72.315590
172;;;;;;;;;;431.270844;886.952820;72.334427
173;;;;;;;;;;431.236084;886.921570;72.453995
174;;;;;;;;;;431.210602;886.943848;72.410522
175;;;;;;;;;;431.225037;886.923645;72.462975
176;;;;;;;;;;431.099396;886.918152;72.464302
177;;;;;;;;;;431.148560;886.966919;72.319183
178;;;;;;;;;;431.194489;887.078552;72.189995
179;;;;;;;;;;431.152527;887.101685;72.124672
180;;;;;;;;;;431.150757;887.109863;72.085739
181;;;;;;;;;;431.071808;887.100586;72.116875
182;;;;;;;;;;431.041748;887.194031;72.143784
183;;;;;;;;;;431.057037;887.202148;72.182037
184;;;;;;;;;;431.091370;887.102600;72.152641
185;;;;;;;;;;431.031403;887.114197;72.066589
186;;;;;;;;;;431.081268;887.117981;72.089584
187;;;;;;;;;;431.120789;887.110779;72.078873
188;;;;;;;;;;431.127686;887.109680;72.068359
189;;;;;;;;;;431.038116;887.123840;72.052681
190;;;;;;;;;;431.105377;887.025513;72.067032
191;;;;;;;;;;431.113739;886.993896;72.109352
192;;;;;;;;;;431.087952;886.981506;72.175682
193;;;;;;;;;;431.020813;886.957642;72.266800
194;;;;;;;;;;431.051208;886.976501;72.228058
195;;;;;;;;;;431.102325;886.978760;72.200493
196;;;;;;;;;;431.113098;886.990295;72.121162
197;;;;;;;;;;431.175873;887.008972;72.085777
198;;;;;;;;;;431.154755;886.990601;72.147705
199;;;;;;;;;;431.150085;886.990234;72.166771
200;;;;;;;;;;431.130951;886.996826;72.146042
201;;;;;;;;;;431.132477;886.986816;72.173080
202;;;;;;;;;;431.150024;887.076172;72.176155
203;;;;;;;;;;431.123047;887.020264;72.182663
204;;;;;;;;;;431.135101;886.998047;72.207031
205;;;;;;;;;;431.184479;886.988220;72.193710
206;;;;;;;;;;431.144257;886.984436;72.252388
207;;;;;;;;;;430.959106;886.929565;72.356155
208;;;;;;;;;;431.108704;886.963440;72.296265
209;;;;;;;;;;431.201721;886.977600;72.252945
210;;;;;;;;;;431.197296;886.941040;72.429916
211;;;;;;;;;;431.114044;886.928345;72.498222
212;;;;;;;;;;431.128540;886.919189;72.470871
213;;;;;;;;;;431.156189;886.929260;72.492714
214;;;;;;;;;;431.188263;886.925293;72.477966
215;;;;;;;;;;431.197388;886.924744;72.464386
216;;;;;;;;;;431.210449;886.937805;72.420197
217;;;;;;;;;;431.203217;886.953064;72.353271
218;;;;;;;;;;431.209991;886.931091;72.429161
219;;;;;;;;;;431.216888;886.916870;72.489731
220;;;;;;;;;;431.213867;886.915771;72.498627
221;;;;;;;;;;431.215912;886.917297;72.490685
222;;;;;;;;;;431.195343;886.924255;72.468681
223;;;;;;;;;;431.183533;886.925598;72.506241
224;;;;;;;;;;431.193451;886.955505;72.369682
225;;;;;;;;;;431.250366;886.964233;72.274704
226;;;;;;;;;;431.296997;886.967773;72.292786
227;;;;;;;;;;431.314087;886.961670;72.330276
228;;;;;;;;;;431.234436;886.953491;72.399101
229;;;;;;;;;;431.212097;886.920105;72.486855
230;;;;;;;;;;431.220978;886.963257;72.400963
231;;;;;;;;;;431.243835;886.971130;72.301033
232;;;;;;;;;;431.227203;887.056702;72.272331
233;;;;;;;;;;431.187012;886.981384;72.235146
234;;;;;;;;;;431.216156;887.089905;72.206367
235;;;;;;;;;;431.196808;887.083252;72.290901
236;;;;;;;;;;431.150238;887.075684;72.319656
