PTP251;;;;;;;;;;;;;;;
Date:;2025/04/23;;;;;;;;;;;;;;
Time:;12:52:35;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
102;707.837830;747.551575;180.804565;;;;;;;;;;;;
103;703.614746;749.890076;180.994141;;;;;;;;;;;;
104;700.289185;752.509033;180.778030;;;;;;;;;;;;
105;696.784973;754.400513;180.616440;;;;;;;;;;;;
106;693.191956;757.030029;180.174118;;;;;;;;;;;;
107;689.727295;759.189697;180.118011;;;;;;;;;;;;
108;685.998474;761.622192;179.846802;;;;;;;;;;;;
109;682.881042;763.880127;179.537384;;;;;;;;;;;;
110;678.904236;765.974304;179.079117;;;;;;;;;;;;
111;676.131470;768.203430;178.668686;;;;;;;;;;;;
112;672.487488;770.277466;178.173187;;;;;;;;;;;;
113;669.169495;772.502136;177.834457;;;;;;;;;;;;
114;665.934326;774.455933;177.057632;;;;;;;;;;;;
115;662.631897;776.575745;177.067230;;;;;;;;;;;;
116;659.810425;778.659119;176.588776;;;;;;;;;;;;
117;656.198181;780.752441;176.619614;;;;;;;;;;;;
118;653.186218;782.362915;175.915787;;;;;;;;;;;;
119;650.433350;784.426392;175.441498;;;;;;;;;;;;
120;647.311584;786.502075;174.780991;;;;;;;;;;;;
121;643.985474;788.254211;174.706726;;;;;;;;;;;;
122;641.410278;790.347473;173.644379;;;;;;;;;;;;
123;638.955750;791.792297;173.179047;;;;;;;;;;;;
124;635.992981;793.561096;172.335785;;;;;;;;;;;;
125;633.102600;795.826660;171.521942;;;;;;;;;;;;
126;630.413574;797.028076;171.423996;;;;;;;;;;;;
127;627.744629;799.039490;170.293167;;;;;;;;;;;;
128;625.024292;800.573364;169.917511;;;;;;;;;;;;
129;622.159790;802.240356;169.305573;;;;;;;;;;;;
130;620.024414;804.084961;168.669266;;;;;;;;;;;;
131;617.310303;805.611267;167.730026;;;;;;;;;;;;
132;614.996094;807.198364;167.191238;;;;;;;;;;;;
133;612.942383;808.493469;166.759354;;;;;;;;;;;;
134;610.372864;810.274658;165.574799;;;;;;;;;;;;
135;608.124146;811.710205;165.055130;;;;;;;;;;;;
136;606.082397;813.224548;164.715912;;;;;;;;;;;;
137;603.890991;814.868164;164.055679;;;;;;;;;;;;
138;601.740173;815.924805;163.379288;;;;;;;;;;;;
139;599.963379;817.565063;162.852203;;;;;;;;;;;;
140;598.039246;819.184998;161.989548;;;;;;;;;;;;
141;595.845581;820.141113;161.643982;;;;;;;;;;;;
142;593.950806;821.236511;160.932907;;;;;;;;;;;;
143;592.214111;822.427795;160.394165;;;;;;;;;;;;
144;590.326111;823.448303;159.300461;;;;;;;;;;;;
145;588.503418;824.436157;158.333710;;;;;;;;;;;;
146;587.231506;825.311401;157.469955;;;;;;;;;;;;
147;585.767639;826.402832;157.142365;;;;;;;;;;;;
148;583.497375;827.388794;156.485077;;;;;;;;;;;;
149;582.066345;827.901978;155.786270;;;;;;;;;;;;
150;580.663452;828.751465;155.150650;2310.989014;301.027924;-134.834991;;;;;;;;;
151;579.339233;829.637024;154.052200;;;;;;;;;;;;
152;577.973511;830.506653;153.353851;;;;;;;;;;;;
153;576.786377;831.210999;152.780914;;;;2310.896729;301.030029;-134.241150;;;;;;
154;575.103271;831.827820;152.169403;;;;;;;;;;;;
155;573.988586;832.565796;151.626740;;;;;;;;;;;;
156;572.628845;833.529541;150.617950;;;;;;;;;;;;
157;571.413391;834.251831;149.907288;;;;;;;;;;;;
158;570.086670;834.964294;149.149628;;;;;;;;;;;;
159;568.739258;835.614502;148.494888;;;;;;;;;;;;
160;567.491577;836.166565;148.336502;;;;;;;;;;;;
161;565.886169;836.541443;147.942963;;;;;;;;;;;;
162;564.642090;836.927551;147.409241;;;;;;;;;;;;
163;563.296875;837.424683;146.384933;;;;;;;;;;;;
164;562.191833;838.016235;145.447342;;;;;;;;;;;;
165;561.482422;838.660583;145.039520;;;;;;;;;;;;
166;560.338928;839.328552;144.560333;;;;;;;;;;;;
167;559.157227;839.930542;143.859055;;;;;;;;;;;;
168;558.038391;840.255920;143.121429;;;;;;;;;;;;
169;556.966980;840.515564;142.468246;;;;;;;;;;;;
170;556.281067;840.887451;141.958298;;;;;;;;;;;;
171;555.277161;841.412903;141.157562;;;;;;;;;;;;
172;554.275208;841.985596;140.148438;;;;;;;;;;;;
173;553.641663;842.313660;139.611679;;;;;;;;;;;;
174;552.636963;842.793030;139.339478;;;;;;;;;;;;
175;551.362305;843.132690;138.764175;;;;;;;;;;;;
176;550.420471;843.455078;138.399704;;;;;;;;;;;;
177;549.761047;843.862061;137.815216;;;;;;;;;;;;
178;548.911133;844.255920;137.016251;;;;;;;;;;;;
179;548.162781;844.482117;136.450684;;;;;;;;;;;;
180;547.386902;844.638916;136.053360;;;;;;;;;;;;
181;545.978149;844.871033;135.759232;;;;;;;;;;;;
182;545.004028;845.042664;134.935593;;;;;;;;;;;;
183;544.423889;845.244263;134.526215;;;;;;;;;;;;
184;543.779785;845.523560;134.340347;;;;;;;;;;;;
185;542.967102;845.764709;134.017853;;;;;;;;;;;;
186;542.106628;846.064758;133.575104;;;;;;;;;;;;
187;541.499573;846.236084;133.413467;;;;;;;;;;;;
188;541.111816;846.507813;132.556473;;;;;;;;;;;;
189;540.270630;846.553833;131.836380;;;;;;;;;;;;
190;539.451599;846.652405;131.385468;;;;;;;;;;;;
191;538.930908;846.676392;131.077652;;;;;;;;;;;;
192;538.431519;846.794434;130.889954;;;;;;;;;;;;
193;537.974243;846.875916;130.768372;;;;;;;;;;;;
194;537.257751;846.765076;130.431839;;;;;;;;;;;;
195;536.456726;846.831848;130.038208;;;;;;;;;;;;
196;536.027527;846.868042;129.869064;;;;;;;;;;;;
197;535.752136;846.865967;129.478134;;;;;;;;;;;;
198;535.369080;846.807800;128.840134;;;;;;;;;;;;
199;534.895874;846.670715;128.276459;;;;;;;;;;;;
200;534.400024;846.595825;127.882034;;;;;;;;;;;;
201;533.792725;846.552124;127.535774;;;;;;;;;;;;
202;533.446411;846.432983;127.269638;;;;;;;;;;;;
203;533.056274;846.380737;127.160721;;;;;;;;;;;;
204;532.864685;846.251221;126.858955;;;;;;;;;;;;
205;532.620544;846.142395;126.573151;;;;;;;;;;;;
206;532.185242;846.064026;126.280632;;;;;;;;;;;;
207;531.522766;845.640625;126.523926;;;;;;;;;;;;
208;531.267639;845.665527;125.693481;;;;;;;;;;;;
209;530.943420;845.571716;125.070465;;;;;;;;;;;;
210;531.053833;845.562622;124.019203;;;;;;;;;;;;
211;530.837524;845.373535;123.572426;;;;;;;;;;;;
212;530.502258;845.039490;123.546059;;;;;;;;;;;;
213;530.436646;844.834106;123.326180;;;;;;;;;;;;
214;529.989563;844.523743;123.216591;;;;;;;;;;;;
215;529.793274;844.188538;122.456360;;;;;;;;;;;;
216;530.000305;843.688232;121.131760;;;;;;;;;;;;
217;530.129395;843.404480;120.194427;;;;;;;;;;;;
218;530.142273;843.172302;119.751099;;;;;;;;;;;;
219;530.035034;843.066833;119.446671;;;;;;;;;;;;
220;530.087891;842.871826;119.036522;;;;;;;;;;;;
221;530.221436;842.510010;118.280746;;;;;;;;;;;;
222;530.620605;842.090637;117.115250;;;;;;;;;;;;
223;530.740112;841.857910;116.378784;;;;;;;;;;;;
224;530.911194;841.392944;115.193069;;;;;;;;;;;;
225;531.011475;840.930115;114.719734;;;;;;;;;;;;
226;531.237000;840.629089;114.415749;;;;;;;;;;;;
227;531.473999;840.393311;114.204796;;;;;;;;;;;;
228;531.575623;840.232117;113.958511;;;;;;;;;;;;
229;531.493469;839.833252;113.648087;;;;;;;;;;;;
230;531.911133;839.387207;113.039108;;;;;;;;;;;;
231;532.487305;838.870178;111.677719;;;;;;;;;;;;
232;532.986694;838.655518;110.868660;;;;;;;;;;;;
233;533.098999;838.529114;110.661942;;;;;;;;;;;;
234;533.201477;838.339539;110.344666;;;;;;;;;;;;
235;533.284180;838.158875;110.047768;;;;;;;;;;;;
236;533.387085;838.170288;109.800552;;;;;;;;;;;;
237;533.593506;838.055542;109.505547;;;;;;;;;;;;
238;533.697388;838.086060;109.274155;;;;;;;;;;;;
239;533.790283;837.979675;109.167336;;;;;;;;;;;;
240;533.883484;837.952576;108.807327;;;;;;;;;;;;
241;533.909302;837.843689;108.881088;;;;;;;;;;;;
242;533.836548;837.838684;109.023415;;;;;;;;;;;;
243;533.802307;837.912354;109.276726;;;;;;;;;;;;
244;533.646545;837.990417;109.512871;;;;;;;;;;;;
245;533.546936;838.059692;109.643929;;;;;;;;;;;;
246;533.515686;838.162964;109.691139;;;;;;;;;;;;
247;533.426697;838.214294;109.770874;;;;;;;;;;;;
248;533.440491;838.372375;109.812004;;;;;;;;;;;;
249;533.401123;838.612122;109.862038;;;;;;;;;;;;
250;533.299988;838.718262;109.918968;;;;;;;;;;;;
251;533.092896;838.984131;110.080956;;;;;;;;;;;;
252;533.021484;839.322693;110.398117;;;;;;;;;;;;
253;532.926208;839.520813;110.264313;;;;;;;;;;;;
254;533.029358;839.692383;110.298714;;;;;;;;;;;;
255;533.052551;839.849548;110.100822;;;;;;;;;;;;
256;533.087585;839.968872;110.007202;;;;;;;;;;;;
257;533.099182;840.012817;109.925652;;;;;;;;;;;;
258;533.162781;840.182251;109.865433;;;;;;;;;;;;
259;533.256714;840.278015;109.685890;;;;;;;;;;;;
260;533.327209;840.296631;109.605515;;;;;;;;;;;;
261;533.435730;840.275696;109.591469;;;;;;;2310.881104;301.032593;-134.201538;;;
262;533.395508;840.297180;109.587944;;;;;;;;;;;;
263;533.480774;840.294189;109.578072;;;;;;;;;;;;
264;533.600220;840.265137;109.432594;;;;;;;;;;2310.879883;301.035431;-134.328827
265;533.695862;840.188171;109.342308;;;;;;;;;;;;
266;533.508484;840.090881;109.606972;;;;;;;;;;;;
267;533.627808;840.166626;109.511780;;;;;;;;;;;;
268;533.844666;840.166199;109.238495;;;;;;;;;;;;
269;533.891174;840.096985;109.147430;;;;;;;;;;;;
270;533.875122;840.072571;109.115173;;;;;;;;;;;;
271;534.015991;839.927612;108.902779;;;;;;;;;;;;
272;534.012878;839.951965;108.721779;;;;;;;;;;;;
273;534.073608;839.956055;108.691246;;;;;;;;;;;;
274;534.061829;839.955627;108.688354;;;;;;;;;;;;
275;534.087341;839.938293;108.711563;;;;;;;;;;;;
276;534.099609;839.929260;108.682045;;;;;;;;;;;;
277;534.140076;839.949829;108.613701;;;;;;;;;;;;
278;534.152649;839.946289;108.594048;;;;;;;;;;;;
279;534.151794;839.953796;108.596786;;;;;;;;;;;;
280;534.139893;840.037231;108.540085;;;;;;;;;;;;
281;534.041443;840.079529;108.657318;;;;;;;;;;;;
282;534.106262;840.046021;108.577980;;;;;;;;;;;;
283;534.145691;840.072815;108.457962;;;;;;;;;;;;
284;534.139221;840.050415;108.505661;;;;;;;;;;;;
285;534.143005;840.043884;108.531990;;;;;;;;;;;;
286;534.114441;840.069702;108.483040;;;;;;;;;;;;
287;534.080688;840.080078;108.409386;;;;;;;;;;;;
288;534.146851;840.052124;108.500694;;;;;;;;;;;;
289;534.067932;840.086609;108.573570;;;;;;;;;;;;
290;534.114868;840.077515;108.492577;;;;;;;;;;;;
291;534.007935;840.093689;108.567070;;;;;;;;;;;;
292;534.089661;840.165649;108.503487;;;;;;;;;;;;
293;534.141113;840.153259;108.514198;;;;;;;;;;;;
294;534.114380;840.159668;108.540688;;;;;;;;;;;;
295;534.091187;840.174805;108.579567;;;;;;;;;;;;
296;534.017212;840.205017;108.681602;;;;;;;;;;;;
297;534.058533;840.277466;108.560020;;;;;;;;;;;;
298;534.029175;840.321716;108.587212;;;;;;;;;;;;
299;534.072327;840.308044;108.556923;;;;;;;;;;;;
300;534.085876;840.304932;108.734192;;;;;;;;;;;;
301;534.115784;840.375732;108.672050;;;;;;;;;;;;
302;534.097412;840.415955;108.696243;;;;;;;;;;;;
303;534.186768;840.392151;108.680412;;;;;;;;;;;;
304;534.269836;840.377502;108.705414;;;;;;;;;;;;
305;534.299500;840.460327;108.725784;;;;;;;;;;;;
306;534.330322;840.481628;108.856407;;;;;;;;;;;;
307;534.440674;840.536072;108.910934;;;;;;;;;;;;
308;534.513489;840.570313;108.911316;;;;;;;;;;;;
309;534.572815;840.650757;108.971046;;;;;;;;;;;;
