PTP239;;;;;;
Date:;2025/04/22;;;;;
Time:;17:12:44;;;;;
Type:;test;;;;;
Description:;"";;;;;
Notes:;"";;;;;
TRAJECTORIES;;;;;;
200.000000;Hz;;;;;
;*1;;;*2;;
Field #;X;Y;Z;X;Y;Z
154;;;;624.034973;831.797302;81.416405
155;;;;622.296265;832.642517;81.204285
156;;;;620.733643;832.635986;81.403336
157;;;;619.372803;833.197510;81.459198
158;;;;617.964172;833.889404;81.486595
159;;;;616.320740;834.513855;81.462212
160;;;;616.145874;834.226501;81.327698
161;;;;614.453125;835.116028;81.184860
162;;;;613.393311;835.688354;80.828514
163;;;;612.299072;836.140564;80.661934
164;;;;611.203491;836.091797;80.260620
165;;;;610.278870;835.998413;79.823814
166;;;;609.072937;836.358276;79.833885
167;;;;607.351013;836.868713;80.518570
168;;;;606.212097;836.949036;80.661377
169;;;;605.902954;836.962280;80.153557
170;;;;605.225464;837.173706;79.399857
171;;;;604.452393;837.313416;78.756927
172;;;;603.309570;837.542664;78.218529
173;;;;602.320129;837.498779;78.306824
174;;;;601.474121;837.264771;78.434303
175;;;;600.551392;836.977539;78.177650
176;;;;599.512390;837.014343;77.902985
177;;;;598.591064;837.174072;77.817528
178;;;;597.614868;837.008667;78.012741
179;;;;596.661438;836.667725;77.746628
180;;;;595.866211;836.350098;77.574615
181;;;;595.232605;836.226440;77.412155
182;;;;594.732971;836.218872;77.433311
183;;;;594.312378;836.112732;77.467751
184;;;;593.987061;835.987488;77.438354
185;;;;594.338440;835.343079;76.852806
186;;;;594.173706;835.241089;76.521736
187;;;;593.843506;835.158752;76.683685
188;;;;593.422119;835.055298;76.922089
189;;;;593.278381;835.167053;76.439034
190;;;;592.915100;834.891296;76.821014
191;;;;592.733948;834.637207;76.965393
192;;;;592.575073;834.520020;77.057564
193;;;;592.418030;834.326050;77.019211
194;;;;592.361084;834.189270;77.062637
195;;;;592.362427;834.085693;77.047539
196;;;;592.322693;834.062805;77.124962
197;;;;592.306274;834.005371;77.374535
198;;;;592.279541;833.946594;77.197281
199;;;;592.367065;833.851685;77.135498
200;;;;592.443359;833.845032;77.098755
201;;;;592.393433;833.768188;77.137863
202;;;;592.305237;833.766357;77.257011
203;;;;592.286804;833.763916;77.270126
204;;;;592.349487;833.757813;77.243721
205;;;;592.340149;833.675415;77.338699
206;;;;592.292236;833.656006;77.351402
207;;;;592.376587;833.613403;77.363937
208;;;;592.337524;833.640259;77.412369
209;;;;592.193848;833.657593;77.507500
210;;;;592.152222;833.648926;77.556664
211;;;;592.141235;833.724304;77.908073
212;;;;592.065735;833.583313;77.729767
213;;;;592.058472;833.570129;77.666756
214;;;;592.033813;833.545532;77.638428
215;;;;591.858826;833.499207;77.762962
216;;;;591.824585;833.441528;77.767159
217;;;;591.824768;833.347534;77.826653
218;;;;591.776184;833.332642;77.842163
219;;;;591.755554;833.238708;77.880638
220;;;;591.611389;833.143799;77.808037
221;;;;591.562683;833.135742;77.776443
222;;;;591.588074;833.056152;77.837135
223;;;;591.580688;832.934143;77.866936
224;;;;591.342102;832.814392;78.039085
225;;;;591.487305;832.804016;77.931473
226;;;;591.221252;832.715515;77.944336
227;;;;591.327637;832.707153;77.860306
228;;;;591.464966;832.623474;77.824478
229;;;;591.487000;832.609497;77.814529
230;;;;591.416870;832.622375;77.780937
231;;;;591.258423;832.591370;78.040726
232;;;;591.367981;832.609253;77.935532
233;;;;591.481689;832.603577;77.882935
234;;;;591.486145;832.582825;77.892296
235;;;;591.425293;832.643677;77.820930
236;;;;591.479370;832.608459;77.896790
237;;;;591.412170;832.607117;77.881073
238;;;;591.371887;832.598450;77.889847
239;;;;591.371216;832.706787;77.944351
240;;;;591.457520;832.700928;77.906982
241;;;;591.484009;832.724915;77.918877
242;;;;591.404968;832.735962;77.898438
243;;;;591.396301;832.810974;77.898132
244;;;;591.495728;832.822449;77.918182
245;;;;591.487305;832.816406;77.855461
246;;;;591.563904;832.841309;77.826752
247;;;;591.604797;832.937439;77.808479
248;;;;591.385193;832.927979;77.923759
249;;;;591.476685;832.976013;77.898056
250;;;;591.585510;832.957642;77.744148
251;;;;591.623779;833.079590;77.697205
252;;;;591.749817;833.050110;77.716911
253;;;;591.705505;833.043152;77.680840
254;;;;591.695190;833.038635;77.651855
255;;;;591.607361;833.102478;77.657448
256;;;;591.620789;833.094055;77.681442
257;;;;591.729675;833.051880;77.629051
258;;;;591.771729;833.135620;77.592209
259;;;;591.697998;833.183838;77.596794
260;;;;591.751343;833.147400;77.575005
261;;;;591.660156;833.179749;77.563545
262;;;;591.723999;833.077637;77.497078
263;;;;591.736267;833.167847;77.445175
264;;;;591.751282;833.078186;77.402252
265;;;;591.720215;833.073120;77.435440
266;;;;591.705688;833.061035;77.334450
267;;;;591.705444;832.983154;77.265068
268;;;;591.679504;832.972168;77.168945
269;;;;591.771973;833.046936;77.510353
270;;;;591.758728;833.037720;77.636307
271;;;;591.694763;832.880737;77.257530
272;;;;591.665283;832.875244;77.073769
273;;;;591.586182;832.931335;77.064934
274;;;;591.584412;832.839478;77.073677
275;;;;591.464478;832.852661;77.024094
276;;;;591.429138;832.871033;77.055595
277;;;;591.403076;832.766174;77.057716
278;;;;591.694946;832.701477;77.042038
279;;;;591.956909;832.647461;76.754349
280;;;;592.005249;832.647339;76.598114
281;;;;591.642883;832.735657;76.770363
282;;;;591.481445;832.768860;76.925926
283;;;;591.442139;832.652954;76.862328
284;;;;591.448669;832.655151;76.799126
285;;;;591.528015;832.663879;76.711327
286;;;;591.442139;832.617554;76.477600
287;;;;591.428040;832.588257;76.369255
288;;;;591.435547;832.560181;76.314743
289;;;;591.462280;832.555054;76.312874
290;;;;591.480225;832.447510;76.290100
291;;;;591.497925;832.467407;76.280640
292;;;;591.475220;832.429077;76.129044
293;;;;591.551941;832.373779;76.071167
294;;;;591.367676;832.380981;75.930603
295;;;;591.513489;832.364502;76.041336
