PTP254;;;;;;
Date:;2025/04/28;;;;;
Time:;13:54:04;;;;;
Type:;test;;;;;
Description:;"";;;;;
Notes:;"";;;;;
TRAJECTORIES;;;;;;
200.000000;Hz;;;;;
;*1;;;*2;;
Field #;X;Y;Z;X;Y;Z
1;752.536987;672.121155;81.766548;;;
2;750.237061;674.212219;83.890175;;;
3;747.638428;676.656921;85.357117;;;
4;745.289307;679.100464;86.733978;;;
5;742.597168;681.150330;88.624908;;;
6;739.665039;684.162415;90.716248;;;
7;736.122131;686.645081;93.195313;;;
8;732.404541;689.430664;95.424202;;;
9;728.718933;692.096802;98.481850;;;
10;724.555115;695.032837;100.931946;;;
11;720.059082;698.062317;103.921936;;;
12;715.495728;701.184082;106.449036;;;
13;711.051758;704.718079;108.656029;;;
14;706.585754;707.968079;111.079453;;;
15;701.600647;711.565369;113.666878;;;
16;696.257629;715.546387;115.753967;;;
17;691.009644;719.500732;117.882484;;;
18;685.665527;723.299927;120.238350;;;
19;679.878784;727.244751;122.475967;;;
20;673.900940;731.323486;124.399223;;;
21;668.043213;735.428711;125.779190;;;
22;662.051392;739.483948;127.086441;;;
23;656.386047;743.215515;127.903107;;;
24;650.642517;747.057007;129.286484;;;
25;643.956177;750.920227;131.629715;;;
26;637.765137;754.429504;132.735291;;;
27;632.350769;757.618103;132.921783;;;
28;625.736023;761.222229;133.879044;;;
29;619.843018;764.551086;135.112747;;;
30;614.040466;767.626465;135.280762;;;
31;608.054565;770.963379;136.256638;;;
32;602.211853;774.202026;136.709686;;;
33;596.297791;777.442749;137.593948;;;
34;590.410889;780.502869;138.458649;;;
35;583.678589;783.963745;140.092758;;;
36;578.385010;786.952087;140.981949;;;
37;572.929321;790.145996;141.491074;;;
38;566.898499;793.424988;143.225174;;;
39;561.397339;796.303650;144.226746;;;
40;555.543213;799.188904;145.787827;;;
41;550.146667;802.190918;146.921799;;;
42;545.272888;805.052246;147.453308;;;
43;539.726807;808.189270;148.258133;;;
44;535.009399;810.913940;148.520691;;;
45;529.589233;814.161072;148.954849;;;
46;523.869690;817.265991;148.599472;;;
47;519.368835;820.299377;147.859467;;;
48;514.596313;823.841980;146.984406;;;
49;509.069183;827.436890;146.166809;;;
50;504.696442;830.654480;144.613159;;;
51;500.532532;834.091125;142.715714;;;
