Weight72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;13:54:47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
1;791.889221;663.928711;57.479443;703.277588;1038.364746;295.153900;791.145813;780.536621;82.862030;814.969971;685.373474;63.354572;704.780457;975.506042;128.430191;;;;;;;;;;;;;;;
2;797.587219;686.404541;49.575680;702.889832;1039.484131;295.042450;790.582886;781.407104;84.879120;817.007690;665.869751;77.926804;704.629761;977.030334;128.128510;;;;;;;;;;;;;;;
3;;;;702.592651;1040.635742;294.635315;790.079041;782.425354;86.307808;;;;704.210632;978.745911;127.307510;790.836487;665.838013;62.550781;;;;;;;;;;;;
4;;;;702.028137;1041.785522;293.996094;789.443481;783.931152;87.450348;;;;703.972107;979.877014;127.168831;791.157959;667.174744;64.384369;813.478455;688.385803;70.368370;;;;;;;;;
5;;;;701.589905;1042.880859;293.694153;788.718750;785.136597;89.518967;;;;703.658813;981.673889;127.517883;791.017395;668.528809;66.149101;812.629761;689.729126;72.855606;;;;;;;;;
6;;;;701.044739;1044.357666;293.780212;788.438843;786.295288;91.778557;;;;703.237305;983.172607;127.575195;790.147095;669.648499;69.794930;812.417786;690.431641;75.941887;;;;;;;;;
7;;;;700.074036;1045.705444;293.709137;787.788391;787.898926;94.362930;;;;702.457092;985.117554;127.649948;788.755249;670.795593;73.886032;812.445801;691.853210;78.569046;;;;;;;;;
8;;;;699.477844;1047.165405;292.849976;787.528381;789.428833;95.622955;;;;701.926575;986.991028;127.005440;788.503845;671.933716;76.699730;811.701172;693.473755;81.724701;;;;;;;;;
9;;;;698.985840;1048.746582;292.225830;786.776306;791.341553;98.120041;;;;701.539124;989.076172;126.960770;788.578003;673.679565;79.395226;811.379150;694.829163;84.924927;;;;;;;;;
10;;;;698.087097;1050.470947;292.571228;786.589722;792.879456;100.280998;;;;700.981140;990.915894;127.293877;787.320190;675.428833;83.163582;811.010132;696.767212;88.269768;;;;;;;;;
11;;;;697.356201;1052.065674;292.110657;785.822571;794.945801;103.166153;;;;700.259949;992.986389;127.486000;787.082092;677.057556;86.917053;810.519958;698.350525;91.947617;;;;;;;;;
12;;;;696.773682;1053.806763;291.334686;785.421692;797.007568;104.753784;;;;699.286011;995.145630;127.633736;786.549133;678.946716;90.400360;809.862854;700.417114;95.537430;;;;;;;;;
13;;;;696.071167;1055.761841;291.594879;784.619751;799.059692;107.727379;;;;698.528503;997.515137;127.430832;786.009277;680.721680;93.947983;809.870117;702.191284;99.445465;;;;;;;;;
14;;;;695.565857;1057.660034;291.135559;784.647766;801.278076;110.645462;;;;697.596924;999.698792;127.404922;785.456421;682.908875;97.607025;809.253479;704.482056;102.995827;;;;;;;;;
15;;;;694.814392;1059.614746;290.563263;783.826965;803.715454;113.353065;;;;696.774841;1001.766357;127.566399;785.474304;685.007690;101.095329;809.047424;706.337158;107.103516;;;;;;;;;
16;;;;693.997253;1061.706421;290.551666;783.382751;806.094849;115.953957;;;;696.298401;1004.495422;128.049377;785.008484;687.335022;104.790794;808.818848;708.904419;110.917320;;;;;;;;;
17;;;;693.019287;1063.627686;290.430115;783.182861;808.371277;118.489349;;;;695.370117;1007.007751;127.719498;784.405823;689.649048;108.694923;808.490051;711.205505;114.534203;;;;;;;;;
18;;;;692.725464;1065.983765;290.094940;782.415833;811.012085;121.724182;;;;694.468445;1009.320435;127.901009;784.317871;692.144592;112.010330;807.786316;713.876038;118.598190;;;;;;;;;
19;;;;691.441406;1067.916992;289.873596;781.616943;813.631775;123.524063;;;;693.292969;1012.009644;128.327408;784.065857;694.646667;116.197807;807.546753;716.277161;121.525383;;;;;;;;;
20;;;;690.289185;1069.793823;289.518585;780.403259;816.304932;126.279655;;;;692.493774;1014.860413;128.196396;783.418701;697.069031;119.861984;807.002319;718.844727;124.358223;;;;;;;;;
21;;;;689.822998;1071.926636;289.421112;780.182251;818.975952;129.289719;;;;691.689209;1017.209229;128.619537;782.951721;699.827942;123.605301;806.777344;721.687744;128.621841;;;;;;;;;
22;;;;689.068726;1074.056641;289.121490;779.439392;821.550903;131.877258;;;;690.582642;1019.701843;128.994263;782.772766;702.856445;126.965515;805.766357;724.623779;131.836136;;;;;;;;;
23;;;;688.162354;1076.440796;288.922394;778.255859;824.568237;134.158981;;;;689.564270;1022.682007;128.968185;782.298157;705.321350;130.306137;805.708008;727.216309;134.438721;;;;;;;;;
24;;;;687.335083;1078.637817;289.032654;777.576599;827.301636;136.367294;;;;688.380737;1025.473511;129.067444;781.373535;708.074219;133.530182;805.116455;730.114563;138.141495;;;;;;;;;
25;;;;686.874512;1080.843994;289.161926;776.614014;830.177734;139.141083;;;;687.418884;1027.968018;129.501785;780.586060;711.049133;137.126022;804.037720;733.255920;141.226044;;;;;;;;;
26;;;;685.855713;1083.008789;288.800812;776.070190;833.352356;141.290695;;;;686.384827;1030.475220;129.857727;780.096985;713.888611;140.118500;803.602966;736.101624;144.226624;;;;;;;;;
27;;;;684.931519;1084.725586;289.814819;775.231201;836.440125;143.698380;;;;685.113647;1033.616333;130.036163;779.042603;717.007813;143.283417;802.859009;738.949585;147.752228;;;;;;;;;
28;;;;684.307373;1087.265991;288.854034;773.942078;839.452332;145.855087;;;;683.875427;1036.419556;130.491364;778.179749;719.992065;146.505722;801.394409;742.303772;151.113708;;;;;;;;;
29;;;;683.651733;1089.399414;288.891907;772.906433;842.327637;148.738541;;;;682.512390;1038.885376;131.035553;776.997986;723.179382;150.061188;800.048279;745.604614;154.326279;;;;;;;;;
30;;;;682.723450;1091.254150;289.402863;771.278442;845.451721;151.491928;;;;681.377258;1041.739990;131.255264;776.151794;726.140991;152.869888;799.778137;748.335510;156.873383;;;;;;;;;
31;;;;681.849365;1093.146362;290.002655;770.262390;848.759033;153.396439;;;;680.191772;1044.863647;131.043655;775.147217;729.091431;155.645447;798.593811;751.451233;159.750504;;;;;;;;;
32;;;;680.896973;1095.863647;288.879852;769.362244;851.795288;155.488724;;;;679.089844;1047.763672;131.743530;774.315857;732.321655;158.281235;797.038940;754.536255;162.200653;;;;;;;;;
33;;;;679.915283;1097.888916;288.864227;767.865356;855.013489;158.446457;;;;677.701111;1050.512207;132.540115;773.223022;735.640747;161.016068;796.093445;758.072021;164.361450;;;;;;;;;
34;;;;679.109131;1099.971680;289.900543;766.870667;858.228455;159.987488;;;;676.306580;1053.497559;132.891663;771.930603;738.812317;163.810791;794.997681;761.329285;167.320740;;;;;;;;;
35;;;;678.155518;1101.962158;290.757751;765.545593;861.427002;162.485046;;;;675.175537;1056.363159;132.751633;770.678467;741.970276;166.176987;794.030640;764.473267;170.374924;;;;;;;;;
36;;;;677.468384;1104.618652;289.584930;764.129395;864.651794;164.614639;;;;674.117615;1059.322632;133.580750;769.759583;745.073669;168.446182;792.943604;767.163086;172.780182;;;;;;;;;
37;;;;677.296509;1106.800659;289.722198;763.035889;867.637146;166.307465;;;;672.811890;1062.458740;134.404053;768.403503;748.311707;171.221024;791.780334;770.474426;175.080154;;;;;;;;;
38;;;;676.590393;1108.990479;289.868622;761.135620;870.644348;168.436279;;;;671.548462;1065.720581;134.459793;766.898254;751.587280;174.171692;789.993469;774.009338;177.676895;;;;;;;;;
39;;;;676.013245;1111.324463;289.739838;759.851074;873.965820;169.446930;;;;670.395325;1068.769531;134.637726;766.028748;754.335754;175.564911;788.836792;777.437378;179.722824;;;;;;;;;
40;;;;675.649963;1113.510986;290.138550;758.277832;877.185181;170.934189;;;;669.358215;1071.711182;135.458221;764.519348;757.496948;178.068359;787.484314;780.435730;181.656235;;;;;;;;;
41;;;;674.998230;1115.581055;290.731842;756.435852;880.408386;172.766006;;;;668.024353;1074.739746;135.760513;763.164673;760.643311;180.007263;785.560425;783.544617;184.192841;;;;;;;;;
42;;;;674.552917;1117.600098;290.962372;754.731506;883.282227;174.280655;;;;666.945435;1077.869751;136.020309;761.568542;763.769775;182.022217;784.478638;786.808777;185.637131;;;;;;;;;
43;;;;674.003540;1119.738770;291.006165;753.198181;886.517761;175.697403;;;;665.743774;1080.836914;136.202393;760.009583;767.071838;183.949890;782.829102;789.983154;187.588074;;;;;;;;;
44;;;;673.569946;1121.947754;290.899200;751.763000;889.385559;176.816940;;;;664.944702;1083.947632;136.801453;758.350830;769.866882;185.382263;781.082275;792.959717;189.710968;;;;;;;;;
45;;;;673.176208;1124.105591;291.530060;749.744446;892.459717;178.503952;;;;663.744751;1087.157104;137.120392;756.219849;772.950623;187.211533;779.754700;795.660095;191.038406;;;;;;;;;
46;;;;672.566467;1126.073242;291.840759;748.067139;895.323242;179.606201;;;;662.658081;1090.101563;137.551849;754.191895;775.899353;189.429947;777.536255;798.803528;192.511932;;;;;;;;;
47;;;;672.226379;1128.167603;292.123840;746.353088;898.403687;180.880981;;;;661.089966;1093.138428;138.529709;752.347351;778.638000;190.478668;775.415527;801.995544;194.000504;;;;;;;;;
48;;;;671.622803;1129.971680;292.533508;744.950134;901.094971;181.876236;;;;660.027710;1096.073608;139.015778;750.254272;781.684814;191.672119;773.218506;804.713501;195.792740;;;;;;;;;
49;;;;671.450378;1131.922363;292.492096;743.192566;904.253967;182.825058;;;;659.185364;1098.966431;139.552185;747.452332;784.873291;193.501480;771.258118;807.458679;197.224915;;;;;;;;;
50;;;;671.216003;1133.984741;292.351837;741.272583;907.296753;183.481674;;;;658.254639;1101.884888;139.913116;745.414978;787.912903;194.675186;769.619263;810.220520;197.956131;;;;;;;;;
51;;;;671.259399;1135.848755;291.991028;739.332642;910.174988;184.626755;;;;657.221863;1105.039063;140.365402;743.397034;790.562195;195.701584;766.893127;813.138062;199.002975;;;;;;;;;
52;;;;670.977722;1137.916626;293.121429;737.330994;912.757935;185.724060;;;;656.030029;1108.282593;140.811325;741.427917;793.517700;196.642441;764.762207;816.067627;199.630005;;;;;;;;;
53;;;;670.520020;1139.739624;293.674805;735.584351;915.696655;186.201538;;;;655.294434;1111.296265;141.335388;738.757446;796.396851;197.824127;762.514465;818.731506;200.939575;;;;;;;;;
54;;;;670.257996;1141.691162;294.029510;733.443481;918.301758;186.745956;;;;654.516418;1114.044922;142.048752;736.940979;798.888550;198.128983;760.428894;821.107971;201.338486;;;;;;;;;
55;;;;669.751404;1143.506226;293.979126;732.035645;921.224915;186.670853;;;;653.213440;1117.014160;143.076035;734.467712;801.688904;199.007919;758.346863;823.918518;202.326324;;;;;;;;;
56;;;;669.543030;1145.423828;293.996216;729.793884;923.771851;187.898071;;;;652.462830;1120.237671;143.309982;732.351685;804.094055;199.738022;756.642639;826.477722;202.087311;;;;;;;;;
57;;;;669.537476;1147.447754;294.428467;728.066589;926.225281;188.549149;;;;651.659912;1123.249390;143.257156;730.000977;806.828613;200.183228;754.356873;828.977173;202.383255;;;;;;;;;
58;;;;669.246338;1149.303589;294.927338;726.342834;928.988525;188.772446;;;;651.018921;1126.320679;143.679321;728.046936;809.289124;199.999878;751.843140;831.272339;202.508347;;;;;;;;;
59;;;;669.035034;1151.117310;295.298401;723.909485;931.317932;189.097275;;;;649.865662;1129.495361;144.578598;726.004150;811.631165;199.323486;750.002808;833.784241;201.364365;;;;;;;;;
60;;;;668.835083;1152.927612;295.657562;722.344421;933.989441;189.220459;;;;649.077942;1132.330078;145.020630;723.824768;814.238708;199.560181;747.614929;836.241760;201.924225;;;;;;;;;
61;;;;668.510681;1154.779541;295.947723;720.616577;936.414001;189.603363;;;;648.614685;1135.015015;145.323837;721.328003;816.169617;199.095551;745.672424;838.047913;201.930115;;;;;;;;;
62;;;;668.719299;1156.719482;295.908569;718.767212;938.881958;189.506989;;;;648.074585;1137.750610;146.011398;719.216919;818.635681;198.918350;743.395203;840.548218;200.906235;;;;;;;;;
63;;;;668.771606;1158.775879;296.527100;717.280212;940.954224;189.284805;;;;647.339417;1140.611816;146.954300;716.824463;821.101318;198.427719;741.540039;842.424133;200.829803;;;;;;;;;
64;;;;668.487793;1160.507202;296.838226;715.422791;943.364990;189.297684;;;;646.525391;1143.827271;147.104218;714.420898;823.361267;198.000610;738.883362;844.753052;200.876831;;;;;;;;;
65;;;;668.062195;1162.250488;297.340729;713.422913;945.719360;189.235077;;;;646.091248;1146.652954;147.013702;712.026001;825.439819;197.474289;736.633118;846.822876;199.986511;;;;;;;;;
66;;;;667.916626;1164.081665;297.329407;711.351929;947.796448;189.115799;;;;645.610413;1149.291748;147.240921;709.444763;827.711060;196.800964;734.727051;848.900818;199.029724;;;;;;;;;
67;;;;667.709351;1165.952637;297.797394;710.137451;949.842346;188.705460;;;;644.850708;1151.850342;148.321854;706.928711;829.625427;196.242020;731.941589;850.944092;198.380737;;;;;;;;;
68;;;;668.107971;1167.468140;298.089508;708.707947;952.337402;187.529541;;;;644.146790;1154.555176;148.993622;704.549072;832.073364;195.549088;729.757385;852.861511;198.022598;;;;;;;;;
69;;;;668.116760;1169.269653;298.460388;707.048706;954.449341;187.626266;;;;643.659485;1157.248169;149.073532;702.477905;834.110535;194.394989;727.637512;854.914795;196.720932;;;;;;;;;
70;;;;668.072449;1170.912964;298.902008;705.274414;956.550720;187.298630;;;;643.560364;1159.695435;149.768341;700.098083;836.347107;193.166412;725.224915;856.756836;195.694366;;;;;;;;;
71;;;;667.970642;1172.540894;299.219971;703.595154;958.482422;186.814636;;;;643.119080;1162.158813;150.484146;697.312622;838.305115;192.668137;723.079346;859.008972;194.356293;;;;;;;;;
72;;;;667.775574;1174.004639;299.416595;701.905579;960.455627;186.199142;;;;642.716553;1164.933105;150.680206;695.253174;840.438110;191.696335;721.381287;860.593933;193.288391;;;;;;;;;
73;;;;667.896240;1175.602539;299.532440;700.395813;962.417786;185.220428;;;;642.432007;1167.315918;150.516830;693.114319;842.424744;190.216400;718.747803;862.447632;192.098572;;;;;;;;;
74;;;;667.693237;1177.115723;299.730286;699.124573;964.377869;184.254654;;;;641.881348;1169.688354;150.610825;690.839661;844.382874;188.758667;716.387939;864.396545;191.225174;;;;;;;;;
75;;;;667.655029;1178.604614;300.058441;698.052002;966.392334;183.670914;;;;641.454956;1172.231445;151.304291;689.036621;846.162231;187.534668;714.532288;865.927307;190.037796;;;;;;;;;
76;;;;667.624207;1180.100464;300.269745;696.350586;968.272217;182.870651;;;;641.011230;1174.455811;152.200424;687.145508;848.213257;186.101685;712.901550;867.724915;188.651794;;;;;;;;;
77;;;;667.682556;1181.436401;300.579010;695.022766;970.189636;182.546524;;;;641.152832;1176.702148;152.167801;684.979919;849.686951;184.456177;710.812805;869.672546;186.652908;;;;;;;;;
78;;;;667.813293;1182.793701;300.905365;693.722717;971.957336;181.348297;;;;640.950928;1179.182861;152.084793;683.196411;851.744995;182.857727;708.702393;871.101807;185.415054;;;;;;;;;
79;;;;667.968445;1184.137939;301.071442;692.375427;973.726440;180.836380;;;;640.671570;1181.327148;151.950439;681.776306;853.458435;181.254791;707.390015;872.904053;183.543854;;;;;;;;;
80;;;;668.210144;1185.629272;301.364502;691.002197;975.552429;179.717194;;;;640.512329;1183.563965;151.969177;679.921997;855.307312;179.722565;705.793457;874.314880;182.263214;;;;;;;;;
81;;;;668.254028;1186.995728;301.478149;689.708313;977.152771;178.833817;;;;640.252075;1185.565308;152.787155;677.981323;857.147827;178.088837;704.339478;875.761475;180.994812;;;;;;;;;
82;;;;668.121765;1188.251709;301.604797;688.586243;978.503662;178.415146;;;;640.070374;1187.403687;153.471909;676.448914;858.536377;176.547104;702.528137;877.702087;179.096939;;;;;;;;;
83;;;;667.940186;1189.445068;301.937012;687.408997;980.261108;176.980667;;;;640.265625;1189.498779;153.435974;675.095947;860.519043;175.117142;700.593872;879.334045;177.612610;;;;;;;;;
84;;;;668.169617;1190.773193;301.782471;686.534363;981.650085;176.197464;;;;640.237427;1191.308105;153.248169;672.765442;861.997803;173.887497;699.078613;880.624695;176.282654;;;;;;;;;
85;;;;668.250122;1191.938232;302.178345;685.548706;983.178040;175.125290;;;;640.084229;1193.299805;153.128510;671.083191;863.323608;172.190521;697.669983;882.153748;175.161819;;;;;;;;;
86;;;;668.570984;1193.370117;301.861145;684.570923;984.831909;173.949203;;;;639.951294;1194.839844;153.570145;669.537720;865.120728;170.756973;696.437744;883.610901;173.995712;;;;;;;;;
87;;;;668.780090;1194.529297;301.821045;683.856323;985.978943;173.151428;;;;639.857544;1196.413574;154.075012;668.349548;866.608887;169.326797;695.135620;884.630493;172.140228;;;;;;;;;
88;;;;668.880432;1195.694824;302.098572;683.004822;987.393127;171.739471;;;;639.976440;1197.945923;154.440002;667.082275;868.030518;167.635437;693.619873;886.100342;170.067322;;;;;;;;;
89;;;;669.035156;1196.802124;302.537109;682.362671;988.732666;170.729431;;;;640.258423;1199.679199;153.908401;665.718811;869.396912;166.052490;692.490417;887.409790;168.726471;;;;;;;;;
90;;;;669.056641;1197.673706;302.789825;681.772644;989.883484;169.799774;;;;640.625122;1201.347656;153.703156;664.521362;870.664490;164.590271;691.253479;888.675781;166.969650;;;;;;;;;
91;;;;668.977905;1198.493042;303.211304;681.167358;991.031799;168.151489;;;;640.704285;1202.551514;153.704269;663.338623;872.110779;163.225433;690.674561;889.804138;165.135864;;;;;;;;;
92;;;;668.937134;1199.418457;303.573242;680.507446;992.025635;167.577484;;;;640.231018;1204.121338;154.116531;662.208069;873.313477;161.930466;689.697571;891.084961;163.403351;;;;;;;;;
93;;;;669.120728;1200.374634;303.729736;679.952881;993.319824;166.736740;;;;640.276855;1205.412476;154.524963;661.514954;874.364990;160.100189;688.707764;892.268738;161.561234;;;;;;;;;
94;;;;669.288940;1201.200806;303.639862;679.397888;994.583374;165.434875;;;;640.551453;1206.387207;154.551392;660.732544;875.594910;158.581360;687.733887;893.401489;160.196777;;;;;;;;;
95;;;;669.528503;1202.233887;303.473236;679.133179;995.371765;165.207596;;;;640.873901;1207.887329;154.114960;660.077332;876.880615;156.676178;687.002136;894.387817;159.076004;;;;;;;;;
96;;;;669.775146;1203.139038;303.258881;678.412476;996.339844;164.067429;;;;641.224792;1209.213867;153.786850;659.533203;877.884277;155.470840;686.210754;895.220398;157.857849;;;;;;;;;
97;;;;669.848877;1203.912964;303.183197;677.774353;997.596375;162.491211;;;;641.435547;1210.033569;153.483002;658.656982;878.726929;154.059555;685.648193;896.253845;156.700790;;;;;;;;;
98;;;;669.959534;1204.603516;303.194489;677.540833;998.496887;161.781723;;;;641.455383;1211.083862;153.426605;657.842834;879.667542;152.692596;685.401855;897.453735;155.417145;;;;;;;;;
99;;;;669.929688;1205.352173;303.160614;677.432983;999.279480;161.180023;;;;641.543640;1212.353027;153.354904;657.225708;880.769104;151.508224;685.029358;898.122864;153.974655;;;;;;;;;
100;;;;669.880737;1206.151001;303.253174;676.995422;1000.038757;160.089355;;;;641.867310;1213.040894;153.364990;656.509277;881.906677;150.261810;684.325134;898.946777;152.367905;;;;;;;;;
101;;;;670.038513;1206.759155;303.253906;676.702515;1000.828613;159.212357;;;;642.177307;1213.670166;153.133896;656.586365;882.547974;148.907928;683.797119;899.628967;151.283890;;;;;;;;;
102;;;;670.209656;1207.492920;303.014130;676.574097;1001.387878;158.709854;;;;642.549316;1214.601685;152.627838;656.131042;883.116333;147.410797;683.268738;900.193604;150.707748;;;;;;;;;
103;;;;670.425293;1208.097046;302.879791;676.350220;1001.985596;158.275513;;;;642.830811;1215.534668;152.269409;655.607971;883.838013;145.977356;682.592773;900.890808;149.436340;;;;;;;;;
104;;;;670.541748;1208.691650;302.817139;675.881714;1002.827881;157.343643;;;;643.058533;1216.350586;152.310883;655.185913;884.685608;144.954773;682.266785;901.847412;148.307831;;;;;;;;;
105;;;;670.706848;1209.258911;302.810242;675.738892;1003.508911;155.992264;;;;643.156982;1216.936401;152.333832;654.708435;885.426880;143.974274;682.156006;902.595581;146.893951;;;;;;;;;
106;;;;670.806458;1209.817505;302.783905;675.975220;1003.952576;154.654327;;;;643.395020;1217.373657;152.260971;654.448914;886.221985;142.769089;682.044678;903.262451;145.325180;;;;;;;;;
107;;;;670.917969;1210.309937;302.665863;676.138367;1004.459656;153.889374;;;;643.590759;1217.830566;152.067001;654.331055;886.791382;141.456680;681.821106;903.712158;144.315887;;;;;;;;;
