file,task,rmse,mae,max,hausdorff,nrmse_percent,nmae_percent,hausdorff_percent,ref_bbox_diag,scale,rot_deg,tx,ty,n_points
Clustered\AlterOnly\18-20\circle\mean.csv,circle,2.693918034913147,2.264762914491855,8.137521600859655,8.137521600859655,0.8113147731605451,0.6820681202695218,2.4507395570791153,332.0435081465067,1.0366424483474461,-178.45886613582763,676.7761464726301,-30.24460737019537,200
Clustered\AlterOnly\18-20\zigzag\mean.csv,zigzag,128.513821623962,118.17887033811334,264.6637439822727,101.23547633113131,26.01365564744391,23.92166382519585,20.491996793066956,494.02445917511676,1.1019644753989315,-96.25239117134049,617.1461756411771,272.8661070412395,200
Clustered\AlterOnly\21-25\circle\mean.csv,circle,51.65850166820053,48.46360530967999,78.26170962825041,73.37352363809842,15.557750837100354,14.595558750781693,22.09756307168156,332.0435081465067,1.5216864132702859,-155.08728537028125,647.520924675842,-5.64045214894232,200
Clustered\AlterOnly\21-25\zigzag\mean.csv,zigzag,128.12923908306385,117.54247083694528,251.07038167164433,97.40072773782494,25.935808785055702,23.79284439341495,19.715770328549528,494.02445917511676,1.2640752883838886,-86.13079124346125,630.0816856170039,277.1909688830598,200
Clustered\AlterOnly\25-35\circle\mean.csv,circle,55.170307159899764,52.636066770004476,76.97252228409069,76.97252228409069,16.615384974055,15.852159575057854,23.18145676563816,332.0435081465067,1.5036916141391394,177.16605771418187,629.9367083038511,-33.839293069042014,200
Clustered\AlterOnly\25-35\zigzag\mean.csv,zigzag,123.62868465423499,112.89918602491583,252.82906706141978,95.71406254695006,25.024810484213766,22.85295473293489,19.374357032193483,494.02445917511676,1.1047399154439113,-95.44140557770302,625.499772598803,283.67933401404895,200
Clustered\AlterOnly\35+\circle\mean.csv,circle,62.08336190090606,58.09649311133456,92.14229194641604,92.11830532646606,18.69735753831187,17.496650796045916,27.742841846442882,332.0435081465067,1.535922329285005,173.60476427764812,625.4629173570548,-64.66723403268196,200
Clustered\AlterOnly\35+\zigzag\mean.csv,zigzag,112.02858246666293,101.62310545446788,252.5106059926772,93.41301001698086,22.676727920257115,20.57046034201427,18.908579986698346,494.02445917511676,1.176438575322304,-89.17720191393893,616.3688762177284,312.6115105890652,200
Clustered\AlterWithinGender\Männlich_18-20\circle\mean.csv,circle,2.721912907310189,2.226704371293493,9.083169474212134,8.889815721222474,0.8197458587593305,0.6706062057117557,2.6773044806224737,332.0435081465067,1.0338652538699682,-178.0592025060775,675.9891294244702,-30.58899302681592,200
Clustered\AlterWithinGender\Männlich_18-20\zigzag\mean.csv,zigzag,125.14944026924185,115.02770927468002,263.77713275331473,99.17629830280701,25.332640508975317,23.283808552059195,20.075179773164226,494.02445917511676,1.1263375119520407,-97.21743029766968,617.4398103229528,274.4479513963638,200
Clustered\AlterWithinGender\Männlich_21-25\circle\mean.csv,circle,54.36391612423305,50.581358014359274,87.173075791157,79.68874078535114,16.3725279339737,15.233352489469961,23.99948766659527,332.0435081465067,1.5092165039311574,-151.53182825265878,648.6977635447854,-4.4750863179790485,200
