;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;;*23;;;*24;;;*25;;;*26;;;*27;;;*28;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
40;1165.880615;770.758301;481.970154;862.351746;612.733643;137.037521;;;;1118.936890;791.830566;264.734192;;;;919.052795;699.093323;129.849899;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;1164.740356;770.881775;481.051849;860.252686;612.253418;136.461227;;;;1117.597412;791.135925;263.618958;;;;917.542969;698.533630;129.182648;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;1164.134644;771.046570;480.471222;858.570007;611.391663;135.601166;;;;1116.644775;790.636658;262.809021;;;;916.809326;697.932495;128.224060;;;;;;;;;;;;;;;;;;;;;;;;;783.781921;722.589844;120.409637;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;1163.093628;771.162598;479.620178;857.589111;610.735657;134.468018;;;;;;;;;;915.598511;697.457764;127.744644;;;;;;;;;;;;;;;;;;;;;;;;;782.462830;721.688660;120.675705;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;1162.351807;771.203491;478.648956;856.065186;610.156372;132.922607;;;;;;;;;;913.612610;696.797241;127.539505;;;;;;;;;;;;;;;;;;;;;;;;;;;;1113.578247;789.667969;261.429810;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;1161.387939;771.370972;478.102844;854.410461;609.535706;132.395660;;;;;;;;;;912.369690;696.216370;127.343025;;;;;;;;;;;;;;;;;;;;;;;;;;;;1112.485229;789.268799;260.668427;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;1160.320190;771.460205;477.570007;852.714294;608.717590;131.651367;;;;;;;;;;911.389038;695.623596;126.968269;;;;;;;;;;;;;;;;;;;;;;;;;;;;1111.733032;788.920715;259.954010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;1159.254517;771.644165;476.654694;851.200989;608.000732;130.825745;;;;;;;;;;909.827515;694.793579;126.322472;;;;;;;;;;;;;;;;;;;;;;;;;;;;1110.827515;788.541382;259.022827;777.398621;717.669067;119.307945;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;1158.347046;771.827759;475.931427;849.396301;607.424927;129.321213;;;;;;;;;;908.381897;694.363037;126.095261;;;;;;;;;;;;;;;;;;;;;;;;;;;;1109.511475;787.786133;258.378571;775.279236;716.553406;119.299561;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;1157.523682;771.994141;475.638916;848.235474;606.681885;127.885147;;;;;;;;;;907.481628;694.084595;125.821945;;;;;;;;;;;;;;;;;;;;;;;;;;;;1108.409912;787.612854;257.744995;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;1156.366333;772.171143;474.927368;846.773804;606.237854;126.740410;;;;;;;;;;906.183044;693.486938;125.362778;;;;;;;;;;;;;;;;;;;;;;;;;;;;1107.555176;787.117920;256.845001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
