;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;;*23;;;*24;;;*25;;;*26;;;*27;;;*28;;;*29;;;*30;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
14;927.366943;506.257782;129.473495;808.020996;440.527222;109.427078;897.157288;412.189606;88.532799;1017.576172;763.934082;256.671661;;;;1103.492188;817.886780;403.683899;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;926.564697;506.735718;134.076126;806.836731;440.782318;115.451736;896.151611;411.726196;94.428032;1018.348816;765.083557;256.728821;;;;1104.144775;818.242798;403.795227;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;925.510498;507.190796;138.118240;805.424622;441.168060;121.801979;895.152710;411.524780;99.899750;1019.016724;766.399048;256.932129;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;924.614563;508.046509;141.921066;804.243286;441.760925;128.335236;893.916199;411.654419;105.654037;1019.685364;767.819092;257.510406;;;;;;;1104.729370;818.853271;403.906738;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;923.400757;508.934448;146.262192;803.267395;442.569489;134.477631;892.481628;412.039948;111.952980;1020.217163;768.942261;257.811615;;;;;;;1105.622681;819.466187;403.733795;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;922.496521;509.534424;151.082367;802.073181;443.402740;140.656509;891.020142;412.356506;118.157135;1021.090332;770.382935;257.656769;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;921.114990;510.657104;155.334061;800.618958;444.357544;147.283249;889.792908;412.719604;124.183250;1021.592224;772.010193;257.630554;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;920.108704;511.633728;159.639771;799.267456;445.293976;153.839111;888.083923;413.411072;129.944748;1021.713196;773.248352;257.968201;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;918.747009;512.911682;164.123978;798.031433;446.447815;160.011093;886.609619;414.402374;136.589264;1022.743042;774.828064;257.720062;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;917.415344;514.538879;168.217087;796.734009;448.145325;166.064056;885.093689;415.460052;142.722275;1023.886414;776.258850;257.474609;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
