Grasp14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;13:41:01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;;*23;;;*24;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
10;929.126953;890.172363;66.188568;789.116333;874.803101;34.926041;1046.084351;997.734802;310.429779;1009.927429;930.673523;470.836365;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;929.152100;890.076904;66.246490;789.115479;874.802795;34.926907;1046.049072;997.736938;310.447754;1009.942932;930.607849;470.902924;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;929.103577;890.147156;66.228783;789.098877;874.795898;34.935577;1046.013306;997.749146;310.477081;1009.932617;930.596313;470.923889;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;929.084412;890.187622;66.183266;789.110046;874.800842;34.931240;1045.970459;997.745911;310.545654;1009.931763;930.526306;470.951111;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;929.100403;890.149841;66.272820;789.117371;874.803223;34.924999;1046.023682;997.745789;310.620361;1009.891113;930.502747;470.949127;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;929.138489;890.156860;66.249229;789.128601;874.799255;34.902725;1045.882568;997.736633;310.603485;1009.981201;930.429749;470.994781;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;929.158813;890.132874;66.301056;789.123596;874.802734;34.915222;1045.874390;997.634521;310.601593;1009.952515;930.393066;471.049805;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;929.061157;890.177612;66.307487;789.099548;874.796326;34.935230;1045.878052;997.610535;310.625488;1009.955261;930.370178;470.999603;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;929.018372;890.197449;66.325134;789.149475;874.800598;35.016426;1045.843872;997.671387;310.610748;1009.927673;930.293762;470.939392;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;929.007141;890.254028;66.418770;789.117126;874.801208;34.950855;1045.917114;997.610046;310.675446;1009.962524;930.257507;470.978638;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;928.995789;890.296509;66.366898;789.139099;874.881409;35.016193;1045.893433;997.644958;310.692383;1009.981201;930.280701;471.012115;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;929.021729;890.308533;66.337975;789.154785;874.904297;35.034748;1045.834351;997.621216;310.769226;1009.941223;930.189270;471.012909;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;929.036560;890.379883;66.665283;788.946838;874.882080;35.267826;1045.867554;997.579590;310.816620;1010.040466;930.051270;471.023346;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;928.963013;890.318542;66.495285;788.825012;874.864319;35.407322;1045.836060;997.575806;310.811188;1010.034424;930.018250;471.029358;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;928.936218;890.402649;66.403061;789.049927;874.882568;35.155064;1045.845459;997.555298;310.842163;1009.999268;930.016174;471.074341;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;928.971802;890.419861;66.416374;789.184937;874.900330;34.994400;1045.839233;997.454651;310.851563;1010.069580;929.935974;471.030701;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;928.958740;890.507568;66.784485;789.250061;875.009644;34.949448;1045.836792;997.438721;310.848877;1010.096008;929.908997;471.033234;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;929.002136;890.525818;66.871101;789.192566;875.010864;34.992359;1045.908203;997.429016;310.895477;1010.196777;929.822693;471.022705;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;929.018250;890.613525;66.876427;789.172180;875.002747;35.021084;1045.928467;997.378235;310.893219;1010.245544;929.786621;471.028412;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;929.066040;890.630615;66.895699;789.208435;874.929321;34.996964;1045.907593;997.384094;310.878784;1010.213196;929.799683;471.044708;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;929.091492;890.612854;66.859703;789.277710;874.990417;35.025257;1045.949463;997.386108;310.925385;1010.302856;929.782715;471.086639;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;929.082947;890.617798;66.881065;789.311707;874.981140;35.124397;1046.061279;997.324463;310.908691;1010.331665;929.682251;471.090912;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;929.070618;890.619873;66.897987;789.258057;874.996338;35.135918;1046.125854;997.300598;310.886658;1010.410217;929.651062;471.128876;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
