Grasp124;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;15:38:55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
25;895.201904;614.117249;211.141205;1100.278198;824.056458;469.423981;792.979248;529.341675;180.035919;;;;854.143799;535.591125;150.450760;1033.488037;849.614197;295.831116;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;893.824280;616.268005;212.522110;1100.448608;824.492371;469.702972;790.752258;533.240662;180.323395;;;;852.521423;538.066589;150.900208;1034.140503;850.894714;296.688538;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;892.731140;618.826172;213.381271;1100.610229;824.899780;470.031342;788.234985;536.676392;180.456390;;;;851.458618;540.375488;151.391098;1035.308838;852.481201;297.002289;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;891.400879;621.311707;214.229446;1101.013062;825.373474;470.427277;786.162048;540.553528;180.307602;;;;850.041199;543.038025;152.691116;1036.327026;853.836060;297.190399;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;890.355957;623.675110;214.956100;1101.499146;825.705566;470.921051;784.490295;544.359619;180.002502;;;;849.662476;546.280579;152.098358;1036.873047;855.359497;298.092102;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;889.407410;626.144836;215.060989;1101.862183;826.096130;471.376282;782.275940;548.025879;179.121109;;;;848.473816;549.256104;151.205002;1038.018677;856.723633;298.850861;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;888.296265;628.290527;215.442825;1102.328979;826.392090;471.808868;780.524963;551.581543;178.504593;;;;847.755249;552.140137;151.321503;1038.907104;857.974304;298.993805;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;887.167725;630.680481;216.075974;1102.593628;826.753357;472.238739;778.806580;555.157471;177.771637;;;;846.969604;555.325623;151.411713;1039.389648;859.309875;299.442810;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;885.948608;633.168518;216.186920;1102.788330;827.061340;472.369293;777.201843;558.692993;177.290695;;;;846.425537;557.340454;151.180405;1039.889282;860.720337;300.630432;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;885.123413;635.502930;215.830444;1103.037720;827.413879;472.529144;775.579712;561.983276;176.314835;;;;846.479980;559.354248;150.997375;1040.390991;861.858459;301.306824;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;884.457825;638.148560;215.319244;1103.037231;827.787109;472.894257;774.216980;565.304016;175.238297;;;;845.941284;561.577637;150.252625;1041.435669;863.067932;301.576782;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;883.980774;640.355896;214.800552;1103.390869;828.076294;473.209961;772.991272;568.567078;174.211655;;;;845.336060;564.137695;149.965607;1042.095337;864.072693;301.841888;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;883.310791;642.696472;214.073685;1103.798462;828.429260;473.664642;771.514832;571.908875;172.796799;;;;845.141541;566.669189;149.839066;1042.003052;865.240784;302.332306;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;882.607666;645.105774;213.533554;1104.003052;828.820923;474.121857;770.627014;575.075378;171.672668;;;;844.682434;568.393799;149.676208;1042.621460;866.512512;302.981506;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;882.126404;646.996277;213.190201;1104.193237;829.044617;474.456177;769.547607;577.973389;169.827194;;;;844.350830;570.638916;149.334351;1043.446533;867.690002;303.740570;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;881.656006;649.004517;212.439316;1104.333862;829.225708;474.834290;768.802185;580.613159;168.192169;;;;844.066345;572.553528;148.420807;1044.161011;868.326477;303.903381;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;880.952454;650.987244;211.331360;1104.356689;829.431152;475.000366;767.978088;583.672913;166.051514;;;;844.138062;574.753540;147.258469;1044.263184;869.293823;304.103088;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;880.895874;652.813416;210.040756;1104.213257;829.830200;475.256042;767.710449;586.494446;164.237701;;;;843.765259;576.968750;146.012009;1044.142944;870.362610;304.429596;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;880.834290;654.763611;207.967468;1104.419312;830.061401;475.586761;767.217224;588.811157;162.296677;;;;843.546326;578.852478;144.711380;1044.206665;871.220886;304.642395;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;880.597717;656.543945;206.482803;1104.427246;830.268677;475.719940;766.828064;591.122986;159.909653;;;;844.073547;580.678467;142.643600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;880.364868;658.432312;204.909821;1104.371826;830.499329;475.940582;766.614319;593.458740;157.199677;;;;844.536377;582.855408;140.234833;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;880.174133;660.267273;203.330597;1104.237305;830.741150;476.072845;766.669800;595.622253;154.920441;;;;844.721863;584.469299;138.127823;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;880.075562;661.847473;201.895935;1104.133667;831.075684;476.260498;766.493164;597.815430;152.828003;;;;844.866089;586.426636;136.442322;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;880.160278;662.910095;199.903732;1103.814575;831.322632;476.469360;766.208496;599.329712;150.127151;;;;844.970337;587.827637;134.309418;;;;1045.103638;874.768372;305.134796;;;;;;;;;;;;;;;;;;;;;;;;
49;879.946411;663.882507;198.200211;1103.666260;831.549194;476.452209;766.156738;601.310181;147.472977;;;;845.545532;589.192810;131.809372;;;;1045.180542;875.190063;305.113251;;;;;;;;;;;;;;;;;;;;;;;;
50;879.762939;665.373413;196.428024;1103.554321;831.802551;476.446228;766.504578;603.173889;144.795654;;;;846.158203;591.012024;129.342453;;;;1045.220825;875.562439;305.074097;;;;;;;;;;;;;;;;;;;;;;;;
51;879.607605;666.571594;194.610260;1103.335815;832.082642;476.474854;766.495056;604.739380;141.854095;;;;846.723450;592.012207;127.098717;;;;1045.020508;876.159973;304.917358;;;;;;;;;;;;;;;;;;;;;;;;
52;879.710144;668.016785;191.793137;1103.089111;832.230103;476.439056;766.666443;606.217102;139.405579;;;;847.244141;592.386902;125.171234;;;;1044.540161;876.787048;304.819580;;;;;;;;;;;;;;;;;;;;;;;;
53;879.858948;669.389954;189.521637;1102.739502;832.361145;476.291260;766.998840;607.533936;136.259048;;;;847.690796;593.842224;122.923607;;;;1044.238159;877.303589;304.757843;;;;;;;;;;;;;;;;;;;;;;;;
54;879.842957;670.462341;187.750229;1102.393677;832.484924;476.109680;767.311829;609.286682;133.729950;;;;847.951965;595.579346;120.327919;;;;1043.968628;877.762146;304.504456;;;;;;;;;;;;;;;;;;;;;;;;
55;879.728699;671.254944;185.742065;1101.896729;832.625061;475.935425;767.535034;610.800720;130.812714;;;;847.701294;596.985474;117.806755;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;879.962402;672.150146;183.419678;1101.389771;832.738342;475.773346;767.943726;611.721924;128.127136;;;;847.508972;598.785828;115.442467;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;879.569824;672.958069;182.173981;1100.833374;832.901672;475.574371;768.395935;612.064453;127.413406;;;;847.471680;600.960388;111.794083;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;879.676575;673.913574;179.762436;1100.527954;832.949829;475.436157;768.696228;611.749329;127.768875;;;;847.772400;601.634644;109.976807;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;879.429321;674.385864;178.030182;1099.868896;833.129150;475.295044;768.747009;611.840149;127.933853;;;;847.454224;602.408020;108.498886;;;;;;;1042.309082;878.998291;302.488251;;;;;;;;;;;;;;;;;;;;;
60;879.297485;674.871338;177.162384;1099.281128;833.290527;475.358612;768.832886;612.341614;127.709953;;;;846.846497;604.268311;105.505951;;;;;;;1042.204102;878.971802;302.123962;;;;;;;;;;;;;;;;;;;;;
61;879.431641;675.894043;175.167160;1098.753906;833.356628;475.337677;768.977905;612.842834;127.436714;;;;845.904724;605.840088;103.301697;;;;;;;1041.874756;879.166748;301.647400;;;;;;;;;;;;;;;;;;;;;
62;879.300537;676.414734;173.666870;1097.954346;833.414551;475.070099;769.116943;613.337219;127.294693;;;;845.227478;606.631165;101.976044;;;;;;;1041.153809;879.307678;301.300446;;;;;;;;;;;;;;;;;;;;;
63;879.152954;676.930481;172.435822;1097.399536;833.430725;474.805145;769.290894;613.923279;127.017197;;;;843.006409;607.238220;100.941269;;;;;;;1040.368408;879.339294;301.036530;;;;;;;;;;;;;;;;;;;;;
64;879.235229;677.524536;170.761642;1096.774658;833.491394;474.535522;769.454651;614.457397;126.676514;;;;840.831909;608.142212;99.784691;;;;;;;1039.859009;879.344910;300.871490;;;;;;;;;;;;;;;;;;;;;
65;879.304810;677.798523;170.175125;1096.370728;833.439026;474.235931;769.616150;614.845276;126.441406;;;;838.743469;610.164673;98.796280;;;;;;;1039.173096;879.447754;300.737823;;;;;;;;;;;;;;;;;;;;;
66;879.314758;677.840393;169.292862;1096.223145;833.385071;473.982880;769.855164;615.066101;126.295845;;;;837.224121;610.325562;99.527130;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
67;879.168884;678.055664;168.449875;1095.845825;833.437805;473.821625;770.101379;615.325623;126.062263;;;;834.682861;610.874329;98.879593;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
68;878.612366;678.645630;167.492310;1095.323242;833.455933;473.778351;770.321899;615.555176;125.841087;;;;832.186951;612.274353;97.719902;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69;877.927612;679.149719;167.011230;1094.481567;833.426331;473.609131;770.345764;615.790955;125.609009;;;;831.294739;613.639099;96.954239;;;;;;;;;;1036.911011;879.354675;299.504669;;;;;;;;;;;;;;;;;;
70;877.628296;679.437012;166.626083;1093.550659;833.465698;473.167358;770.307739;615.979614;125.506020;;;;831.619446;613.792053;96.639290;;;;;;;;;;1036.970337;879.071838;298.882477;;;;;;;;;;;;;;;;;;
71;876.874329;679.643738;167.000092;1092.909180;833.468750;472.836182;770.052551;616.131226;125.259209;;;;831.969482;612.885071;96.810173;;;;;;;;;;1036.700317;879.094299;298.581665;;;;;;;;;;;;;;;;;;
72;875.757202;679.651794;167.340744;1092.202026;833.519836;472.529877;769.657837;616.334045;124.998138;;;;831.895874;612.334656;97.199554;;;;;;;;;;1036.237305;879.213806;298.593475;;;;;;;;;;;;;;;;;;
73;874.779968;679.643738;167.622894;1091.831177;833.560364;472.259338;769.202026;616.594666;124.889900;;;;831.514832;612.389526;97.576752;;;;;;;;;;1035.678833;879.320496;298.630798;;;;;;;;;;;;;;;;;;
