;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;;*23;;;*24;;;*25;;;*26;;;*27;;;*28;;;*29;;;*30;;;*31;;;*32;;;*33;;;*34;;;*35;;;*36;;;*37;;;*38;;;*39;;;*40;;;*41;;;*42;;;*43;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
23;925.938721;513.332153;66.700737;881.798157;434.134003;31.436335;992.541626;745.195679;253.905029;795.981995;492.169037;30.315599;1065.954468;814.863586;401.078247;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;925.918518;513.318848;66.715813;881.792236;434.206329;31.334875;992.629456;745.272644;253.906677;796.034668;492.148376;30.261543;1066.028442;814.946045;401.183685;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;925.898193;513.297668;66.711777;881.866028;434.273163;31.357435;992.627197;745.364624;253.964798;796.023743;492.069305;30.292967;1066.104980;814.949036;401.219025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;925.905273;513.332031;66.670670;881.885559;434.343597;31.339785;992.698547;745.473999;253.980118;796.030090;492.053680;30.230074;1066.147827;815.046143;401.058502;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;925.890381;513.323303;66.749123;881.884827;434.356750;31.328484;992.818665;745.573486;254.054825;796.034912;492.047485;30.251799;1066.313110;815.089722;401.103882;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;925.795715;513.334351;66.800392;881.869324;434.340790;31.340342;992.913940;745.663574;254.057465;796.001831;491.959747;30.217142;1066.367065;815.146667;401.131805;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;925.724426;513.343994;66.832207;881.929260;434.345825;31.405661;993.076233;745.763794;254.013687;796.075500;491.924011;30.187927;1066.542114;815.192383;401.117737;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;925.807861;513.346985;66.900841;881.962646;434.386993;31.373032;993.139343;745.972046;253.946640;796.058899;491.920288;30.184343;1066.805176;815.372620;401.457977;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;925.790222;513.371460;66.913872;881.848572;434.449982;31.353884;993.230286;746.114502;253.900177;796.041443;491.922791;30.195789;1066.887695;815.346130;401.091370;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;925.869568;513.500488;66.732811;882.006958;434.542542;31.300064;993.351501;746.197388;253.846634;796.073975;491.942200;30.227545;1067.105835;815.349304;400.873871;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;925.918945;513.523254;66.823151;881.943604;434.538635;31.238859;993.571350;746.298340;253.878815;796.028503;491.840363;30.222691;1067.385498;815.476013;400.850403;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;925.925781;513.629395;66.905777;881.946472;434.591949;31.266138;993.682373;746.413574;253.845825;796.001343;491.820099;30.189049;1067.559570;815.647949;400.692352;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;925.880798;513.612854;67.037453;881.945496;434.556519;31.336260;993.803528;746.631348;253.756943;796.007507;491.833344;30.254412;1067.445313;815.826782;400.667511;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;925.802185;513.592651;67.207703;881.906677;434.640717;31.331419;993.969116;746.782166;253.681595;796.021667;491.842896;30.328119;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;925.746704;513.696228;67.459908;881.858704;434.748718;31.353296;994.151245;747.010071;253.566422;795.999023;491.836426;30.294483;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;925.763611;513.815796;67.683655;881.854187;434.776978;31.413321;994.325867;747.355286;253.548019;795.963501;491.827515;30.213579;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;925.742737;513.945618;67.908264;881.809753;434.853424;31.386139;994.597534;747.743591;253.333267;795.988708;491.833527;30.263956;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;925.609192;514.205566;68.550705;881.821045;435.008118;31.335096;994.979797;748.255981;253.073700;795.996948;491.827667;30.303787;;;;1068.317139;816.772583;400.605804;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;925.443237;514.358948;69.155823;881.744995;435.023468;31.397139;995.556702;749.101501;252.343994;795.939209;491.848633;30.372931;;;;1068.729614;816.990784;400.625275;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;925.193481;514.518982;69.662086;881.759949;435.149261;31.459204;995.922668;749.819519;252.234024;795.869568;491.861176;30.428951;;;;1069.057373;817.091431;400.663208;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;924.872131;514.729065;70.246765;881.804688;435.276855;31.504042;996.120361;750.432495;252.093414;795.762512;491.795410;30.615499;;;;1069.812256;817.157043;400.289490;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;924.502625;514.966003;70.860992;881.753662;435.441650;31.695732;996.471924;751.020813;251.581497;795.566711;491.691498;30.946733;;;;1070.595337;817.444885;399.913422;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;924.165833;515.282959;71.408905;881.666321;435.607513;32.004978;996.893616;751.803467;251.187531;795.540039;491.604523;31.215456;;;;1071.375366;817.825134;399.607788;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;924.056885;515.976074;72.378349;881.649963;435.707092;32.390598;997.318176;752.982788;250.950104;795.518066;491.458099;32.173721;;;;1072.145752;818.251892;399.321655;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
