Grasp12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;13:17:38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
18;951.986572;820.310669;101.463478;896.249634;730.812927;89.070061;1216.144165;928.752747;231.448227;1181.641113;896.845764;397.737732;816.912720;801.416931;87.792122;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;950.906372;818.565002;102.000237;896.203735;728.489624;89.629860;1214.987915;928.124695;231.019257;1180.635498;896.420044;397.679199;815.554016;799.419678;88.628212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;949.799377;816.832092;102.349983;896.075012;725.969116;90.999405;1213.649292;927.654480;230.615646;1179.480713;896.191345;397.175323;814.441895;797.377075;90.426910;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;948.262878;815.202332;102.873734;895.278503;724.063782;92.148933;1212.300049;927.099365;230.527191;1178.328247;895.938538;396.997467;812.829163;795.304199;91.719109;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;946.663147;813.095947;103.662514;894.327209;721.605591;93.256401;1211.022339;926.380798;230.540237;1177.563354;895.690308;396.879333;811.953369;793.541260;92.713737;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;945.754395;811.283142;104.330696;894.069702;719.190735;94.526360;1209.743164;925.776550;229.821518;1176.736816;895.471802;396.829163;810.636353;791.473022;94.102852;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;944.656372;809.256653;104.682716;893.391357;716.990845;95.548134;1208.290039;925.314819;229.353119;1175.535522;894.811829;396.567932;809.549438;789.741333;95.163940;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;943.396851;807.476624;105.063522;892.318604;714.882568;96.382965;1206.868652;924.703003;229.267593;1174.331665;894.211304;396.051270;808.054077;788.031799;96.631310;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;942.137512;805.529236;105.430977;891.348328;712.820679;97.615227;1205.074341;923.721924;228.947327;1173.579590;893.778259;395.745911;806.351501;786.198792;98.478325;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;940.897095;803.462830;106.146919;890.755371;710.526001;98.509476;1203.798218;923.098206;228.167740;1172.866699;893.151489;395.789856;804.747009;784.628479;99.924278;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;939.406616;801.436829;106.628639;889.860291;708.425842;99.499908;1202.240112;922.626709;227.306595;1171.681885;892.658142;395.648163;803.234741;782.865967;101.274704;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;938.160339;799.637573;107.290443;888.739502;705.802124;100.636292;1200.608521;921.935913;226.998703;1169.919678;892.382996;395.107391;801.967285;781.126038;102.616798;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;936.362061;797.669556;107.609802;887.911377;703.988098;100.957993;1198.949341;920.893555;226.729034;1168.628540;892.143311;394.919464;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;935.055298;795.948120;107.639938;887.519592;701.112854;102.303482;1197.519775;920.008484;226.228485;1167.864258;891.568054;394.427460;;;;799.572754;777.612671;103.704247;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;933.779419;793.852112;107.903198;886.757446;698.952637;103.250473;1196.194092;919.152771;225.844986;;;;;;;797.923157;775.447266;105.116188;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;932.845154;791.665527;108.008797;885.962280;696.979431;103.791054;1194.587891;918.584656;225.553680;;;;;;;796.758423;773.814941;106.202171;1165.709229;890.665771;393.203400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;931.132019;789.538574;108.805397;885.216675;694.780273;104.862694;1192.546387;917.629211;225.335846;;;;;;;795.121277;771.763367;107.072777;1163.906494;890.153687;393.506714;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;929.647827;787.905701;109.397545;883.833069;692.875366;105.572891;1191.351929;916.776978;225.127747;;;;;;;793.782349;770.309204;107.855179;1162.463135;889.519836;393.505371;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
