;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;;*23;;;*24;;;*25;;;*26;;;*27;;;*28;;;*29;;;*30;;;*31;;;*32;;;*33;;;*34;;;*35;;;*36;;;*37;;;*38;;;*39;;;*40;;;*41;;;*42;;;*43;;;*44;;;*45;;;*46;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
10;881.405579;432.671417;32.135914;923.276001;518.107361;57.783985;812.032898;444.624939;30.608183;1050.089600;650.378357;386.135773;1018.490051;673.339600;239.221603;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;881.564392;432.600250;31.786938;923.237976;518.107056;57.834137;811.983765;444.665802;30.572594;1049.851685;650.184082;386.468781;1018.568420;673.331726;239.202225;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;881.656799;432.630707;31.655571;923.244995;518.112427;57.839420;812.033325;444.645447;30.645010;1050.098755;650.403931;386.182587;1018.615723;673.338928;239.246307;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;881.639221;432.663300;31.638649;923.238220;518.097595;57.814758;812.012695;444.655273;30.602213;1049.859863;650.223450;386.498077;1018.634949;673.250854;239.239914;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;881.631409;432.673218;31.751259;923.237366;518.103027;57.830898;812.010315;444.663208;30.580025;1049.652954;650.163147;386.593048;1018.588806;673.227905;239.186127;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;881.756653;432.626068;31.926544;923.234436;518.105347;57.840698;812.012634;444.664154;30.578642;1049.855347;650.110413;386.669312;1018.677673;673.230286;239.173309;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;881.693237;432.644623;31.821535;923.252625;518.113647;57.830757;812.012390;444.662994;30.581650;1049.856689;650.168762;386.602753;1018.689880;673.225342;239.201584;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;881.641724;432.648926;31.732712;923.261353;518.116760;57.822006;812.040527;444.639465;30.649405;1050.271118;650.394592;386.153076;1018.569031;673.257141;239.242661;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;881.613464;432.652344;31.665003;923.242493;518.108032;57.831650;812.039917;444.631226;30.669205;1050.109375;650.231445;386.346649;1018.675659;673.239258;239.256348;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;881.638123;432.656036;31.712580;923.232605;518.104065;57.840748;811.981873;444.662048;30.591986;1049.931396;650.200989;386.544678;1018.786438;673.223022;239.245560;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;881.645325;432.645020;31.740156;923.231873;518.103943;57.842411;812.033081;444.644165;30.642256;1049.889893;650.188232;386.557648;1018.808594;673.221619;239.233200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;881.530273;432.643738;32.091652;923.252991;518.113281;57.829659;812.087219;444.638031;30.644634;1050.022705;650.148621;386.537170;1018.723328;673.246582;239.250702;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;881.449890;432.623596;32.211369;923.242920;518.108398;57.831989;812.028625;444.642151;30.645555;1050.107056;650.157043;386.485321;1018.733032;673.251404;239.315384;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;881.445740;432.623108;32.195187;923.234680;518.104919;57.838673;812.005249;444.642792;30.655563;1050.155273;650.166931;386.488068;1018.744751;673.250854;239.326538;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;881.604065;432.604187;31.824413;923.232788;518.104309;57.841267;812.020935;444.669464;30.570503;1050.153320;650.133606;386.489624;1018.910522;673.214539;239.269226;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;881.691284;432.694305;31.705729;923.252930;518.113281;57.829639;812.024536;444.652863;30.622971;1050.221069;650.149109;386.470398;1018.801331;673.239685;239.188675;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;881.666321;432.686523;31.696556;923.259705;518.095520;57.788960;812.056091;444.645660;30.637329;1050.242310;650.176758;386.436188;1018.437256;673.443359;239.531921;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;881.784241;432.606476;31.840296;923.246094;518.103699;57.820602;812.046509;444.635681;30.656660;1050.317505;650.175537;386.466278;1018.403809;673.488892;239.682770;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;881.673523;432.599304;31.785423;923.233398;518.105652;57.841892;811.982361;444.662689;30.589815;1050.415161;650.163635;386.385773;1018.400146;673.465881;239.584305;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;881.631531;432.631653;31.742168;923.247681;518.091919;57.801594;812.005920;444.650452;30.636709;1050.479858;650.166931;386.394287;1018.389526;673.483704;239.604538;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;881.612122;432.650665;31.674423;923.244446;518.103394;57.823376;812.036804;444.634430;30.665411;1050.456421;650.161255;386.437561;1018.404480;673.396362;239.606262;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;881.596680;432.668060;32.141186;923.254700;518.114868;57.828888;811.985474;444.661591;30.591192;1050.513428;650.189209;386.377228;1018.545898;673.399536;239.651932;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;881.658875;432.593353;31.826435;923.240234;518.108398;57.835861;812.034302;444.643677;30.642109;1050.609009;650.185791;386.294708;1018.614929;673.463074;239.548782;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;881.647278;432.642120;31.742262;923.232910;518.104431;57.840824;812.062500;444.644348;30.637218;1050.629883;650.196350;386.306396;1018.659241;673.431274;239.586990;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;881.619812;432.659882;31.663809;923.232605;518.104126;57.841431;812.022644;444.643768;30.645845;1050.692383;650.184143;386.355652;1018.639954;673.320801;239.511536;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;881.597107;432.671051;32.136971;923.234070;518.104736;57.840164;811.970154;444.658112;30.670025;1050.710693;650.163025;386.295410;1018.633789;673.316101;239.481857;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
