Grasp24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;14:06:46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
20;913.260986;811.678833;61.643837;1085.520630;893.490906;189.979019;775.093018;803.551758;33.609600;1169.661621;835.188354;451.635834;837.820496;750.331726;32.754871;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;913.282104;811.654724;61.674549;1085.523560;893.492004;189.960541;775.059937;803.542419;33.645519;1169.680664;835.147278;451.559692;837.972717;749.898376;32.902912;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;913.245789;811.792175;61.590714;1085.543335;893.493408;189.970856;775.086975;803.542236;33.693470;1169.644897;835.163879;451.571533;837.998718;749.874207;33.011349;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;913.312500;811.716614;61.622410;1085.567627;893.485046;189.976532;775.006714;803.595764;33.640961;1169.594360;835.182800;451.607208;837.959839;749.885437;32.963108;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;913.310181;811.714478;61.568550;1085.571045;893.483459;189.976776;775.031982;803.552307;33.657772;1169.672729;835.188110;451.561127;837.955383;749.898743;32.918983;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;913.296875;811.674194;61.639198;1085.548950;893.492249;189.975021;775.091736;803.539673;33.690231;1169.722778;835.163452;451.524902;837.975830;749.955017;32.981697;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;913.257324;811.663879;61.648884;1085.563599;893.485718;189.975494;775.141541;803.524414;33.689949;1169.709717;835.104553;451.516541;837.958313;749.909851;32.930187;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;913.252441;811.804504;61.578743;1085.515381;893.501648;189.961273;775.155518;803.559753;33.708797;1169.710815;835.183044;451.552979;838.043335;749.964478;32.948765;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;913.294006;811.697205;61.602757;1085.556763;893.487305;189.972275;775.201294;803.527832;33.710320;1169.769775;835.135986;451.503693;838.005249;749.969055;32.986691;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;913.334290;811.720642;61.511894;1085.648193;893.474670;189.925537;775.161133;803.497803;33.652802;1169.812988;835.063843;451.463806;838.009460;749.920288;33.072575;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;913.329407;811.746643;61.422638;1085.652832;893.483154;189.945755;775.092590;803.559387;33.677223;1169.812134;835.094360;451.463501;838.035034;749.884216;33.038280;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;913.364319;811.738342;61.447464;1085.696045;893.417664;189.944077;775.136536;803.528198;33.689190;1169.760864;835.144165;451.519348;838.035645;749.858459;32.978497;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;913.374146;811.687622;61.571983;1085.709106;893.502991;189.947479;775.159119;803.515442;33.678207;1169.859253;835.106323;451.423004;838.083496;749.887756;32.978573;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;913.361450;811.716797;61.523842;1085.706543;893.523254;189.947998;775.196106;803.503723;33.739048;1169.857666;835.118042;451.429932;838.076538;749.899719;32.992004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;913.365051;811.745483;61.519684;1085.771362;893.482910;189.983368;775.085754;803.549988;33.741104;1169.847534;835.122803;451.438782;838.032959;749.906372;33.049835;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;913.366028;811.748108;61.523983;1085.741821;893.486023;189.925797;775.126221;803.525208;33.699814;1169.849731;835.085510;451.437500;838.056763;749.896484;33.028942;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;913.338379;811.759033;61.547707;1085.768311;893.521667;189.977615;775.233948;803.538452;33.681068;1169.881470;835.091919;451.347534;838.058411;749.905457;33.052689;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;913.311707;811.837708;61.595581;1085.747559;893.505249;189.833786;775.137939;803.647400;33.676086;1169.902344;835.079651;451.278992;838.052673;749.896973;33.023285;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;913.306091;811.854797;61.603291;1085.739624;893.500000;189.794998;775.122192;803.561951;33.726715;1169.858765;835.214050;451.336212;838.008301;749.877258;33.030602;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
