Grasp117;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;14:02:10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
37;934.141968;822.489258;79.764442;1171.804688;821.050964;451.933868;1117.124878;902.407776;256.493805;802.280701;837.583618;36.428616;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;933.425964;821.626221;81.498802;1171.861938;821.110291;451.877533;1117.547119;902.344727;256.702942;802.414246;836.749634;36.123062;;;;852.554382;784.819214;34.693966;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;932.688293;821.015625;82.639244;1171.806519;821.100769;451.716034;1118.020996;902.380737;256.815521;802.088318;835.497498;36.389973;;;;851.713501;784.719299;33.488174;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;931.462463;820.489807;84.090393;1171.876831;821.036499;451.660400;1118.676392;902.239075;256.755829;801.451233;833.832336;37.718323;;;;851.460388;784.766785;33.019894;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;930.304932;819.517883;86.308617;1171.949707;821.045959;451.601929;1119.345947;902.044861;256.662018;800.315674;832.335815;38.913437;;;;851.148254;784.309021;33.123569;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;929.229797;818.655762;88.532822;1172.027954;820.962708;451.523163;1119.949829;901.912720;256.506653;799.662537;830.740662;39.767338;;;;850.819885;783.282043;33.442444;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;928.274719;817.123779;91.011246;1172.097046;820.872620;451.380615;1120.624268;901.662598;256.174652;799.042969;829.132629;42.171398;;;;850.554504;781.930054;33.735195;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;927.191650;816.248108;92.796982;1172.108154;820.870789;451.246826;1121.138184;901.444275;255.927704;797.678467;827.451843;44.984127;;;;850.594604;780.252502;33.889748;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;926.345276;815.440674;94.497154;1172.251343;820.781799;451.098785;1121.510132;901.281250;255.871735;796.447632;825.661377;48.121632;;;;850.650330;777.746094;33.999985;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;925.290649;813.647888;96.588455;1172.278320;820.756042;450.910034;1121.806274;901.127991;255.817078;794.628052;823.639343;51.679794;;;;851.052795;774.582947;34.825382;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;924.426392;811.956177;98.800507;1172.317871;820.664368;450.811188;1122.029419;900.938538;255.811447;792.993164;821.196045;55.400135;;;;851.280151;771.381531;35.516232;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;923.638428;810.497559;100.757156;1172.410034;820.620544;450.662109;1122.140747;900.740356;255.720505;791.631836;818.523926;59.032295;;;;851.432434;767.798645;36.249199;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;922.603821;808.715332;102.880943;1172.403320;820.549805;450.568604;1122.206665;900.514587;255.618332;790.327515;815.642944;61.865215;;;;851.552063;763.665894;37.347160;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;921.740662;807.047852;105.139465;1172.391357;820.454041;450.430267;1122.350952;900.294006;255.414932;789.179504;812.240356;64.684235;;;;851.784180;759.566345;39.510632;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;921.145020;805.080750;106.976593;1172.424438;820.382141;450.246216;1122.312256;899.982178;255.231400;787.934875;808.369507;67.966248;;;;851.970459;755.601868;41.361153;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;920.569214;803.000122;109.277473;1172.415771;820.372192;450.126221;1122.064087;899.570679;255.165222;786.977417;804.561707;70.624084;;;;852.186646;751.857483;44.053566;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;919.630676;800.586060;111.266159;1172.476196;820.249695;449.899902;1121.831055;899.119080;254.999603;786.135742;800.706177;72.955963;;;;852.193787;748.055542;46.711533;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;918.627319;798.582581;112.871368;1172.229004;820.174622;449.553894;1121.566040;898.677368;254.832794;785.557251;796.683289;74.657349;;;;852.692749;743.492126;48.534500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;917.959229;796.223450;115.119812;1172.081543;820.056091;449.305664;1121.244751;898.216248;254.756393;784.540405;792.607971;77.285667;;;;852.945557;739.083435;51.386936;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;917.542236;794.115845;116.901100;1171.884766;819.960999;449.117432;1120.864136;897.766541;254.665161;783.836121;788.624268;80.279083;;;;853.338989;734.809021;53.984673;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;916.670044;791.618286;118.927010;1171.551636;819.900208;448.789032;1120.318115;897.489258;254.243286;782.844177;784.575684;83.219025;;;;853.848206;730.377136;56.536312;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;915.574524;789.331970;120.461121;1171.277100;819.816101;448.530212;1119.648193;897.077026;253.598175;781.724915;780.825745;85.183159;;;;854.180115;725.851013;58.734737;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
