Grasp118;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;16:09:15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
10;879.436096;736.069580;33.584152;945.977112;805.477051;66.201126;807.394043;791.741089;34.314636;1101.525513;891.132019;267.298920;1165.691650;869.877808;449.616669;;;;;;;;;;;;;;;
11;879.517517;736.025146;33.718777;945.981689;805.485901;66.168373;807.449585;791.743835;34.353035;1101.472168;891.158325;267.222565;1165.598999;869.880066;449.656067;;;;;;;;;;;;;;;
12;879.487488;736.025024;33.703514;946.038452;805.477600;66.209526;807.495178;791.698425;34.482605;1101.431519;891.179321;267.216797;1165.471924;869.921143;449.592255;;;;;;;;;;;;;;;
13;879.485352;736.005249;33.807728;946.083435;805.563477;66.249496;807.519958;791.708435;34.355309;1101.385376;891.260559;267.300171;1165.452881;869.806091;449.751312;;;;;;;;;;;;;;;
14;879.502014;735.892700;33.884037;946.079468;805.594421;66.278854;807.514038;791.743530;34.317719;1101.346558;891.281433;267.323792;1165.294556;869.806458;449.617859;;;;;;;;;;;;;;;
15;879.509277;735.896301;33.940407;946.007568;805.515198;66.345909;807.549133;791.812927;34.360153;1101.035767;891.394592;267.325287;1165.188110;869.804443;449.542694;;;;;;;;;;;;;;;
16;879.546509;735.924988;33.861622;945.968445;805.483154;66.386055;807.598633;791.821228;34.450165;1101.267090;891.308044;267.721283;1165.035400;869.812927;449.529755;;;;;;;;;;;;;;;
17;879.538025;735.863647;33.858746;945.991577;805.507813;66.635590;807.720154;791.880615;34.463013;1101.410767;891.362000;267.859955;1164.916626;869.688965;449.672821;;;;;;;;;;;;;;;
18;879.579651;735.666748;33.904568;945.940857;805.531616;66.839539;807.736938;792.028198;34.459248;1101.491089;891.555664;267.670105;1164.738403;869.640747;449.658020;;;;;;;;;;;;;;;
19;879.732544;735.465210;34.002197;945.844910;805.574341;67.159157;807.807251;792.101013;34.556252;1101.388794;891.896240;267.664948;1164.563599;869.596436;449.570374;;;;;;;;;;;;;;;
20;879.962891;734.997559;34.125965;945.879883;805.474670;67.535332;807.875244;792.241760;35.443871;1101.281616;892.275818;267.870941;1164.312500;869.647400;449.485931;;;;;;;;;;;;;;;
21;880.338684;734.510254;34.153645;945.968933;805.418945;67.912109;807.677002;792.286865;37.567665;1101.269653;892.654297;268.017395;1164.193970;869.582764;449.413177;;;;;;;;;;;;;;;
22;880.790955;733.923706;34.268566;946.012756;805.316162;68.208847;807.067322;792.279907;39.587994;1101.281738;893.023560;268.141296;1164.339722;869.430176;449.384644;;;;;;;;;;;;;;;
23;881.572754;733.124084;34.639606;946.027100;805.090393;69.001991;807.010559;792.176025;41.747833;1101.175293;893.418030;268.315155;1163.767334;869.576599;449.430511;;;;;;;;;;;;;;;
24;882.296143;732.507202;34.799561;945.916077;804.973694;69.499115;806.837769;792.119324;44.244114;1101.134277;893.821289;268.294830;1163.404175;869.558044;449.458008;;;;;;;;;;;;;;;
25;883.132874;731.542480;35.632885;946.187622;804.878906;70.388565;806.760498;792.093445;47.071793;1100.620239;894.051697;268.911133;1162.991333;869.615051;449.511780;;;;;;;;;;;;;;;
26;883.541870;730.738586;37.391823;946.458862;804.813538;71.080254;806.668701;792.050476;49.948711;1100.380005;894.247498;269.314240;1162.470581;869.579529;449.584259;;;;;;;;;;;;;;;
27;883.538513;729.837708;39.939125;946.463562;804.865540;71.597549;806.404114;791.886780;52.814079;1100.217041;894.426392;269.441650;1162.155273;869.554138;449.852844;;;;;;;;;;;;;;;
28;883.582397;728.953430;43.098694;946.977051;804.746338;72.269470;806.555176;791.764465;56.271603;1100.073608;894.471252;269.522461;1161.661987;869.497742;450.010803;;;;;;;;;;;;;;;
29;883.903015;727.923706;46.212711;946.748108;804.436157;73.985092;806.596741;791.324036;59.758007;1099.998291;894.512634;269.808258;1161.060059;869.511414;450.035919;;;;;;;;;;;;;;;
30;884.063293;727.233337;48.439606;946.583557;804.037720;75.700569;806.386963;790.947327;63.719868;1099.662842;894.677063;270.140930;1160.316040;869.604675;449.850952;;;;;;;;;;;;;;;
31;884.663696;725.962830;51.878139;946.549561;803.736450;76.663979;806.176941;790.518677;67.710770;1099.381836;894.795654;270.390442;1159.746826;869.740356;449.621582;;;;;;;;;;;;;;;
32;885.285156;724.044739;55.021427;946.526123;803.325195;77.544899;805.992310;789.815552;71.902924;1099.662720;894.792480;270.543793;1159.232178;869.864502;449.344482;;;;;;;;;;;;;;;
