;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;;*23;;;*24;;;*25;;;*26;;;*27;;;*28;;;*29;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
14;957.092896;842.013062;68.719078;1208.850098;927.969055;238.582993;883.347046;777.811218;34.954056;819.631531;839.858948;37.356255;1168.287476;891.977783;401.377441;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;957.080566;842.036194;68.710510;1208.960083;927.917908;238.629837;883.365479;777.802490;34.910362;819.589172;839.869690;37.380592;1168.336060;891.962646;401.357635;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;957.100220;842.035889;68.661003;1208.965332;927.941833;238.527527;883.358276;777.811584;34.934814;819.569214;839.870911;37.399197;1168.364990;891.958069;401.350739;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;957.101257;842.043701;68.674736;1209.009033;927.918091;238.544815;883.347107;777.812439;34.955017;819.610657;839.859131;37.377411;1168.436279;891.982483;401.296997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;957.131287;842.015015;68.714279;1209.053101;927.945801;238.491257;883.343567;777.810547;34.959534;819.625977;839.854553;37.331429;1168.463745;891.987427;401.276184;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;957.111389;842.025696;68.665421;1209.029175;927.960388;238.432938;883.387512;777.838867;34.951771;819.640320;839.858704;37.340309;1168.541626;891.984009;401.249847;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;957.177185;842.013123;68.684158;1209.018311;927.960571;238.424088;883.362122;777.820862;34.945313;819.639587;839.949158;37.358322;1168.507813;892.035706;401.207703;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;957.160767;842.022522;68.724495;1209.077148;927.961304;238.357437;883.388306;777.838928;34.947071;819.632446;839.879395;37.358040;1168.541016;892.007324;401.117615;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;957.179260;842.029602;68.701477;1209.111450;927.949768;238.353500;883.358826;777.818970;34.947712;819.632996;839.942749;37.363594;1168.587769;891.985840;401.184662;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;957.201599;842.021057;68.686714;1209.157959;927.950684;238.285065;883.343933;777.809204;34.954861;819.631897;839.875610;37.357365;1168.653687;892.010925;401.160461;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;957.199524;842.023926;68.702744;1209.059570;927.985718;238.093842;883.360901;777.795288;34.903748;819.634583;839.942749;37.361649;1168.677490;892.018311;401.138794;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;957.251892;841.996765;68.755463;1209.027222;927.990601;238.054977;883.358032;777.810059;34.932724;819.632935;839.876099;37.356274;1168.717041;891.999329;401.122162;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;957.229126;841.978210;68.792381;1209.091309;927.991272;237.996201;883.347717;777.813049;34.955124;819.685120;839.846069;37.401810;1168.766113;892.008057;401.102661;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;957.206543;842.001221;68.687401;1209.127075;927.998779;237.996185;883.343689;777.810913;34.959820;819.598816;839.864868;37.389797;1168.778931;892.012451;401.096222;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;957.217529;841.995483;68.780090;1209.209473;927.984375;237.960983;883.344849;777.810181;34.957260;819.611267;839.950012;37.378384;1168.773926;892.012512;401.098694;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;957.182251;842.004761;68.762589;1209.231567;927.974365;237.982132;883.346497;777.810669;34.954811;819.620789;839.875793;37.335476;1168.886597;892.038208;401.102783;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;957.085205;842.060608;68.589195;1209.274292;927.945313;237.908813;883.308228;777.792786;34.974403;819.637207;839.852966;37.343391;1168.931152;892.045288;401.090149;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;957.200378;842.043030;68.687820;1209.412109;927.905090;237.900986;883.330933;777.803284;34.968819;819.689331;839.848633;37.399467;1168.878540;892.040222;401.031525;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;957.227661;842.025269;68.733650;1209.347778;927.868774;237.843445;883.347351;777.811096;34.955986;819.632141;839.854065;37.344074;1168.947632;892.021790;401.065338;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;957.218262;842.022766;68.736862;1209.401855;927.868225;237.894241;883.350281;777.812744;34.950985;819.628052;839.859131;37.347530;1168.976685;892.020203;401.072205;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;957.252258;841.995605;68.758553;1209.500244;927.874268;237.871841;883.348267;777.811890;34.952366;819.633850;839.949036;37.361755;1169.009888;891.944153;401.005524;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;957.223022;842.017761;68.735664;1209.431152;927.880310;237.772888;883.346619;777.811035;34.954533;819.632629;839.879333;37.357895;1169.097656;891.961243;400.999542;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
