Grasp118;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;16:08:23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;;*23;;;*24;;;*25;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
39;758.806152;794.949646;84.435028;895.283813;804.251526;94.219040;1134.405029;915.552979;251.067001;1131.829590;878.266357;405.542328;;;;;;;;;;;;;853.207886;714.729126;69.502731;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;759.660339;792.436829;86.149155;896.241516;802.766907;95.424179;1135.050171;915.273193;250.645676;1132.090088;878.151978;405.249268;;;;;;;;;;;;;855.270996;712.644409;72.163025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;760.897522;789.520264;88.479134;896.940125;801.184143;96.438431;1135.742554;915.009155;250.297318;1132.231323;878.117981;405.089722;;;;;;;;;;;;;857.290710;710.311035;74.671227;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;761.567383;787.187134;90.959236;897.836548;799.671631;97.956940;1136.557373;914.651550;250.281845;1132.414429;877.962341;404.881073;;;;;;;;;;;;;858.799683;708.052063;78.217102;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;763.036255;784.764832;93.267220;898.325867;798.061707;99.321571;1136.899048;914.410522;250.158463;1132.547485;877.895935;404.592773;;;;;;;;;;;;;860.010620;706.234863;81.093796;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;763.712036;782.404419;94.931030;898.472046;796.510376;100.924484;1136.796021;914.291870;250.018356;1132.615601;877.780334;404.438263;;;;;;;;;;;;;861.786743;703.678894;83.073196;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;765.076477;779.821838;96.664528;899.681946;794.529541;101.993301;1136.858398;914.088440;249.752701;1132.440308;877.711792;404.297516;;;;;;;;;;;;;863.062439;701.716797;85.692802;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;765.551880;777.682800;98.363724;900.278137;792.762329;102.972549;1137.204468;913.877930;249.318863;1132.462769;877.575745;404.138489;;;;;;;;;;;;;865.546509;699.145935;88.496536;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;766.667542;775.118652;99.860657;900.214355;791.039673;104.293381;1137.493530;913.497009;248.741547;1132.263062;877.531311;403.928436;;;;;;;;;;;;;866.920776;697.268921;91.434814;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;767.601990;772.834839;101.377289;901.381470;789.026917;105.055725;1137.765381;913.175354;248.362152;1132.102783;877.475647;403.680939;;;;;;;;;;;;;868.701538;694.933350;93.469261;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;768.003174;770.585449;102.995773;901.871826;786.918823;105.865768;1137.999146;912.730530;247.761627;1131.925415;877.377319;403.536865;;;;;;;;;;;;;869.899353;692.444458;96.011734;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;768.790833;767.912231;103.789185;901.276245;785.148926;106.995316;1138.006836;912.258789;247.356323;1131.317261;877.458252;403.113464;;;;;;;;;;;;;871.502686;690.034912;98.100075;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;769.035950;765.528503;105.506401;902.454834;783.079224;107.599915;1137.930664;911.756287;247.019257;1130.948486;877.334167;402.819519;;;;;;;;;;;;;872.996216;687.767700;100.216270;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
