Grasp118;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;14:05:40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
19;850.894043;788.179932;160.176239;761.261414;683.266357;160.089020;923.483704;1022.877930;476.817169;874.000793;1039.415771;272.416168;861.372009;692.433533;132.277878;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;850.387939;785.828918;162.696533;761.871765;679.707031;161.594467;923.215149;1022.599365;476.887787;873.221375;1038.577271;272.698456;862.085083;690.162903;133.791489;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;849.676208;782.997131;165.159332;762.098633;676.778748;162.502228;922.877991;1022.346619;476.915039;872.081726;1037.320313;272.963135;862.446106;687.120972;136.082458;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;849.628052;780.547852;167.485107;762.717285;673.729797;163.490616;922.246277;1022.113831;477.213257;870.827209;1035.916260;273.238220;862.527161;685.438782;137.474075;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;849.188049;778.520630;169.898041;763.473816;670.648132;164.840485;921.735840;1021.715027;477.330994;870.317505;1034.935303;273.708313;862.277222;683.824036;139.995834;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;848.297485;775.960388;172.371567;764.113708;667.600464;165.583908;921.355469;1021.393250;477.305847;869.414307;1033.663574;274.144043;862.513428;681.729004;141.537109;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;847.714661;773.774658;174.322144;765.116577;664.631836;166.094955;920.945923;1020.921143;477.375092;868.057617;1032.274902;274.343201;863.374512;679.373657;143.042191;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;847.696533;770.892029;176.217987;765.380432;661.632813;166.997543;920.723633;1020.533630;477.347137;867.103760;1031.072388;274.758972;863.656677;677.414673;143.836411;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;847.186401;768.612610;178.499680;766.044800;658.704346;168.197433;920.578003;1020.142883;477.360138;865.815186;1029.759033;274.830505;864.129517;675.404602;145.059174;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;846.723206;766.769287;180.343262;766.993713;655.671387;169.117920;920.289673;1019.844910;477.536438;864.493591;1028.431885;274.800842;864.580688;673.133667;146.367493;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
