Grasp116;;;;;;;;;;;;;;;;;;
Date:;2025/04/28;;;;;;;;;;;;;;;;;
Time:;11:50:30;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
1;837.894409;832.889832;34.734570;973.400024;838.440430;58.811642;1146.460571;827.699646;233.167511;1180.887085;728.934326;445.180603;;;;;;
2;837.898743;832.857666;34.790863;973.363342;838.423462;58.861568;1146.493164;827.706970;233.255127;1180.852905;728.940552;445.115173;;;;;;
3;837.927673;832.762268;34.865421;973.424072;838.386597;58.935364;1146.484497;827.783508;233.389648;1180.826538;728.944458;445.078156;;;;;;
4;838.130981;832.601685;34.937767;973.467896;838.293640;59.102306;1146.592651;827.854248;233.549927;1180.800293;728.991150;444.929749;;;;;;
5;838.050476;832.445862;35.244640;973.549377;838.258301;59.242355;1146.781128;828.001160;233.831192;1180.709717;728.981323;444.802521;;;;;;
6;837.945862;832.052673;35.734676;973.724915;838.192505;59.592747;1147.249634;828.338684;233.644852;1180.536621;729.038879;444.694336;;;;;;
7;837.886169;831.465759;36.897953;974.026917;838.137085;59.757191;1147.519165;828.411011;234.452988;1180.348267;729.116577;444.455200;;;;;;
8;838.122131;830.524170;38.672798;974.254028;838.122375;60.103153;1147.806519;828.916443;235.011154;1180.123901;729.202515;444.300690;;;;;;
9;837.864685;829.657471;40.945759;974.466309;838.065125;60.536804;1148.235596;829.547974;235.296188;1180.023682;729.320313;444.191162;;;;;;
10;837.915588;828.773560;43.991871;974.437622;837.660950;61.204880;1148.754150;830.010376;235.467224;1179.799927;729.389160;444.126801;;;;;;
11;837.530457;828.121277;47.506519;974.131104;836.738342;62.340881;1149.211548;830.422913;235.700897;1179.584351;729.484253;443.871277;;;;;;
12;837.672058;827.331726;50.251709;973.962097;835.693176;63.306442;1149.702881;830.810852;235.943573;1179.364014;729.652893;443.770355;;;;;;
13;837.260559;826.634033;53.935787;974.317749;834.726624;63.970806;1150.213135;831.062622;236.125412;1179.213989;729.793762;443.663483;;;;;;
14;836.838928;825.663574;57.261608;974.463623;832.769470;64.940689;1151.087402;831.248230;235.897263;1178.780273;729.927734;443.410461;;;;;;
15;836.357300;824.812012;60.502544;974.264954;830.556396;66.812866;1151.763428;831.299927;235.766769;1178.618652;730.021790;443.403320;;;;;;
16;835.552063;823.544312;64.127655;973.515137;828.876587;68.668030;1152.264404;831.224976;235.745819;1178.422485;730.148682;443.360779;;;;;;
17;834.984741;822.174133;67.903030;972.951233;826.828735;70.610580;1152.712891;831.104797;235.801895;1178.330444;730.259583;443.245331;;;;;;
18;834.316345;820.309326;71.149117;972.079224;824.595947;72.850395;1153.136597;830.795959;235.807831;1178.250610;730.332275;443.172577;;;;;;
19;833.628052;818.172668;75.251541;971.380432;821.906372;74.867271;1153.646362;830.462341;235.767242;1178.227051;730.441040;443.159332;;;;;;
20;832.348633;815.830505;78.901070;970.775391;819.744141;76.851501;1153.844849;830.041626;235.877045;1178.208374;730.558899;443.108154;;;;;;
21;831.329834;812.883545;83.299889;969.995422;816.995911;79.183517;1154.192871;829.542114;236.345047;1178.269043;730.659729;443.062408;;;;;;
22;830.370544;809.783386;87.389343;969.168884;814.393799;81.720833;1154.645020;828.908875;236.336853;1178.305908;730.810913;443.062683;888.259827;752.802551;66.823006;;;
23;829.190063;806.133972;91.601158;967.617493;811.656555;84.679634;1154.663208;828.120911;236.391159;1178.652588;730.920837;443.116577;887.597534;748.749695;70.859947;;;
