Grasp121;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/28;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;14:02:48;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
46;836.742371;453.371887;139.318909;875.750488;533.679443;198.985184;;;;778.372681;454.528168;152.773331;;;;1119.549805;782.132080;448.781189;995.982178;768.523560;269.647614;;;;;;
47;835.512512;456.889465;140.730499;875.133911;537.129700;201.024445;;;;776.600159;458.771118;155.622040;;;;1120.334595;782.659363;448.785706;997.189697;771.480530;269.723816;;;;;;
48;833.965515;460.733093;142.821960;874.339783;540.341980;202.902618;;;;775.118164;462.931274;157.906219;;;;1121.669067;783.151245;449.146698;998.786682;773.971741;269.869232;;;;;;
49;832.566895;464.661865;144.050568;873.746216;544.044983;204.144821;;;;773.869751;467.047516;159.584229;;;;1122.386108;783.778931;449.258270;1000.513611;776.280090;270.043091;;;;;;
50;831.462769;468.571411;145.441406;873.072449;547.726135;205.693466;;;;772.407104;471.403839;161.574356;;;;1122.847534;784.519836;449.696045;1002.288452;779.176514;270.315277;;;;;;
51;830.326172;472.407074;146.775681;872.461243;551.076599;207.102570;;;;770.783142;475.681915;163.548035;;;;1123.668701;785.104248;450.223389;1003.314209;781.658936;270.528015;;;;;;
52;828.982178;476.422791;147.829758;872.011353;554.359436;208.764420;;;;769.210999;479.957733;164.810165;;;;1124.858643;785.618164;450.276367;1005.036926;784.098328;271.119019;;;;;;
53;827.808655;480.647064;148.684799;871.293884;557.948242;210.441330;;;;767.604614;484.614471;166.416443;;;;1125.500488;786.105286;450.302612;1006.773254;786.618835;271.649261;;;;;;
54;826.510742;484.973663;149.629761;870.795105;561.653442;210.752518;;;;766.208435;489.513306;167.594940;;;;1126.074829;786.783936;450.362335;1008.303406;789.305786;271.613312;;;;;;
55;825.206421;489.085815;150.319489;870.125732;565.519897;211.928238;;;;764.621277;494.389862;168.662323;;;;1127.095581;787.406921;450.405151;1009.972595;791.746582;271.628326;;;;;;
56;823.854248;493.269714;150.842377;869.747559;568.960388;212.659958;;;;762.715698;499.203247;170.126022;;;;1128.368774;787.880005;450.857941;1011.733154;794.098755;272.267242;;;;;;
57;822.843628;497.578644;151.294266;869.281921;572.744263;214.073044;;;;760.919861;504.136871;171.141296;;;;1129.534668;788.405579;451.280579;1013.556152;796.446411;272.254547;;;;;;
