Präzision54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;15:46:06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
23;805.631470;832.131470;166.598221;789.857727;1170.591919;400.086182;770.612488;1083.223022;255.541290;801.978760;735.232666;134.068588;770.312012;726.192810;127.960487;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;803.953491;835.100098;168.958130;789.825256;1173.086914;400.553528;769.390991;1086.861084;256.019653;800.439636;737.858704;137.800766;768.519287;729.199158;131.015503;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;802.159363;838.387329;171.547012;789.746155;1175.567871;400.912476;768.747437;1090.621948;255.899948;798.649109;741.218750;140.980530;766.748230;732.407898;134.158875;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;800.248901;841.903748;174.133026;789.586975;1177.897095;401.449554;768.023438;1094.353027;255.997711;796.310791;744.479980;143.752060;764.815735;735.639893;136.943924;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;798.175598;845.393005;176.455338;789.759277;1180.232544;402.056061;767.227112;1098.493286;255.798813;794.517395;747.660278;146.693619;762.705078;738.938843;140.259399;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;796.360107;848.804260;178.336670;789.871704;1182.501831;402.989136;766.220764;1102.529297;255.679352;792.895935;750.739380;149.534637;760.626953;742.381653;143.470001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;794.366516;852.207947;180.776154;789.820618;1185.042969;403.785583;765.704407;1106.435913;256.231781;790.623474;753.862061;152.042786;758.797180;745.572754;145.830856;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;792.243652;855.670959;183.132904;790.059692;1187.520386;404.108368;765.026062;1110.532227;256.119446;788.159912;758.151917;154.773972;756.804260;749.108765;148.569458;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;790.450073;859.285461;184.859818;789.945374;1189.900879;404.587250;764.496155;1114.504395;256.488007;786.343750;761.357910;157.346085;754.922241;752.598816;151.092773;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;788.320251;863.225403;186.425842;789.996033;1192.421631;405.662292;763.393066;1118.448242;256.540405;784.667786;764.657532;159.795853;752.918091;756.080444;153.149109;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
