Präzision01115;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;16:09:47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
1;832.894714;984.936401;262.911011;812.554260;683.260193;48.749058;828.216980;791.157471;92.909195;798.717224;1035.668579;442.671265;830.893188;704.461853;39.820255;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;832.950439;984.838806;263.018463;812.444885;683.156677;48.701790;828.067383;791.201355;93.031448;798.744629;1035.761841;442.654266;830.745544;704.462158;39.793953;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;832.948486;984.928589;262.983948;812.428345;683.123962;48.705105;828.213501;791.115234;92.832932;798.843384;1035.796265;442.638916;830.896973;704.411682;39.930271;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;832.974609;984.945740;262.917450;812.459473;683.043579;48.551090;828.309692;791.021118;93.270157;798.959717;1035.807007;442.573578;831.109741;704.359558;40.113113;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;833.037231;984.987000;262.951843;812.518066;683.120117;48.622337;828.454773;790.960938;93.273735;799.001221;1035.902344;442.578644;831.020020;704.276733;40.074276;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;832.967896;984.953857;263.023712;812.462708;683.160461;48.667561;828.345276;790.993652;93.454277;799.090271;1036.025146;442.544586;831.014526;704.340332;40.083855;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;832.951843;985.010986;262.904327;812.404053;683.062195;48.540775;828.334717;790.967529;93.503967;799.133240;1036.144897;442.479523;831.002014;704.366394;40.154972;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;833.022644;985.122742;262.934113;812.437622;683.100342;48.725487;828.413391;790.930298;93.503174;799.000488;1036.113647;442.657074;831.021301;704.356567;40.193748;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;833.065369;985.138062;262.945007;812.488403;683.156128;48.905540;828.469666;790.807007;93.748558;799.053894;1036.219971;442.698547;830.821960;704.322388;40.428516;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
