;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;;*23;;;*24;;;*25;;;*26;;;*27;;;*28;;;*29;;;*30;;;*31;;;*32;;;*33;;;*34;;;*35;;;*36;;;*37;;;*38;;;*39;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
10;828.589111;789.249146;105.672882;821.305237;697.280945;61.148827;785.972046;1130.505737;354.029358;795.881409;1036.670044;210.951248;789.445251;692.904297;49.164948;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;827.283020;790.228455;106.496857;820.114441;697.778625;62.873280;785.914490;1131.259888;354.285614;796.110840;1038.213379;210.792221;788.372681;693.737366;50.185188;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;825.854065;791.095215;107.847015;818.508545;698.769653;64.980873;785.965332;1132.211548;354.486298;795.835144;1039.545410;210.454117;786.884155;694.660950;50.830605;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;824.307129;792.472473;108.963585;816.848999;699.726501;66.658348;785.965576;1133.136230;354.723572;795.628052;1041.367920;210.462326;785.155640;695.870544;52.838287;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;822.427307;793.662903;110.958466;814.863831;700.694336;69.073524;786.017944;1134.103760;354.819946;795.389954;1042.977661;210.374908;783.863770;697.006653;54.558357;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;820.799255;794.870911;112.497528;813.269836;701.753723;71.148926;786.117126;1135.168823;354.983948;795.367249;1044.973145;210.355164;782.391479;698.191467;56.000751;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;819.336548;796.421448;114.369652;811.625488;702.984924;74.071320;786.244873;1136.191772;355.175659;795.602295;1046.872070;209.957016;780.953491;699.534302;58.010269;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;817.255188;798.051208;116.519638;809.584412;704.009155;76.636345;785.953918;1137.355225;355.558167;795.477844;1049.183716;209.649933;779.155151;700.997437;60.251236;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;815.679565;799.859375;118.733459;807.798645;705.591797;79.323357;785.780273;1138.432617;356.403259;794.987305;1051.285278;210.286575;777.570313;702.438599;62.579773;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;813.477783;801.698425;120.272781;805.970215;707.158203;81.912071;785.803345;1139.787598;357.077362;794.729919;1053.697754;210.794388;778.750916;706.699524;61.757740;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;811.605713;803.584717;122.495491;804.068787;708.851807;85.034546;785.575867;1141.044312;357.663788;794.894897;1056.360840;210.352097;778.764648;710.168762;62.906651;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;809.978088;805.841370;124.423256;801.929199;710.490051;87.734642;785.707214;1142.379639;358.098785;795.000488;1058.919800;209.710510;776.304260;711.724487;65.501442;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;808.456055;807.906494;126.847519;799.795288;712.519592;90.667091;786.105286;1143.984131;357.947754;794.672607;1061.276611;209.920471;774.275208;713.401978;68.856094;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;806.431824;810.045898;129.620911;798.071533;714.395569;94.102585;786.544983;1145.584595;358.186798;793.947449;1064.206299;210.532410;772.178711;715.333496;72.086952;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;803.818237;812.072021;132.234390;795.954712;716.500793;96.859795;786.504089;1147.314087;358.663177;793.751770;1067.155396;210.567230;770.250977;717.090027;74.402374;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;801.772400;814.929565;134.424271;794.340271;718.781616;99.888069;786.200745;1149.150146;359.367035;793.804749;1069.878174;210.147705;768.321045;719.493591;77.474045;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;800.451477;817.458374;136.675446;792.348572;721.016907;103.243881;786.278809;1151.086914;359.534302;793.352478;1072.643188;210.230759;766.573669;721.764221;80.922340;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;798.813049;819.881470;138.756577;790.322998;723.260254;106.255440;786.703308;1153.115723;359.811188;793.096436;1075.680786;210.658234;764.850159;723.834351;83.966537;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;796.649719;822.736633;141.484833;788.488037;725.925903;109.329460;786.786438;1155.002563;360.158417;793.159729;1079.200317;210.806854;763.056458;726.348633;86.818947;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;794.398193;825.272156;144.710724;786.656006;728.535339;112.613869;786.644104;1156.950562;361.016815;792.311768;1082.463379;210.671082;761.124573;728.622314;90.037056;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;791.920593;828.090027;147.694778;784.957153;730.982178;115.568962;786.497437;1158.949829;361.821198;791.804810;1085.464844;211.001724;759.331177;730.835266;93.174118;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;789.935852;831.095520;149.793900;783.087219;733.920227;118.837929;786.655518;1161.051025;362.294220;791.271484;1088.817749;210.812027;757.558899;733.806213;96.035507;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;788.364868;834.400513;152.286240;781.183105;737.063904;121.772942;786.602112;1163.347778;362.940735;790.521606;1092.327393;211.430420;755.833374;736.892700;99.022446;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;786.123596;837.465942;154.798111;778.977051;739.876038;124.957306;786.471863;1165.394287;363.770294;790.266785;1095.658569;212.002823;753.885681;739.818359;102.262131;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;783.754456;840.670898;157.241135;776.915894;742.817810;128.178070;785.855652;1167.457275;364.790588;789.753784;1099.228760;211.968750;751.770447;742.885437;105.360710;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;781.240784;844.188416;159.985046;774.850037;746.020081;131.429214;786.131104;1169.550903;365.252411;789.391846;1102.679199;212.080460;749.872314;745.849365;108.320404;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
