Präzision08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/05/06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;14:09:03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
20;792.675842;843.960876;168.944244;796.144043;742.106323;151.267517;734.283447;1151.415039;358.838379;766.665222;732.319824;146.753372;;;;;;;;;;;;;;;;;;;732.793274;1103.477051;190.413818;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;791.650085;847.778564;172.091934;796.031250;745.895264;154.688354;733.766907;1154.559814;359.159180;766.355957;735.936646;150.421448;;;;;;;;;;;;;;;;;;;731.652710;1107.499023;190.341888;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;790.349670;851.671753;174.737015;796.126404;749.994202;157.962677;733.223083;1157.604370;359.821442;766.086792;739.928589;153.454575;;;;;;;;;;;;;;;;;;;730.790466;1111.728516;189.881577;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;789.477539;855.825928;177.559967;795.591858;754.004700;161.383972;732.681091;1161.012207;360.232178;765.858765;744.011108;156.601898;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;788.389404;859.931152;180.058426;794.437744;758.099548;164.603149;732.378967;1164.492432;360.343872;765.306152;747.490051;159.396515;;;;;;;;;;;;;;;;;;;;;;727.968384;1120.153442;190.430054;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;787.413696;863.805054;182.383102;794.240784;762.045837;167.390320;732.357666;1167.643311;360.646240;764.690674;751.642883;161.788834;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;786.360046;868.137451;184.791046;793.404602;766.021118;170.098785;732.231750;1171.046143;360.974884;763.699707;755.782104;164.816666;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;785.019958;872.335815;187.225861;792.345215;769.939209;172.502762;731.477295;1174.279175;361.527649;762.598633;759.590759;167.739532;;;;;;;;;;;;;;;;;;;;;;;;;725.434570;1132.871094;189.699921;;;;;;;;;;;;;;;;;;;;;;;;
28;783.637695;876.341248;189.198303;791.270752;774.202087;174.505386;730.824158;1177.589966;362.239380;761.477722;763.726379;170.558777;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;782.233582;880.505249;191.109665;789.664734;778.307312;177.068130;730.426270;1180.964966;363.081573;760.306213;767.725159;172.859940;;;;;;;;;;;;;;;;;;;;;;;;;;;;722.859131;1141.065063;191.337830;;;;;;;;;;;;;;;;;;;;;
30;780.640991;884.501404;193.234192;788.298828;782.374390;179.280304;730.311340;1184.136597;363.702942;758.925110;771.534790;174.768494;;;;;;;;;;;;;;;;;;;;;;;;;;;;722.719482;1145.510498;190.431030;;;;;;;;;;;;;;;;;;;;;
31;779.235840;888.702515;195.076324;786.706970;786.522461;180.746857;730.231995;1187.449829;364.095123;757.324585;775.887207;176.678452;;;;;;;;;;;;;;;;;;;;;;;;;;;;721.838196;1149.844482;190.914322;;;;;;;;;;;;;;;;;;;;;
32;777.705383;892.577393;196.635757;784.908630;790.549316;182.884293;;;;755.508057;780.027039;178.712204;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;776.174744;896.565796;198.104584;783.760498;794.481506;183.923645;;;;754.005676;784.080200;179.900406;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;730.323120;1194.012329;364.912048;;;;;;;;;;;;;;;;;;
34;774.446411;900.745789;199.354889;781.803040;798.312927;185.502136;;;;752.291870;788.127869;181.127991;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;730.279907;1197.056641;365.700714;719.327942;1161.871704;192.804230;;;;;;;;;;;;;;;
35;772.590576;904.699829;200.160294;779.493408;802.469421;186.174026;;;;750.175476;792.142456;182.377991;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;730.170898;1199.859009;366.690704;;;;;;;;;;;;;;;;;;
36;771.087830;908.385498;201.237930;777.357727;806.001099;187.109100;;;;747.957764;795.966187;183.140335;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;769.120178;912.182922;202.355225;775.183960;809.740967;187.502518;;;;745.705933;799.790833;184.176315;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;729.941528;1205.833862;368.538391;717.459595;1174.225830;194.267181;;;;;;;;;
38;766.942261;916.021484;202.966751;772.889954;812.892456;188.577377;;;;743.328369;803.395020;184.287567;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;730.000977;1208.658813;369.200836;717.315735;1178.155640;194.574402;;;;;;;;;
39;765.398987;919.354797;203.056747;770.549194;816.624146;187.911545;;;;741.041504;807.095947;184.292709;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;730.048340;1211.472534;369.942169;;;;;;;;;;;;
40;763.141235;922.484863;203.815018;768.096191;820.251831;188.613312;;;;737.989990;810.526367;184.709366;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;730.510010;1214.323975;370.641144;;;;;;;;;;;;
41;761.141541;926.195313;204.180817;765.397583;823.975464;187.963898;;;;735.103882;814.267456;184.595993;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;730.631226;1217.008179;370.997437;;;;715.857910;1189.849365;196.773712;;;;;;
42;758.748169;929.751221;204.201050;761.966064;827.335388;187.527557;;;;731.983643;817.867065;184.560883;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;730.966309;1219.676147;371.357574;;;;715.891235;1193.367920;197.066513;;;;;;
43;756.705200;932.679626;204.202103;759.032715;830.172302;187.153809;;;;729.244934;821.467773;183.650803;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;731.496765;1222.303711;371.946259;;;;715.559509;1196.970581;197.740280;;;;;;
44;754.114868;935.808716;203.736237;756.601685;833.381592;186.296951;;;;726.243469;824.900391;182.806854;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;731.718201;1224.735962;372.799011;;;;;;;;;;;;
45;751.999939;938.841370;204.304749;753.240173;836.636414;185.818771;;;;722.950623;828.167969;182.039703;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;731.734802;1227.011353;374.104797;;;;;;;;;;;;
46;749.545288;941.997864;203.259399;750.066528;839.560059;184.662521;;;;719.713379;831.321716;181.253281;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;732.421692;1229.353516;374.378754;;;;;;;;;;;;
47;747.133484;944.693176;202.484802;746.787109;842.580933;183.890472;;;;715.698730;834.335876;180.977051;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;733.081909;1231.531738;374.685760;;;;;;;;;;;;
48;745.069458;947.660461;201.808929;743.506714;845.443665;182.777634;;;;712.906250;837.671143;179.251953;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;733.291565;1233.576904;375.234222;;;;;;;715.480957;1213.245605;200.285721;;;
49;742.687683;950.096680;201.550583;740.412109;848.183533;181.337219;;;;709.984253;840.890808;177.305695;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;733.369507;1235.698853;376.203796;;;;;;;715.393616;1216.174927;200.693741;;;
50;740.127563;953.107483;200.128418;736.931396;851.267883;179.909805;;;;706.707581;843.895996;175.983307;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;733.690063;1237.671753;376.804108;;;;;;;715.755310;1219.239258;201.175873;;;
51;737.953308;955.492310;199.414200;733.363098;853.944580;178.860962;;;;703.333801;846.821167;174.896545;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;734.202881;1239.448486;377.350739;;;;;;;715.956238;1222.277710;201.473312;;;
52;735.828003;957.966614;198.477097;730.321106;856.474243;177.348770;;;;699.469055;849.498291;174.094589;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;735.000854;1241.096436;377.618408;;;;;;;716.066650;1224.576294;201.971008;;;
