Weight64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;13:54:03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
24;667.329773;1079.979980;294.397522;797.505188;705.100403;162.140335;;;;684.570190;1002.525513;140.452209;773.645813;694.447815;154.273285;;;;;;;782.791199;808.493469;158.223083;;;;;;;;;;;;;;;
25;666.533752;1081.403564;294.522949;796.548462;706.822510;165.563080;;;;683.174438;1004.158691;140.137817;773.692078;695.858521;157.005463;;;;;;;781.395569;810.410339;161.521362;;;;;;;;;;;;;;;
26;665.715027;1082.713379;293.966583;795.880127;709.242004;169.305786;;;;681.779358;1006.092163;140.548431;772.773987;697.746277;160.160782;;;;;;;780.221497;812.580322;164.055923;;;;;;;;;;;;;;;
27;664.872437;1084.269775;293.939911;794.158325;711.223633;172.448364;;;;680.319702;1007.658752;140.936218;771.878540;700.015930;163.801910;;;;;;;778.823303;814.957458;166.435852;;;;;;;;;;;;;;;
28;664.009705;1085.707886;294.378540;792.821228;713.540649;175.849792;;;;678.609009;1009.501282;141.552155;770.345459;702.084778;167.105591;;;;;;;777.255676;816.881714;168.779861;;;;;;;;;;;;;;;
29;662.987549;1087.105103;294.482666;791.326355;716.087952;179.573624;;;;677.060730;1011.290405;141.616547;769.375854;704.223328;169.937027;;;;;;;775.499939;819.038391;172.509094;;;;;;;;;;;;;;;
30;662.148438;1088.653076;294.283752;790.074097;718.333557;182.783417;;;;675.674316;1013.430115;141.721405;767.635193;707.036255;173.894241;;;;;;;774.255127;821.472473;175.632004;;;;;;;;;;;;;;;
31;661.406799;1090.228882;294.199890;788.595154;721.120728;185.621170;;;;673.939880;1015.451599;141.792267;766.589905;708.968689;177.197464;;;;;;;772.342407;824.006226;177.770218;;;;;;;;;;;;;;;
32;660.618774;1091.738647;294.049377;787.591980;723.298218;189.014923;;;;672.085938;1017.538879;142.386398;765.436707;711.723694;180.240860;;;;;;;770.716064;826.312744;180.105835;;;;;;;;;;;;;;;
33;659.699219;1093.122803;293.884308;786.416077;726.125305;193.161652;;;;670.530579;1019.822632;142.381897;764.434753;714.342102;183.128113;;;;;;;769.195557;828.995972;183.000092;;;;;;;;;;;;;;;
