Präzision28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;10:59:39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
25;817.002625;685.391113;41.692146;839.289612;789.448425;83.851982;855.277893;1026.952271;276.761047;845.209900;696.960083;47.966686;793.390381;1043.801636;152.372543;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;816.901184;685.304016;41.846935;839.305664;789.443237;83.863129;855.357239;1026.920410;276.871155;845.209412;696.948425;47.973888;793.371826;1043.799194;152.512131;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;816.825867;685.240295;41.887493;839.326721;789.462891;83.832237;855.333496;1026.945923;276.775391;845.204773;697.024170;47.964905;793.340942;1043.695557;152.526230;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;816.776611;685.227539;41.895550;839.394226;789.504333;83.812363;855.468506;1026.942871;276.863403;845.202881;696.991638;47.962528;793.328674;1043.758911;152.532135;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;816.858337;685.227173;41.915257;839.437866;789.484924;83.829803;855.497070;1026.938354;276.887268;845.205383;696.957031;47.970795;793.317566;1043.819092;152.499573;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;816.911560;685.254578;41.911457;839.409363;789.495972;83.793968;855.466797;1026.943970;276.896057;845.206726;696.946960;47.977367;793.284180;1043.808838;152.504684;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;816.896790;685.243286;41.898273;839.397949;789.503052;83.784210;855.452454;1026.945679;276.901550;845.206238;696.950256;47.977924;793.277832;1043.784790;152.677063;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;816.861877;685.248413;41.921436;839.449036;789.484924;83.897446;855.472839;1026.939087;276.892120;845.205688;696.954651;47.975735;793.250183;1043.767212;152.703369;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;816.872925;685.232666;41.911377;839.425049;789.444641;83.891663;855.463501;1026.943970;276.893707;845.248962;696.935608;48.018002;793.181885;1043.690063;152.603775;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;816.865234;685.245056;41.920284;839.384766;789.455505;83.869476;855.476379;1026.939331;276.888947;845.220337;697.013733;47.982952;793.189331;1043.670044;152.549332;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;816.878113;685.235779;41.910172;839.453064;789.463623;83.869118;855.472290;1026.861206;276.877686;845.201538;696.990234;47.961216;793.187073;1043.771606;152.606506;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;816.835754;685.232544;41.961872;839.412903;789.483765;83.854210;855.400452;1026.848389;276.808441;845.202087;696.960266;47.965790;793.201111;1043.681641;152.700668;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;816.802429;685.133118;41.973564;839.488220;789.471863;83.949638;855.476318;1026.843384;276.856232;845.161133;696.927429;47.994312;793.176208;1043.641968;152.684189;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;816.995789;685.188049;41.825802;839.419922;789.483215;83.901184;855.477356;1026.841187;276.842041;845.140320;696.917480;48.014183;793.169373;1043.647949;152.680099;;;;;;;;;;;;;;;;;;;;;;;;;;;
