Präzision25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;10:35:23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
18;804.939575;772.921509;87.879646;824.540039;994.677673;330.899170;789.002808;975.157471;196.991394;794.715698;684.318298;51.479084;767.138550;673.438232;44.860355;;;;;;;;;;;;;;;;;;;;;
19;804.837830;772.883789;87.955666;824.562927;994.663269;330.947845;788.912964;975.020752;197.066757;794.739075;684.197693;51.475498;767.138489;673.307861;44.806690;;;;;;;;;;;;;;;;;;;;;
20;804.718567;772.663635;88.077675;824.568237;994.746887;331.006470;788.798096;974.893555;197.044540;794.732117;684.158325;51.607658;767.121521;673.293884;44.843437;;;;;;;;;;;;;;;;;;;;;
21;804.870361;772.512329;88.432983;824.540710;994.757019;331.080597;788.677063;974.735107;197.148331;794.626160;684.067688;51.612427;767.098206;673.202759;44.852077;;;;;;;;;;;;;;;;;;;;;
22;804.795166;772.513855;88.565681;824.514954;994.809937;331.125763;788.480408;974.680847;197.275726;794.543518;683.900269;51.531353;767.074829;673.185486;44.904823;;;;;;;;;;;;;;;;;;;;;
23;804.677795;772.411926;88.725868;824.353027;994.843140;331.309265;788.243225;974.647156;197.405701;794.520691;683.878662;51.503189;767.055969;673.083435;44.858910;;;;;;;;;;;;;;;;;;;;;
24;804.599915;772.366089;88.973206;824.257080;994.928467;331.400085;788.005798;974.619934;197.548645;794.263916;683.804565;51.898079;767.101990;673.057800;44.866917;;;;;;;;;;;;;;;;;;;;;
25;804.489624;772.336792;89.241798;824.248596;994.953857;331.401123;787.720459;974.594421;197.618561;794.085693;683.740723;52.080345;767.132385;673.067505;45.013123;;;;;;;;;;;;;;;;;;;;;
26;804.306519;772.336121;89.495544;824.218994;995.113464;331.420013;787.530640;974.453064;198.065948;793.990479;683.736511;52.145432;767.031921;672.981262;45.116306;;;;;;;;;;;;;;;;;;;;;
27;804.101868;772.338989;89.808861;824.516846;995.148010;331.321899;787.258057;974.508972;198.323776;793.836243;683.814270;52.164742;767.038452;672.970459;45.558792;;;;;;;;;;;;;;;;;;;;;
28;803.848145;772.333496;90.130989;824.270630;995.313416;331.388397;786.938660;974.640564;198.458267;793.741089;683.893311;52.241947;766.916992;672.965759;45.904629;;;;;;;;;;;;;;;;;;;;;
29;803.465820;772.387939;90.566132;824.203857;995.550171;331.855194;786.621887;974.836914;198.658157;793.687683;684.037598;52.423370;766.886719;672.974121;46.385799;;;;;;;;;;;;;;;;;;;;;
30;803.191040;772.396606;91.213623;824.102051;995.764587;332.147095;786.388489;975.132202;198.822128;793.618408;684.179138;52.766304;766.592407;673.170410;47.255360;;;;;;;;;;;;;;;;;;;;;
31;803.059631;772.322327;91.844086;823.917358;995.973145;332.474457;786.254578;975.475708;198.928055;793.794861;684.331604;53.510231;766.272583;673.212585;48.178837;;;;;;;;;;;;;;;;;;;;;
32;802.980286;772.396606;92.432129;823.991455;996.245056;332.381378;786.049805;975.901184;199.028198;793.880859;684.512512;54.265739;766.155823;673.188171;48.714195;;;;;;;;;;;;;;;;;;;;;
33;802.762268;772.711731;93.095589;823.623779;996.614258;332.668610;785.917236;976.350769;199.164780;793.972595;684.534302;55.692539;766.519897;673.009338;49.492630;;;;;;;;;;;;;;;;;;;;;
34;802.369690;773.036621;93.860802;823.495850;997.061768;332.718353;785.727417;976.887939;199.255005;793.539429;684.527039;57.444901;766.880615;673.074951;50.452847;;;;;;;;;;;;;;;;;;;;;
