;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;;*23;;;*24;;;*25;;;*26;;;*27;;;*28;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
23;808.378113;803.098511;114.667725;788.173523;711.983826;86.076180;852.233704;1034.011597;236.854248;872.401489;1055.384521;325.981964;760.670471;705.257874;80.522125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;808.267029;804.890198;116.717522;788.513062;713.692444;88.559662;852.489990;1037.126709;236.614716;872.507629;1057.295044;325.964233;760.478333;706.816223;83.392448;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;808.488647;806.661560;118.844238;788.006470;714.825500;91.307167;852.910278;1039.840820;236.012634;872.724243;1059.698730;325.865845;760.422913;708.477539;86.425011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;808.399658;808.572693;120.829460;787.698669;716.757507;93.959747;852.709839;1042.465576;235.784058;873.091919;1062.006226;325.605225;760.071960;710.153992;88.917892;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;808.192322;810.808899;122.925041;787.070496;718.488647;97.030586;853.093811;1045.408569;235.501572;873.197937;1063.949585;325.896484;759.170837;712.321960;92.398094;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;808.538452;812.655884;125.116928;787.363281;720.185364;99.623726;853.464111;1048.510010;235.860794;873.201782;1066.309448;326.320862;759.103577;714.005859;95.285423;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;808.160767;815.020752;127.387886;786.509827;722.716248;102.751808;853.536316;1051.753174;235.701477;873.703247;1068.611084;326.161896;758.543762;716.371338;97.794136;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;808.074158;817.353516;129.631363;785.272949;724.862427;105.763290;853.913208;1054.854248;235.254745;874.152161;1071.135986;325.925415;757.903503;718.555847;100.916977;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;807.776428;819.350159;132.151031;785.435120;726.548462;108.598640;854.045898;1057.714844;235.214081;874.277527;1073.718140;326.369476;757.432495;720.664551;104.116570;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;807.622498;822.002014;134.573318;784.460022;729.361877;111.241142;854.789307;1060.746460;235.415634;874.772766;1076.025513;326.468231;756.579712;723.489868;106.927689;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
